run,mode,inject,inject_offset_ms,publish_delay_ms,injection_window,gateway_released,gate_blocked,stale_publish,potential_stale_publish,post_release_invalidation,injection_version,check_version,version_order,stale_exact,position_vs_middleware,residual_lo_ms,residual_hi_ms,t_middleware_ms,store_io_lo_ms,store_io_hi_ms,injection_store_lo_ms,injection_store_hi_ms,commit_status,commit_age_ms,outcome,reason,validation_to_gate_ms,validation_to_publish_ms,recheck_to_publish_ms,t_validate_end_ms,t_injection_start_ms,t_injection_end_ms,t_recheck_start_ms,t_recheck_end_ms,t_publish_end_ms
0,xair_atomic,0,,0.0,control,1,0,0,0,0,,1331,control,0,,0.8210600353777409,2.016632817685604,8.754774928092957,6.7381421104073524,7.933714892715216,,,committed,10.614013671875,EXECUTE,authorization_committed,3.947196062654257,3.962554968893528,0.015358906239271164,4.803582094609737,,,4.810525104403496,8.750778157263994,8.766137063503265
1,xair_atomic,1,0.0,0.0,concurrent,1,0,0,0,1,1333,1332,after_check,0,after_middleware,0.9002899751067162,2.0433738827705383,9.682345669716597,7.638971786946058,8.78205569460988,11.021928861737251,12.119777966290712,committed,11.258056640625,EXECUTE,authorization_committed,4.871448967605829,4.885074682533741,0.013625714927911758,4.807088989764452,4.903459921479225,14.32142872363329,5.026820581406355,9.678537957370281,9.692163672298193
2,xair_atomic,0,,0.0,control,1,0,0,0,0,,1334,control,0,,1.0116077028214931,2.478070091456175,9.42679587751627,6.948725786060095,8.415188174694777,,,committed,10.8720703125,EXECUTE,authorization_committed,4.742017015814781,4.754188936203718,0.012171920388936996,4.681643098592758,,,4.687613807618618,9.42366011440754,9.435832034796476
3,xair_atomic,1,0.0,0.0,concurrent,0,1,0,0,0,1336,1336,before_check,0,,,,,11.765673756599426,13.111779931932688,9.6569680608809,10.564319789409637,changed,15.0869140625,REVOKE,read_set_version_changed_at_commit,9.197685867547989,,,4.6530598774552345,4.813000094145536,12.764517683535814,4.964184015989304,13.850745745003223,
4,xair_atomic,0,,0.0,control,1,0,0,0,0,,1337,control,0,,0.9970501996576786,2.320684026926756,8.903404232114553,6.5827202051877975,7.906354032456875,,,committed,9.89404296875,EXECUTE,authorization_committed,4.506785422563553,4.51936898753047,0.012583564966917038,4.393803887069225,,,4.3987128883600235,8.900589309632778,8.913172874599695
5,xair_atomic,1,0.0,0.0,concurrent,1,0,0,0,1,1339,1338,after_check,0,after_middleware,0.9079328738152981,2.1436717361211777,9.180163033306599,7.036491297185421,8.2722301594913,10.468360036611557,11.539079248905182,committed,10.284912109375,EXECUTE,authorization_committed,4.859857726842165,4.871018696576357,0.011160969734191895,4.318211227655411,4.494903143495321,13.519104104489088,4.589480347931385,9.178068954497576,9.189229924231768
6,xair_atomic,0,,0.0,control,1,0,0,0,0,,1340,control,0,,1.0046446695923805,1.9670706242322922,8.203971665352583,6.236901041120291,7.199326995760202,,,committed,9.305908203125,EXECUTE,authorization_committed,3.9913877844810486,4.005083814263344,0.013696029782295227,4.209627863019705,,,4.21426584944129,8.201015647500753,8.214711677283049
7,xair_atomic,1,0.0,0.0,concurrent,0,1,0,0,0,1342,1342,before_check,0,,,,,12.652017176151276,14.303305186331272,10.171403177082539,11.368729174137115,changed,16.39111328125,REVOKE,read_set_version_changed_at_commit,10.359204839915037,,,4.749780986458063,4.936440847814083,13.512812089174986,5.142758134752512,15.1089858263731,
8,xair_atomic,1,0.0,0.0,concurrent,0,1,0,0,0,1344,1344,before_check,0,,,,,12.952249962836504,14.25535511225462,9.869517292827368,11.407162062823772,changed,15.909912109375,REVOKE,read_set_version_changed_at_commit,10.858321096748114,,,4.347477108240128,4.559393972158432,14.111195225268602,4.793514031916857,15.205798204988241,
9,xair_atomic,1,0.0,0.0,concurrent,0,1,0,0,0,1346,1346,before_check,0,,,,,12.76230439543724,13.91651900485158,10.357723105698824,11.509913951158524,changed,15.93310546875,REVOKE,read_set_version_changed_at_commit,9.674771223217249,,,5.281329154968262,5.4190573282539845,14.020635280758142,5.6189619936048985,14.95610037818551,
10,xair_atomic,0,,0.0,control,1,0,0,0,0,,1347,control,0,,0.8975737728178501,1.9984990358352661,8.536053821444511,6.537554785609245,7.638480048626661,,,committed,9.9990234375,EXECUTE,authorization_committed,4.034439101815224,4.045168869197369,0.010729767382144928,4.4993809424340725,,,4.502716939896345,8.533820044249296,8.544549811631441
11,xair_atomic,0,,0.0,control,1,0,0,0,0,,1348,control,0,,0.8731279522180557,2.3466916754841805,9.20927757397294,6.86258589848876,8.336149621754885,,,committed,10.242919921875,EXECUTE,authorization_committed,4.529478028416634,4.547713324427605,0.01823529601097107,4.674970638006926,,,4.682204686105251,9.20444866642356,9.22268396243453
