run,mode,inject,inject_offset_ms,publish_delay_ms,injection_window,gateway_released,gate_blocked,stale_publish,potential_stale_publish,post_release_invalidation,injection_version,check_version,version_order,stale_exact,position_vs_middleware,residual_lo_ms,residual_hi_ms,t_middleware_ms,store_io_lo_ms,store_io_hi_ms,injection_store_lo_ms,injection_store_hi_ms,commit_status,commit_age_ms,outcome,reason,validation_to_gate_ms,validation_to_publish_ms,recheck_to_publish_ms,t_validate_end_ms,t_injection_start_ms,t_injection_end_ms,t_recheck_start_ms,t_recheck_end_ms,t_publish_end_ms
0,xair,0,,0.0,control,1,0,0,0,0,,1121,control,0,,0.8274628780782223,2.0162840373814106,8.536960929632187,6.520676892250776,7.709498051553965,,,,,EXECUTE,published_after_gate_recheck,4.079445730894804,4.085777793079615,0.006332062184810638,4.4573950581252575,,,4.478464834392071,8.536840789020061,8.543172851204872
1,xair,1,0.0,0.0,concurrent,0,1,0,0,0,1123,1123,before_check,0,,,,,11.082688346505165,12.90834415704012,8.722740225493908,9.753664024174213,,,REVOKE,read_set_version_changed_at_gate,9.720662143081427,,,4.161129239946604,4.236901178956032,12.202971149235964,4.331810399889946,13.88179138302803,
2,xair,1,0.0,0.0,concurrent,0,1,0,0,0,1125,1125,before_check,0,,,,,12.359493877738714,13.627753593027592,9.88833699375391,10.94338670372963,,,REVOKE,read_set_version_changed_at_gate,9.357430040836334,,,5.12149091809988,5.296398885548115,12.879098765552044,5.506553687155247,14.478920958936214,
3,xair,1,0.0,0.0,concurrent,0,1,0,0,0,1127,1127,before_check,0,,,,,10.657499078661203,11.817336082458496,8.900451939553022,9.676828980445862,,,REVOKE,read_set_version_changed_at_gate,8.370728231966496,,,4.4005680829286575,4.491548053920269,11.557098012417555,4.609700292348862,12.771296314895153,
4,xair,1,0.0,0.0,concurrent,1,0,0,1,0,1129,1128,after_check,0,after_middleware,0.9114197455346584,2.226637676358223,9.118591900914907,6.8919542245566845,8.207172155380249,10.660576168447733,12.001673225313425,,,EXECUTE,published_after_gate_recheck,5.0207520835101604,5.031172186136246,0.010420102626085281,4.097729921340942,4.368958994746208,14.05418524518609,4.698107019066811,9.118482004851103,9.128902107477188
5,xair,1,0.0,0.0,concurrent,1,0,0,1,0,1131,1130,after_check,0,after_middleware,0.8877660147845745,2.124846912920475,9.747372008860111,7.622525095939636,8.859605994075537,11.166054755449295,12.579566799104214,,,EXECUTE,published_after_gate_recheck,5.1313601434230804,5.139805842190981,0.008445698767900467,4.6158418990671635,4.767045844346285,14.480405021458864,4.992179106920958,9.747202042490244,9.755647741258144
6,xair,1,0.0,0.0,concurrent,0,1,0,0,0,1133,1133,before_check,0,,,,,12.733825948089361,13.83668603375554,10.10414119809866,11.372842360287905,,,REVOKE,read_set_version_changed_at_gate,9.794941172003746,,,4.9299621023237705,5.04496693611145,13.397071044892073,5.169621203094721,14.724903274327517,
7,xair,1,0.0,0.0,concurrent,0,1,0,0,0,1135,1135,before_check,0,,,,,11.954473797231913,13.286412693560123,9.383188094943762,10.600212030112743,,,REVOKE,read_set_version_changed_at_gate,9.752171114087105,,,4.377143923193216,4.521314986050129,12.683461885899305,4.754441790282726,14.129315037280321,
8,xair,1,0.0,0.0,concurrent,0,1,0,0,0,1137,1137,before_check,0,,,,,10.356204118579626,11.548211332410574,8.257556241005659,9.14066331461072,,,REVOKE,read_set_version_changed_at_gate,8.387530222535133,,,4.06869500875473,4.147323314100504,11.16929017007351,4.253262188285589,12.456225231289864,
9,xair,1,0.0,0.0,concurrent,1,0,0,1,0,1139,1138,after_check,0,after_middleware,1.0675722733139992,2.3172679357230663,8.739289827644825,6.422021891921759,7.671717554330826,10.126985143870115,11.029738932847977,,,EXECUTE,published_after_gate_recheck,4.659994971007109,4.66633727774024,0.006342306733131409,4.079124890267849,4.158984869718552,13.152041006833315,4.252229817211628,8.739119861274958,8.745462168008089
