run,mode,inject,inject_offset_ms,publish_delay_ms,injection_window,gateway_released,gate_blocked,stale_publish,potential_stale_publish,post_release_invalidation,injection_version,check_version,version_order,stale_exact,position_vs_middleware,residual_lo_ms,residual_hi_ms,t_middleware_ms,store_io_lo_ms,store_io_hi_ms,injection_store_lo_ms,injection_store_hi_ms,commit_status,commit_age_ms,outcome,reason,validation_to_gate_ms,validation_to_publish_ms,recheck_to_publish_ms,t_validate_end_ms,t_injection_start_ms,t_injection_end_ms,t_recheck_start_ms,t_recheck_end_ms,t_publish_end_ms
0,xair,0,,50.0,control,1,0,0,0,0,,1,control,0,,1.0595181956887245,2.445538993924856,61.26162502914667,58.816086035221815,60.20210683345795,,,,,EXECUTE,published_after_gate_recheck,55.42797688394785,55.44826528057456,0.02028839662671089,5.833266768604517,,,55.96720892935991,61.261243652552366,61.28153204917908
1,xair,1,0.0,50.0,before_recheck,0,1,0,0,0,3,3,before_check,0,,,,,57.25765135139227,58.4337180480361,8.881458081305027,10.211954358965158,,,REVOKE,read_set_version_changed_at_gate,55.15278084203601,,,4.44355932995677,4.58268029615283,12.281438335776329,54.788708221167326,59.59634017199278,
2,xair,0,,50.0,control,1,0,0,0,0,,4,control,0,,1.1956142261624336,2.536310348659754,60.35702722147107,57.82071687281132,59.16141299530864,,,,,EXECUTE,published_after_gate_recheck,55.646315682679415,55.661845952272415,0.015530269593000412,4.710410255938768,,,54.810929112136364,60.35672593861818,60.37225620821118
3,xair,1,0.0,50.0,before_recheck,0,1,0,0,0,6,6,before_check,0,,,,,57.915575336664915,59.21528395265341,9.682060219347477,10.957062244415283,,,REVOKE,read_set_version_changed_at_gate,55.386008229106665,,,4.834712948650122,4.936544224619865,13.048938009887934,55.11747393757105,60.220721177756786,
4,xair,0,,50.0,control,1,0,0,0,0,,7,control,0,,0.9576468728482723,2.301598899066448,62.9539811052382,60.65238220617175,61.99633423238993,,,,,EXECUTE,published_after_gate_recheck,55.14651909470558,55.155305191874504,0.008786097168922424,7.807352114468813,,,57.89689114317298,62.953871209174395,62.96265730634332
5,xair,1,0.0,50.0,before_recheck,0,1,0,0,0,9,9,before_check,0,,,,,58.12152195721865,59.33465901762247,10.330938268452883,11.68715301901102,,,REVOKE,read_set_version_changed_at_gate,55.92703400179744,,,4.567101132124662,4.806690849363804,14.003689866513014,55.1760452799499,60.4941351339221,
6,xair,0,,50.0,control,1,0,0,0,0,,10,control,0,,1.18953175842762,2.5711138732731342,61.03157205507159,58.46045818179846,59.84204029664397,,,,,EXECUTE,published_after_gate_recheck,56.02397536858916,56.03312235325575,0.009146984666585922,5.007456988096237,,,55.08747790008783,61.0314323566854,61.040579341351986
7,xair,1,0.0,50.0,before_recheck,0,1,0,0,0,12,12,before_check,0,,,,,57.21409898251295,58.584009762853384,8.907236158847809,10.199942160397768,,,REVOKE,read_set_version_changed_at_gate,55.1479822024703,,,4.519782029092312,4.62874723598361,12.33132230117917,54.80676190927625,59.667764231562614,
8,xair,1,0.0,50.0,before_recheck,0,1,0,0,0,14,14,before_check,0,,,,,57.37944971770048,58.74298885464668,9.307187050580978,10.485116858035326,,,REVOKE,read_set_version_changed_at_gate,55.08873984217644,,,4.6243187971413136,4.740896634757519,12.616225983947515,54.92074601352215,59.71305863931775,
9,xair,1,0.0,50.0,before_recheck,0,1,0,0,0,16,16,before_check,0,,,,,57.779309805482626,58.92193363979459,8.81070364266634,9.899266995489597,,,REVOKE,read_set_version_changed_at_gate,55.25270802900195,,,4.68938983976841,4.80066891759634,11.683034710586071,55.05076888948679,59.94209786877036,
