mode,deadline_ms,induced_delay_ms,gateway_released,reason,age_at_check_ms,age_at_middleware_ms,late_at_check,late_at_middleware
xair_atomic,100,93.5,0,age_bound_exceeded_at_commit,105.75512695312,,0,0
xair_atomic,100,100.5,0,age_bound_exceeded_at_commit,112.63989257812,,0,0
xair,100,92.0,0,deadline exceeded: elapsed 105.0ms > 100ms at release_at_publish,105.008544921875,,0,0
xair_atomic,100,89.0,0,age_bound_exceeded_at_commit,100.88598632812,,0,0
xair_atomic,100,95.0,0,age_bound_exceeded_at_commit,105.5400390625,,0,0
xair_atomic,100,96.0,0,age_bound_exceeded_at_commit,107.36010742188,,0,0
xair_atomic,100,86.0,1,authorization_committed,97.812255859375,99.57275390625,0,0
xair_atomic,100,93.5,0,age_bound_exceeded_at_commit,104.40307617188,,0,0
xair,100,105.0,0,deadline exceeded: elapsed 116.6ms > 100ms at release_at_publish,116.596923828125,,0,0
xair_atomic,100,90.0,0,age_bound_exceeded_at_commit,101.46606445312,,0,0
xair_atomic,100,91.0,0,age_bound_exceeded_at_commit,101.70385742188,,0,0
xair_atomic,100,102.5,0,age_bound_exceeded_at_commit,114.87280273438,,0,0
xair,100,93.5,0,deadline exceeded: elapsed 106.2ms > 100ms at release_at_publish,106.22900390625,,0,0
xair_atomic,100,99.0,0,age_bound_exceeded_at_commit,112.14599609375,,0,0
xair,100,104.5,0,deadline exceeded: elapsed 118.7ms > 100ms at release_at_publish,118.704833984375,,0,0
xair,100,92.5,0,deadline exceeded: elapsed 113.9ms > 100ms at release_at_publish,113.93408203125,,0,0
xair_atomic,100,91.5,0,age_bound_exceeded_at_commit,107.82397460938,,0,0
xair,100,100.5,0,deadline exceeded: elapsed 117.9ms > 100ms at release_at_publish,117.8916015625,,0,0
xair,100,96.0,0,deadline exceeded: elapsed 110.0ms > 100ms at release_at_publish,110.022216796875,,0,0
xair_atomic,100,95.5,0,age_bound_exceeded_at_commit,106.08081054688,,0,0
xair_atomic,100,90.0,0,age_bound_exceeded_at_commit,101.19116210938,,0,0
xair_atomic,100,90.0,0,age_bound_exceeded_at_commit,100.90209960938,,0,0
xair,100,102.5,0,deadline exceeded: elapsed 115.8ms > 100ms at release_at_publish,115.78662109375,,0,0
xair,100,101.0,0,deadline exceeded: elapsed 113.2ms > 100ms at release_at_publish,113.193359375,,0,0
xair,100,91.0,0,deadline exceeded: elapsed 103.5ms > 100ms at release_at_publish,103.4716796875,,0,0
xair_atomic,100,95.0,0,age_bound_exceeded_at_commit,105.27709960938,,0,0
xair_atomic,100,100.0,0,age_bound_exceeded_at_commit,110.68603515625,,0,0
xair,100,92.0,0,deadline exceeded: elapsed 103.9ms > 100ms at release_at_publish,103.862060546875,,0,0
xair_atomic,100,93.5,0,age_bound_exceeded_at_commit,104.24609375,,0,0
xair_atomic,100,102.0,0,age_bound_exceeded_at_commit,113.80810546875,,0,0
xair,100,93.0,0,deadline exceeded: elapsed 106.6ms > 100ms at release_at_publish,106.56494140625,,0,0
xair_atomic,100,95.0,0,age_bound_exceeded_at_commit,107.09106445312,,0,0
xair_atomic,100,89.5,0,age_bound_exceeded_at_commit,101.77294921875,,0,0
xair_atomic,100,88.0,0,age_bound_exceeded_at_commit,100.22192382812,,0,0
xair_atomic,100,103.5,0,age_bound_exceeded_at_commit,115.48291015625,,0,0
xair_atomic,100,101.0,0,age_bound_exceeded_at_commit,111.97485351562,,0,0
xair,100,87.5,1,published_after_gate_recheck,99.84423828125,99.873779296875,0,0
xair,100,92.5,0,deadline exceeded: elapsed 107.5ms > 100ms at release_at_publish,107.467529296875,,0,0
xair,100,97.0,0,deadline exceeded: elapsed 111.0ms > 100ms at release_at_publish,110.964111328125,,0,0
xair,100,104.5,0,deadline exceeded: elapsed 118.8ms > 100ms at release_at_publish,118.76708984375,,0,0
xair,100,104.0,0,deadline exceeded: elapsed 117.3ms > 100ms at release_at_publish,117.244140625,,0,0
xair,100,103.0,0,deadline exceeded: elapsed 117.2ms > 100ms at release_at_publish,117.22412109375,,0,0
xair_atomic,100,93.5,0,age_bound_exceeded_at_commit,106.52294921875,,0,0
xair,100,101.5,0,deadline exceeded: elapsed 115.5ms > 100ms at release_at_publish,115.497314453125,,0,0
xair,100,102.5,0,deadline exceeded: elapsed 115.1ms > 100ms at release_at_publish,115.129638671875,,0,0
xair_atomic,100,101.5,0,age_bound_exceeded_at_commit,114.02416992188,,0,0
xair,100,86.5,0,deadline exceeded: elapsed 100.1ms > 100ms at release_at_publish,100.092041015625,,0,0
xair_atomic,100,89.0,0,age_bound_exceeded_at_commit,100.46704101562,,0,0
xair,100,91.0,0,deadline exceeded: elapsed 103.1ms > 100ms at release_at_publish,103.06396484375,,0,0
xair,100,89.5,0,deadline exceeded: elapsed 100.8ms > 100ms at release_at_publish,100.74853515625,,0,0
xair_atomic,100,94.5,0,age_bound_exceeded_at_commit,106.34619140625,,0,0
xair_atomic,100,87.5,1,authorization_committed,99.476806640625,101.26171875,0,1
xair,100,85.5,1,published_after_gate_recheck,99.334228515625,99.373779296875,0,0
xair_atomic,100,102.5,0,age_bound_exceeded_at_commit,113.63403320312,,0,0
xair_atomic,100,101.5,0,age_bound_exceeded_at_commit,111.80004882812,,0,0
xair,100,94.0,0,deadline exceeded: elapsed 107.9ms > 100ms at release_at_publish,107.92041015625,,0,0
xair,100,98.0,0,deadline exceeded: elapsed 111.6ms > 100ms at release_at_publish,111.543212890625,,0,0
xair,100,96.5,0,deadline exceeded: elapsed 108.7ms > 100ms at release_at_publish,108.64453125,,0,0
xair,100,99.5,0,deadline exceeded: elapsed 111.9ms > 100ms at release_at_publish,111.856201171875,,0,0
xair,100,91.5,0,deadline exceeded: elapsed 104.1ms > 100ms at release_at_publish,104.109130859375,,0,0
xair_atomic,100,97.0,0,age_bound_exceeded_at_commit,107.1220703125,,0,0
xair,100,89.5,0,deadline exceeded: elapsed 102.0ms > 100ms at release_at_publish,101.96533203125,,0,0
xair,100,95.0,0,deadline exceeded: elapsed 107.4ms > 100ms at release_at_publish,107.34375,,0,0
xair_atomic,100,85.0,1,authorization_committed,96.3017578125,98.384521484375,0,0
xair,100,89.0,0,deadline exceeded: elapsed 101.2ms > 100ms at release_at_publish,101.173828125,,0,0
xair,100,94.5,0,deadline exceeded: elapsed 106.5ms > 100ms at release_at_publish,106.445068359375,,0,0
xair_atomic,100,92.0,0,age_bound_exceeded_at_commit,102.787109375,,0,0
xair,100,99.0,0,deadline exceeded: elapsed 112.7ms > 100ms at release_at_publish,112.714599609375,,0,0
xair,100,92.0,0,deadline exceeded: elapsed 105.1ms > 100ms at release_at_publish,105.092041015625,,0,0
xair,100,93.5,0,deadline exceeded: elapsed 105.7ms > 100ms at release_at_publish,105.660400390625,,0,0
xair_atomic,100,90.5,0,age_bound_exceeded_at_commit,101.17700195312,,0,0
xair_atomic,100,90.0,0,age_bound_exceeded_at_commit,101.91796875,,0,0
xair,100,87.5,0,deadline exceeded: elapsed 101.5ms > 100ms at release_at_publish,101.490478515625,,0,0
xair,100,105.0,0,deadline exceeded: elapsed 117.7ms > 100ms at release_at_publish,117.731201171875,,0,0
xair_atomic,100,90.0,0,age_bound_exceeded_at_commit,100.46508789062,,0,0
xair,100,100.0,0,deadline exceeded: elapsed 112.2ms > 100ms at release_at_publish,112.14501953125,,0,0
xair,100,88.0,1,published_after_gate_recheck,99.48291015625,99.542724609375,0,0
xair_atomic,100,103.0,0,age_bound_exceeded_at_commit,116.19409179688,,0,0
xair_atomic,100,104.5,0,age_bound_exceeded_at_commit,115.68383789062,,0,0
xair_atomic,100,95.0,0,age_bound_exceeded_at_commit,110.712890625,,0,0
xair,100,89.5,0,deadline exceeded: elapsed 104.3ms > 100ms at release_at_publish,104.259765625,,0,0
