run,mode,inject,inject_offset_ms,publish_delay_ms,injection_window,gateway_released,gate_blocked,stale_publish,potential_stale_publish,post_release_invalidation,injection_version,check_version,version_order,stale_exact,position_vs_middleware,residual_lo_ms,residual_hi_ms,t_middleware_ms,store_io_lo_ms,store_io_hi_ms,injection_store_lo_ms,injection_store_hi_ms,commit_status,commit_age_ms,outcome,reason,validation_to_gate_ms,validation_to_publish_ms,recheck_to_publish_ms,t_validate_end_ms,t_injection_start_ms,t_injection_end_ms,t_recheck_start_ms,t_recheck_end_ms,t_publish_end_ms
0,xair_atomic,0,,50.0,control,1,0,0,0,0,,561,control,0,,0.9760512039065361,4.961919039487839,64.34621103107929,59.38429199159145,63.370159827172756,,,committed,66.2041015625,EXECUTE,authorization_committed,58.87098889797926,58.89663705602288,0.02564815804362297,5.469190888106823,,,55.55829405784607,64.34017978608608,64.3658279441297
1,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,563,563,before_check,0,,,,,57.43276001885533,58.911343570798635,9.437314700335264,10.718378704041243,changed,61.175048828125,REVOKE,read_set_version_changed_at_commit,54.92113810032606,,,4.846992902457714,4.964794032275677,12.494720984250307,55.1386559382081,59.768131002783775,
2,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,565,565,before_check,0,,,,,56.6827729344368,57.94656416401267,8.919223211705685,10.094118304550648,changed,59.89697265625,REVOKE,read_set_version_changed_at_commit,54.757933132350445,,,4.10073297098279,4.189790226519108,11.789689306169748,54.36357203871012,58.858666103333235,
3,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,567,567,before_check,0,,,,,56.835259310901165,58.25768830254674,9.041122160851955,10.146556422114372,changed,60.50390625,REVOKE,read_set_version_changed_at_commit,54.87062409520149,,,4.183308221399784,4.271804355084896,12.209386099129915,54.42759208381176,59.053932316601276,
4,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,569,569,before_check,0,,,,,56.81472085416317,57.97788314521313,8.93593393266201,10.01672213897109,changed,59.468994140625,REVOKE,read_set_version_changed_at_commit,54.74109994247556,,,4.231669008731842,4.3159169144928455,11.951322201639414,54.46860892698169,58.9727689512074,
5,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,571,571,before_check,0,,,,,58.009291999042034,59.69871208071709,10.143870953470469,11.420146096497774,changed,61.384033203125,REVOKE,read_set_version_changed_at_commit,55.52133405581117,,,5.077485926449299,5.288451910018921,13.70391994714737,55.47472694888711,60.598819982260466,
6,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,573,573,before_check,0,,,,,58.72218916192651,60.16655918210745,9.385418146848679,10.592893231660128,changed,62.2099609375,REVOKE,read_set_version_changed_at_commit,56.49589328095317,,,4.726356826722622,4.897627979516983,12.544604949653149,55.082370061427355,61.22225010767579,
7,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,575,575,before_check,0,,,,,56.54821125790477,58.01676586270332,8.626575116068125,9.995994158089161,changed,60.2919921875,REVOKE,read_set_version_changed_at_commit,55.05241500213742,,,3.9400518871843815,4.039769060909748,12.768465094268322,54.20892219990492,58.992466889321804,
8,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,577,577,before_check,0,,,,,58.30842396244407,59.79308905079961,9.563322179019451,10.707198176532984,changed,62.68994140625,REVOKE,read_set_version_changed_at_commit,56.005663238465786,,,4.80564683675766,5.054703913629055,12.624925933778286,55.33462483435869,60.811310075223446,
9,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,579,579,before_check,0,,,,,58.64785984158516,60.12445967644453,9.911905974149704,11.087761726230383,changed,62.498046875,REVOKE,read_set_version_changed_at_commit,55.96779240295291,,,5.146575625985861,5.382638890296221,13.03992373868823,55.67157594487071,61.11436802893877,
10,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,581,581,before_check,0,,,,,57.60459182783961,58.88168793171644,9.885245002806187,11.011288035660982,changed,61.39697265625,REVOKE,read_set_version_changed_at_commit,55.49133801832795,,,4.559593740850687,4.814512096345425,12.984570115804672,55.06808403879404,60.05093175917864,
11,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,583,583,before_check,0,,,,,58.05527791380882,59.77925192564726,9.042604826390743,10.139081627130508,changed,61.9951171875,REVOKE,read_set_version_changed_at_commit,56.63699796423316,,,4.38180984929204,4.477809648960829,11.923438869416714,54.683972615748644,61.0188078135252,
12,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,585,585,before_check,0,,,,,56.88165593892336,58.235005009919405,8.954610209912062,10.023885406553745,changed,60.278076171875,REVOKE,read_set_version_changed_at_commit,54.924925323575735,,,4.365529865026474,4.45926608517766,11.96427596732974,54.64508989825845,59.29045518860221,
13,xair_atomic,0,,50.0,control,1,0,0,0,0,,586,control,0,,0.8872039616107941,2.1373201161623,59.497143141925335,57.359823025763035,58.60993918031454,,,committed,61.216064453125,EXECUTE,authorization_committed,54.68583665788174,54.70436066389084,0.018524006009101868,4.807349294424057,,,54.883938282728195,59.493185952305794,59.511709958314896
14,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,588,588,before_check,0,,,,,57.35160782933235,58.7451527826488,9.058564901351929,10.301305912435055,changed,61.177978515625,REVOKE,read_set_version_changed_at_commit,55.54425809532404,,,4.368735942989588,4.465507809072733,12.324512004852295,54.64242585003376,59.91299403831363,
15,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,590,590,before_check,0,,,,,59.14981197565794,60.74494402855635,10.692961513996124,11.700962204486132,changed,63.43798828125,REVOKE,read_set_version_changed_at_commit,56.18011998012662,,,5.732415243983269,5.9883552603423595,13.618780300021172,56.27232324331999,61.91253522410989,
16,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,592,592,before_check,0,,,,,58.36507910862565,59.75202098488808,9.875437244772911,11.152422986924648,changed,62.19091796875,REVOKE,read_set_version_changed_at_commit,55.962592363357544,,,4.970754962414503,5.207058973610401,13.171300292015076,55.48856221139431,60.93334732577205,
17,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,594,594,before_check,0,,,,,57.98847274854779,59.45265991613269,8.90582799911499,10.057538747787476,changed,61.173095703125,REVOKE,read_set_version_changed_at_commit,56.17065215483308,,,4.4601378031075,4.575283732265234,12.046730611473322,54.78225788101554,60.63078995794058,
18,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,596,596,before_check,0,,,,,58.57787886634469,60.097870882600546,10.048792697489262,11.335927993059158,changed,62.423095703125,REVOKE,read_set_version_changed_at_commit,56.09632330015302,,,5.222026724368334,5.3282566368579865,13.394379988312721,55.50547502934933,61.31835002452135,
19,xair_atomic,0,,50.0,control,1,0,0,0,0,,597,control,0,,0.7808650843799114,2.2799470461905003,60.69707404822111,58.41712700203061,59.9162089638412,,,committed,62.659912109375,EXECUTE,authorization_committed,55.402560625225306,55.41737889871001,0.014818273484706879,5.2908360958099365,,,55.367725901305676,60.69339672103524,60.70821499451995
20,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,599,599,before_check,0,,,,,58.08702763170004,59.27242198958993,10.824738070368767,11.982921045273542,changed,61.31103515625,REVOKE,read_set_version_changed_at_commit,54.856627248227596,,,5.3889998234808445,5.516780074685812,14.214316848665476,55.85208488628268,60.24562707170844,
21,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,601,601,before_check,0,,,,,57.702737394720316,59.16514107957482,9.944487363100052,11.217445135116577,changed,61.714111328125,REVOKE,read_set_version_changed_at_commit,55.44079327955842,,,4.946120083332062,5.0475201569497585,13.231945224106312,55.215541273355484,60.38691336289048,
22,xair_atomic,0,,50.0,control,1,0,0,0,0,,602,control,0,,1.1269338428974152,2.8785299509763718,61.62305176258087,58.7445218116045,60.496117919683456,,,committed,63.264892578125,EXECUTE,authorization_committed,56.64566392078996,56.66157370433211,0.01590978354215622,4.9740020185709,,,55.10844988748431,61.61966593936086,61.63557572290301
