mode,deadline_ms,induced_delay_ms,gateway_released,reason,age_at_check_ms,age_at_middleware_ms,late_at_check,late_at_middleware
xair_atomic,100,86.0,1,authorization_committed,97.81689453125,99.599609375,0,0
xair,100,105.0,0,deadline exceeded: elapsed 120.5ms > 100ms at release_at_publish,120.53125,,0,0
xair_atomic,100,100.5,0,age_bound_exceeded_at_commit,114.52905273438,,0,0
xair_atomic,100,91.0,0,age_bound_exceeded_at_commit,101.82006835938,,0,0
xair_atomic,100,96.0,0,age_bound_exceeded_at_commit,107.43286132812,,0,0
xair,100,102.0,0,deadline exceeded: elapsed 115.8ms > 100ms at release_at_publish,115.817138671875,,0,0
xair,100,97.5,0,deadline exceeded: elapsed 110.7ms > 100ms at release_at_publish,110.7333984375,,0,0
xair,100,85.0,1,published_after_gate_recheck,98.501220703125,98.53759765625,0,0
xair,100,92.0,0,deadline exceeded: elapsed 107.7ms > 100ms at release_at_publish,107.66015625,,0,0
xair,100,104.0,0,deadline exceeded: elapsed 118.6ms > 100ms at release_at_publish,118.58642578125,,0,0
xair_atomic,100,99.5,0,age_bound_exceeded_at_commit,110.9970703125,,0,0
xair_atomic,100,90.5,0,age_bound_exceeded_at_commit,101.83911132812,,0,0
xair,100,101.5,0,deadline exceeded: elapsed 114.3ms > 100ms at release_at_publish,114.302734375,,0,0
xair_atomic,100,104.0,0,age_bound_exceeded_at_commit,117.35302734375,,0,0
xair,100,104.0,0,deadline exceeded: elapsed 117.6ms > 100ms at release_at_publish,117.542724609375,,0,0
xair,100,103.0,0,deadline exceeded: elapsed 121.7ms > 100ms at release_at_publish,121.6943359375,,0,0
xair_atomic,100,101.5,0,age_bound_exceeded_at_commit,113.63793945312,,0,0
xair,100,93.5,0,deadline exceeded: elapsed 106.5ms > 100ms at release_at_publish,106.450927734375,,0,0
xair_atomic,100,101.0,0,age_bound_exceeded_at_commit,115.24291992188,,0,0
xair_atomic,100,97.5,0,age_bound_exceeded_at_commit,110.22607421875,,0,0
xair,100,85.5,1,published_after_gate_recheck,99.446044921875,99.484130859375,0,0
