run,mode,inject,inject_offset_ms,publish_delay_ms,injection_window,gateway_released,gate_blocked,stale_publish,potential_stale_publish,post_release_invalidation,injection_version,check_version,version_order,stale_exact,outcome,reason,validation_to_gate_ms,validation_to_publish_ms,recheck_to_publish_ms,t_validate_end_ms,t_injection_start_ms,t_injection_end_ms,t_recheck_start_ms,t_recheck_end_ms,t_publish_end_ms
0,xair_atomic,0,,0.0,control,1,0,0,0,0,,1,control,0,EXECUTE,atomic_actuation_committed,7.436164189130068,7.446093019098043,0.009928829967975616,6.35214988142252,,,6.359434220939875,13.788314070552588,13.798242900520563
1,xair_atomic,0,,0.0,control,1,0,0,0,0,,2,control,0,EXECUTE,atomic_actuation_committed,7.193118333816528,7.206363137811422,0.013244803994894028,4.072115756571293,,,4.080360755324364,11.265234090387821,11.278478894382715
2,xair_atomic,1,0.0,0.0,concurrent,1,0,0,0,1,4,3,after_check,0,EXECUTE,atomic_actuation_committed,10.752011090517044,10.76558604836464,0.013574957847595215,4.568577278405428,4.877455998212099,20.51714202389121,5.113678984344006,15.320588368922472,15.334163326770067
3,xair_atomic,1,0.0,0.0,concurrent,0,1,0,0,0,6,6,before_check,0,REVOKE,read_set_version_changed_at_actuation,12.853201013058424,,,6.357189733535051,6.504125893115997,15.267928596585989,6.681517697870731,19.210390746593475,
4,xair_atomic,1,0.0,0.0,concurrent,1,0,0,0,1,8,7,after_check,0,EXECUTE,atomic_actuation_committed,6.541967391967773,6.550453137606382,0.008485745638608932,5.1385946571826935,5.247459746897221,16.024217009544373,5.338579881936312,11.680562049150467,11.689047794789076
5,xair_atomic,1,0.0,0.0,concurrent,0,1,0,0,0,10,10,before_check,0,REVOKE,read_set_version_changed_at_actuation,11.93623198196292,,,4.939882084727287,5.118717905133963,13.453616760671139,5.376440938562155,16.876114066690207,
6,xair_atomic,1,0.0,0.0,concurrent,0,1,0,0,0,12,12,before_check,0,REVOKE,read_set_version_changed_at_actuation,11.369097977876663,,,4.828785080462694,4.933300893753767,12.52331305295229,5.052954889833927,16.197883058339357,
7,xair_atomic,1,0.0,0.0,concurrent,1,0,0,0,1,14,13,after_check,0,EXECUTE,atomic_actuation_committed,6.888126023113728,6.898976396769285,0.010850373655557632,4.529442638158798,4.626955837011337,15.515131875872612,4.71452996134758,11.417568661272526,11.428419034928083
8,xair_atomic,1,0.0,0.0,concurrent,1,0,0,0,1,16,15,after_check,0,EXECUTE,atomic_actuation_committed,7.3411851190030575,7.352066226303577,0.010881107300519943,5.204690154641867,5.331908352673054,17.24750129505992,5.487821064889431,12.545875273644924,12.556756380945444
9,xair_atomic,0,,0.0,control,1,0,0,0,0,,17,control,0,EXECUTE,atomic_actuation_committed,6.308799143880606,6.318047177046537,0.009248033165931702,4.364553838968277,,,4.371896851807833,10.673352982848883,10.682601016014814
10,xair_atomic,1,0.0,0.0,concurrent,1,0,0,0,1,19,18,after_check,0,EXECUTE,atomic_actuation_committed,8.219783194363117,8.234770968556404,0.014987774193286896,4.759634844958782,4.93031507357955,17.70505914464593,5.1399278454482555,12.9794180393219,12.994405813515186
11,xair_atomic,1,0.0,0.0,concurrent,1,0,0,0,1,21,20,after_check,0,EXECUTE,atomic_actuation_committed,7.870307192206383,7.889002095907927,0.018694903701543808,4.710752982646227,4.851136356592178,16.132790129631758,5.1580010913312435,12.58106017485261,12.599755078554153
12,xair_atomic,1,0.0,0.0,concurrent,1,0,0,0,1,23,22,after_check,0,EXECUTE,atomic_actuation_committed,7.2272708639502525,7.235346827656031,0.008075963705778122,4.734016954898834,4.844853654503822,17.016987781971693,4.951493814587593,11.961287818849087,11.969363782554865
13,xair_atomic,1,0.0,0.0,concurrent,0,1,0,0,0,25,25,before_check,0,REVOKE,read_set_version_changed_at_actuation,12.602140195667744,,,5.010875873267651,5.215470213443041,13.413000851869583,5.400727037340403,17.613016068935394,
14,xair_atomic,0,,0.0,control,1,0,0,0,0,,26,control,0,EXECUTE,atomic_actuation_committed,7.180924993008375,7.1905627846717834,0.00963779166340828,4.632486030459404,,,4.639288876205683,11.81341102346778,11.823048815131187
15,xair_atomic,0,,0.0,control,1,0,0,0,0,,27,control,0,EXECUTE,atomic_actuation_committed,6.444914266467094,6.452118046581745,0.007203780114650726,4.560532048344612,,,4.564780276268721,11.005446314811707,11.012650094926357
16,xair_atomic,1,0.0,0.0,concurrent,0,1,0,0,0,29,29,before_check,0,REVOKE,read_set_version_changed_at_actuation,12.663224712014198,,,5.213384982198477,5.449547898024321,14.038352761417627,5.75939891859889,17.876609694212675,
17,xair_atomic,1,0.0,0.0,concurrent,0,1,0,0,0,31,31,before_check,0,REVOKE,read_set_version_changed_at_actuation,12.539863120764494,,,5.291962996125221,5.491637159138918,13.619937933981419,5.665343254804611,17.831826116889715,
