run,mode,inject,inject_offset_ms,publish_delay_ms,injection_window,gateway_released,gate_blocked,stale_publish,potential_stale_publish,post_release_invalidation,injection_version,check_version,version_order,stale_exact,outcome,reason,validation_to_gate_ms,validation_to_publish_ms,recheck_to_publish_ms,t_validate_end_ms,t_injection_start_ms,t_injection_end_ms,t_recheck_start_ms,t_recheck_end_ms,t_publish_end_ms
0,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,2042,2042,before_check,0,REVOKE,read_set_version_changed_at_actuation,59.37846004962921,,,4.692309070378542,4.801083356142044,12.87390012294054,54.98836934566498,64.07076912000775,
1,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,2044,2044,before_check,0,REVOKE,read_set_version_changed_at_actuation,57.977003045380116,,,5.0355419516563416,5.237931851297617,13.966158032417297,55.57698290795088,63.01254499703646,
2,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,2046,2046,before_check,0,REVOKE,read_set_version_changed_at_actuation,57.4146076105535,,,4.643487278372049,4.8194569535553455,12.699954211711884,55.1247950643301,62.05809488892555,
3,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,2048,2048,before_check,0,REVOKE,read_set_version_changed_at_actuation,58.35394002497196,,,5.157710984349251,5.364599172025919,13.314937241375446,55.71718607097864,63.51165100932121,
4,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,2050,2050,before_check,0,REVOKE,read_set_version_changed_at_actuation,57.851667050272226,,,5.603908095508814,5.717550870031118,13.75473104417324,55.96617190167308,63.45557514578104,
5,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,2052,2052,before_check,0,REVOKE,read_set_version_changed_at_actuation,57.34002776443958,,,4.938951227813959,5.083711817860603,13.008011039346457,55.28521491214633,62.27897899225354,
6,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,2054,2054,before_check,0,REVOKE,read_set_version_changed_at_actuation,57.37680708989501,,,4.816992208361626,5.012769252061844,12.953728903084993,55.31732505187392,62.193799298256636,
7,xair_atomic,0,,50.0,control,1,0,0,0,0,,2055,control,0,EXECUTE,atomic_actuation_committed,58.33350075408816,58.35114372894168,0.017642974853515625,4.772217944264412,,,54.88346191123128,63.105718698352575,63.12336167320609
8,xair_atomic,0,,50.0,control,1,0,0,0,0,,2056,control,0,EXECUTE,atomic_actuation_committed,57.45035596191883,57.46654560789466,0.01618964597582817,4.908704198896885,,,54.99161500483751,62.359060160815716,62.375249806791544
9,xair_atomic,0,,50.0,control,1,0,0,0,0,,2057,control,0,EXECUTE,atomic_actuation_committed,58.133477345108986,58.144597336649895,0.011119991540908813,4.7856830060482025,,,54.86860405653715,62.91916035115719,62.9302803426981
10,xair_atomic,0,,50.0,control,1,0,0,0,0,,2058,control,0,EXECUTE,atomic_actuation_committed,58.01607575267553,58.02743695676327,0.011361204087734222,4.59078885614872,,,54.67287776991725,62.60686460882425,62.61822581291199
11,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,2060,2060,before_check,0,REVOKE,read_set_version_changed_at_actuation,58.088401798158884,,,4.601588007062674,4.7598048113286495,13.103279750794172,55.121758952736855,62.68998980522156,
12,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,2062,2062,before_check,0,REVOKE,read_set_version_changed_at_actuation,57.70860891789198,,,5.763737950474024,5.927223712205887,13.477913103997707,56.16568587720394,63.472346868366,
13,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,2064,2064,before_check,0,REVOKE,read_set_version_changed_at_actuation,57.60574713349342,,,4.431410226970911,4.557887092232704,12.344968970865011,54.75065438076854,62.037157360464334,
14,xair_atomic,0,,50.0,control,1,0,0,0,0,,2065,control,0,EXECUTE,atomic_actuation_committed,58.24611708521843,58.258019387722015,0.011902302503585815,4.282210022211075,,,54.39923424273729,62.528327107429504,62.54022940993309
15,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,2067,2067,before_check,0,REVOKE,read_set_version_changed_at_actuation,57.64829693362117,,,4.963757004588842,5.11207478120923,12.942347675561905,55.31778605654836,62.61205393821001,
16,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,2069,2069,before_check,0,REVOKE,read_set_version_changed_at_actuation,59.31484093889594,,,4.704532213509083,5.022989120334387,13.279641047120094,55.472277104854584,64.01937315240502,
17,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,2071,2071,before_check,0,REVOKE,read_set_version_changed_at_actuation,59.51546784490347,,,4.487444180995226,4.570860881358385,12.658305000513792,54.73350128158927,64.0029120258987,
18,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,2073,2073,before_check,0,REVOKE,read_set_version_changed_at_actuation,57.76507593691349,,,5.873773247003555,6.120807025581598,14.00955906137824,56.390137411653996,63.638849183917046,
19,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,2075,2075,before_check,0,REVOKE,read_set_version_changed_at_actuation,57.30053503066301,,,4.738203715533018,4.947516601532698,13.082520570605993,55.27884280309081,62.03873874619603,
20,xair_atomic,0,,50.0,control,1,0,0,0,0,,2076,control,0,EXECUTE,atomic_actuation_committed,57.36719910055399,57.37904226407409,0.011843163520097733,5.408401135355234,,,55.507352109998465,62.775600235909224,62.78744339942932
21,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,2078,2078,before_check,0,REVOKE,read_set_version_changed_at_actuation,57.261901907622814,,,4.740118980407715,4.900448955595493,12.492444831877947,55.07635371759534,62.00202088803053,
22,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,2080,2080,before_check,0,REVOKE,read_set_version_changed_at_actuation,58.79094870761037,,,4.440606106072664,4.537948872894049,14.53302102163434,54.70277275890112,63.23155481368303,
23,xair_atomic,0,,50.0,control,1,0,0,0,0,,2081,control,0,EXECUTE,atomic_actuation_committed,59.200126212090254,59.22302883118391,0.02290261909365654,5.587467923760414,,,55.67966587841511,64.78759413585067,64.81049675494432
24,xair_atomic,1,0.0,50.0,before_recheck,0,1,0,0,0,2083,2083,before_check,0,REVOKE,read_set_version_changed_at_actuation,61.83073902502656,,,5.565485917031765,5.8395396918058395,14.384512789547443,56.15158984437585,67.39622494205832,
