run,mode,inject,inject_offset_ms,publish_delay_ms,injection_window,gateway_released,gate_blocked,stale_publish,potential_stale_publish,post_release_invalidation,injection_version,check_version,version_order,stale_exact,outcome,reason,validation_to_gate_ms,validation_to_publish_ms,recheck_to_publish_ms,t_validate_end_ms,t_injection_start_ms,t_injection_end_ms,t_recheck_start_ms,t_recheck_end_ms,t_publish_end_ms
0,xair,1,0.0,50.0,before_recheck,0,1,0,0,0,1482,1482,before_check,0,REVOKE,read_set_version_changed_at_gate,55.15289679169655,,,4.657403100281954,4.809448029845953,12.908754870295525,54.997466038912535,59.8102998919785,
1,xair,1,0.0,50.0,before_recheck,0,1,0,0,0,1484,1484,before_check,0,REVOKE,read_set_version_changed_at_gate,54.87801227718592,,,4.470041953027248,4.571621771901846,12.703329790383577,54.75510098040104,59.348054230213165,
2,xair,1,0.0,50.0,before_recheck,0,1,0,0,0,1486,1486,before_check,0,REVOKE,read_set_version_changed_at_gate,55.250521283596754,,,4.675285890698433,4.887133836746216,12.342642992734909,55.18898507580161,59.92580717429519,
3,xair,1,0.0,50.0,before_recheck,0,1,0,0,0,1488,1488,before_check,0,REVOKE,read_set_version_changed_at_gate,58.15217085182667,,,4.570439923554659,4.770674742758274,12.73703295737505,55.03537692129612,62.72261077538133,
4,xair,1,0.0,50.0,before_recheck,0,1,0,0,0,1490,1490,before_check,0,REVOKE,read_set_version_changed_at_gate,54.60414802655578,,,5.272807087749243,5.385138094425201,13.33733880892396,55.5636971257627,59.87695511430502,
5,xair,1,0.0,50.0,before_recheck,0,1,0,0,0,1492,1492,before_check,0,REVOKE,read_set_version_changed_at_gate,55.38329901173711,,,4.832821898162365,5.022678058594465,12.74370588362217,55.334588047116995,60.21612090989947,
6,xair,1,0.0,50.0,before_recheck,0,1,0,0,0,1494,1494,before_check,0,REVOKE,read_set_version_changed_at_gate,54.739502258598804,,,4.577271640300751,4.673291929066181,12.719078920781612,54.850499611347914,59.316773898899555,
7,xair,0,,50.0,control,1,0,0,0,0,,1495,control,0,EXECUTE,published_after_gate_recheck,55.1865310408175,55.1944961771369,0.00796513631939888,4.812643863260746,,,54.90120593458414,59.999174904078245,60.007140040397644
8,xair,0,,50.0,control,1,0,0,0,0,,1496,control,0,EXECUTE,published_after_gate_recheck,54.99602295458317,55.01017905771732,0.014156103134155273,4.614633042365313,,,54.73556416109204,59.61065599694848,59.624812100082636
9,xair,0,,50.0,control,1,0,0,0,0,,1497,control,0,EXECUTE,published_after_gate_recheck,54.87714009359479,54.887920152395964,0.010780058801174164,4.1572158224880695,,,54.26212679594755,59.03435591608286,59.04513597488403
