mode,producers,context_kb,repetition,trials,released,release_rate,connection_retries,throughput_ips,e2e_p50_ms,e2e_p99_ms
local_authoritative,1,1,0,100,100,1.0,0,85.32684226354348,11.512966826558113,14.125516638159752
local_authoritative,1,1,1,100,100,1.0,0,84.02145043781354,11.831885203719139,14.61245073005557
local_authoritative,1,1,2,100,100,1.0,0,83.46499664665406,11.752405669540167,15.952744986861944
local_authoritative,1,1,3,100,100,1.0,0,82.4163276407636,11.925220023840666,14.860045164823532
local_authoritative,1,1,4,100,100,1.0,0,70.21562011465586,11.912256013602018,43.76696143299341
local_authoritative,1,64,0,100,100,1.0,0,56.167891695838016,17.5982010550797,22.214761935174465
local_authoritative,1,64,1,100,100,1.0,0,56.56765213430809,17.392666079103947,21.149343345314264
local_authoritative,1,64,2,100,100,1.0,0,57.853474543690076,16.9423408806324,21.95095783099532
local_authoritative,1,64,3,100,100,1.0,0,55.59385991459013,17.652624286711216,22.250148002058268
local_authoritative,1,64,4,100,100,1.0,0,58.57310052754898,16.699745785444975,23.389454931020737
local_authoritative,10,1,0,100,100,1.0,0,333.8790476463208,28.935709036886692,37.83352021127939
local_authoritative,10,1,1,100,100,1.0,0,332.17902776449097,28.715937864035368,35.204850137233734
local_authoritative,10,1,2,100,100,1.0,0,338.68212682204705,28.63953309133649,36.423705983906984
local_authoritative,10,1,3,100,100,1.0,0,351.794627982883,27.383808977901936,33.43986859545112
local_authoritative,10,1,4,100,100,1.0,0,339.04147400182313,28.451780788600445,39.23493903130293
local_authoritative,10,64,0,100,100,1.0,0,283.3709359642007,33.87961396947503,41.15621279925108
local_authoritative,10,64,1,100,100,1.0,0,278.83936504348344,33.91614183783531,42.942444793879986
local_authoritative,10,64,2,100,100,1.0,0,287.68896172801664,33.67189411073923,40.9593740478158
local_authoritative,10,64,3,100,100,1.0,0,272.2556106001358,34.227616619318724,52.102016285061836
local_authoritative,10,64,4,100,100,1.0,0,277.0963035955509,35.0807374343276,43.47530426457524
local_authoritative,50,1,0,100,100,1.0,0,308.7367366532628,131.43882062286139,185.16882229596376
local_authoritative,50,1,1,100,100,1.0,0,310.759418072533,136.81771093979478,173.05037984624505
local_authoritative,50,1,2,100,100,1.0,0,301.1852168210808,137.5676691532135,166.02769633755088
local_authoritative,50,1,3,100,100,1.0,0,310.49310151439676,132.72454403340816,166.38026805594563
local_authoritative,50,1,4,100,100,1.0,0,313.3563079707747,133.03548702970147,164.69648899510503
local_authoritative,50,64,0,100,100,1.0,0,256.9567692831029,162.7520313486457,253.61335510388017
local_authoritative,50,64,1,100,100,1.0,0,231.08528047856174,179.17742300778627,246.0531429387629
local_authoritative,50,64,2,100,100,1.0,0,244.73187192462646,175.04000198096037,260.6305577792227
local_authoritative,50,64,3,100,100,1.0,0,247.8629835865129,168.02453203126788,208.62569380551577
local_authoritative,50,64,4,100,100,1.0,0,244.98833701752585,173.45110094174743,209.29520996287465
xair,1,1,0,100,100,1.0,0,67.10750324857398,14.65211482718587,19.051969051361084
xair,1,1,1,100,100,1.0,0,64.35537073406093,15.221563167870045,19.29808035492897
xair,1,1,2,100,100,1.0,0,62.65781438610803,15.624489169567823,20.632022991776466
xair,1,1,3,100,100,1.0,0,64.83899694901528,15.15667187049985,19.19343415647745
xair,1,1,4,100,100,1.0,0,64.5080610741524,15.203008893877268,18.45705322921276
xair,1,64,0,100,100,1.0,0,55.13028460979566,17.8961711935699,20.66022576764226
xair,1,64,1,100,100,1.0,0,52.92241183149003,18.158372957259417,28.303513769060373
xair,1,64,2,100,100,1.0,0,54.47490143661809,18.070877995342016,22.97936612740159
xair,1,64,3,100,100,1.0,0,53.58406067905534,18.40356271713972,22.564609069377184
xair,1,64,4,100,100,1.0,0,53.13235293344833,18.311178777366877,25.925201829522848
xair,10,1,0,100,100,1.0,0,273.8775641017711,34.85086606815457,43.77507604658604
xair,10,1,1,100,100,1.0,0,291.04038478805285,32.50868199393153,47.1289767883718
xair,10,1,2,100,100,1.0,0,283.1633334976682,33.78165001049638,47.63759206980467
xair,10,1,3,100,100,1.0,0,262.8873122709092,35.47756094485521,48.10969810932875
xair,10,1,4,100,100,1.0,0,264.83282223415824,35.595433320850134,48.729810398072004
xair,10,64,0,100,100,1.0,0,235.2959187935896,40.49668600782752,55.63984299078584
xair,10,64,1,100,100,1.0,0,253.09158235725087,37.8229608759284,51.55665334314108
xair,10,64,2,100,100,1.0,0,247.20195194587916,38.65674510598183,53.68752125650644
xair,10,64,3,100,100,1.0,0,223.29179189177128,39.48754258453846,84.94064724072814
xair,10,64,4,100,100,1.0,0,237.87896061612818,39.65663118287921,55.91841600835323
xair,50,1,0,100,100,1.0,0,247.36121204843656,167.34744235873222,264.4994049333036
xair,50,1,1,100,100,1.0,0,280.9686505863034,152.06033503636718,218.5591976158321
xair,50,1,2,100,100,1.0,0,262.3550186875956,161.64102777838707,244.9054499156773
xair,50,1,3,100,100,1.0,0,251.80563137711778,163.4438787586987,221.23135114088655
xair,50,1,4,100,100,1.0,0,267.3095298826043,160.03252984955907,200.12181205675006
xair,50,64,0,100,100,1.0,0,230.7880760828589,186.21988408267498,273.32422882318497
xair,50,64,1,100,100,1.0,0,228.63003057887929,189.34761080890894,284.86696211621165
xair,50,64,2,100,100,1.0,0,206.20697852324378,200.99179400131106,306.03391863405704
xair,50,64,3,100,100,1.0,0,240.57666200067618,168.89431281015277,270.9091701544821
xair,50,64,4,100,100,1.0,0,233.1439842354513,180.1227959804237,249.01345605030656
