publishing_interval_ms,version_scope,intent_kind,run,trace_time_s,gateway_released,reason,e2e_latency_ms,validation_to_gate_ms,achieved_update_rate_hz
1000,predicate,continuous,0,0.102,1,published_after_gate_recheck,19.300275947898626,4.554532002657652,1.0
1000,readset,discrete,1,0.712,1,published_after_gate_recheck,19.052010029554367,4.9764420837163925,1.0
1000,readset,continuous,2,1.145,1,published_after_gate_recheck,16.94840006530285,4.591100849211216,1.0
1000,global,discrete,3,1.548,1,published_after_gate_recheck,19.154111854732037,5.1163253374397755,1.0
1000,predicate,discrete,4,2.477,1,published_after_gate_recheck,17.933715600520372,4.250311758369207,1.0
1000,readset,discrete,5,2.9,1,published_after_gate_recheck,18.255597911775112,4.931807983666658,1.0
1000,global,continuous,6,3.397,1,published_after_gate_recheck,16.653798054903746,4.354126285761595,1.0
1000,global,discrete,7,3.687,1,published_after_gate_recheck,18.018444068729877,4.594146274030209,1.0
1000,predicate,discrete,8,4.419,1,published_after_gate_recheck,17.45149213820696,4.31482307612896,1.0
1000,predicate,continuous,9,4.905,1,published_after_gate_recheck,16.25436032190919,4.064764827489853,1.0
1000,readset,continuous,10,5.117,1,published_after_gate_recheck,16.99094008654356,4.522242117673159,1.0
1000,readset,discrete,11,5.978,1,published_after_gate_recheck,20.242631435394287,6.138328928500414,1.0
1000,global,discrete,12,6.404,1,published_after_gate_recheck,18.070963211357594,4.6454621478915215,1.0
1000,global,continuous,13,6.528,1,published_after_gate_recheck,18.041486851871014,4.685617052018642,1.0
1000,global,continuous,14,7.053,1,published_after_gate_recheck,18.721099942922592,5.0121089443564415,1.0
1000,readset,continuous,15,7.544,1,published_after_gate_recheck,17.642099410295486,4.251294303685427,1.0
1000,predicate,discrete,16,8.336,1,published_after_gate_recheck,18.639707937836647,4.53544594347477,1.0
1000,global,continuous,17,8.579,1,published_after_gate_recheck,18.629759084433317,4.777450114488602,1.0
1000,readset,discrete,18,9.074,1,published_after_gate_recheck,16.854112967848778,4.581151995807886,1.0
1000,predicate,discrete,19,9.517,1,published_after_gate_recheck,16.103357076644897,4.426802974194288,1.0
1000,readset,discrete,20,10.219,1,published_after_gate_recheck,16.221108380705118,4.4397772289812565,1.0
1000,readset,continuous,21,10.654,1,published_after_gate_recheck,17.82167609781027,4.468161147087812,1.0
1000,global,continuous,22,11.281,1,published_after_gate_recheck,18.87876633554697,5.032457411289215,1.0
1000,global,discrete,23,11.59,1,published_after_gate_recheck,18.395940773189068,4.386967979371548,1.0
1000,global,continuous,24,12.35,1,published_after_gate_recheck,18.489526119083166,4.946095868945122,1.0
1000,predicate,discrete,25,12.813,1,published_after_gate_recheck,18.985636066645384,4.873129073530436,1.0
1000,readset,discrete,26,13.198,1,published_after_gate_recheck,17.552551347762346,4.527981858700514,1.0
1000,readset,continuous,27,13.983,1,published_after_gate_recheck,17.60402787476778,5.01519488170743,1.0
1000,readset,continuous,28,14.296,1,published_after_gate_recheck,17.43944874033332,4.055827856063843,1.0
1000,predicate,discrete,29,14.772,1,published_after_gate_recheck,19.926208071410656,5.266214720904827,1.0
1000,readset,continuous,30,15.119,1,published_after_gate_recheck,19.51754279434681,5.029330961406231,1.0
1000,predicate,continuous,31,15.651,1,published_after_gate_recheck,18.033592030406,4.63654613122344,1.0
1000,readset,continuous,32,16.359,1,published_after_gate_recheck,18.299701157957315,4.733127076178789,1.0
1000,global,discrete,33,16.674,1,published_after_gate_recheck,16.95464225485921,4.158410243690014,1.0
1000,predicate,discrete,34,17.054,1,published_after_gate_recheck,17.06398604437709,4.444696009159088,1.0
1000,predicate,discrete,35,17.71,1,published_after_gate_recheck,18.179947044700384,4.602121189236641,1.0
1000,global,continuous,36,18.245,1,published_after_gate_recheck,18.158166203647852,4.679776728153229,1.0
1000,global,discrete,37,18.571,1,published_after_gate_recheck,17.7033138461411,4.480362869799137,1.0
1000,global,continuous,38,19.122,1,published_after_gate_recheck,18.058930058032274,4.824919160455465,1.0
1000,readset,continuous,39,19.963,1,published_after_gate_recheck,17.031624913215637,4.123996011912823,1.0
1000,global,discrete,40,20.405,1,published_after_gate_recheck,18.890426959842443,4.568879026919603,1.0
1000,global,discrete,41,20.719,1,published_after_gate_recheck,19.70016397535801,4.9218907952308655,1.0
1000,readset,discrete,42,21.379,1,published_after_gate_recheck,17.01864181086421,4.6655298210680485,1.0
1000,global,continuous,43,21.822,1,published_after_gate_recheck,17.029070761054754,4.799460992217064,1.0
1000,predicate,discrete,44,22.098,1,published_after_gate_recheck,17.28458935394883,4.580050241202116,1.0
1000,global,continuous,45,22.775,1,published_after_gate_recheck,18.79625115543604,4.85142832621932,1.0
1000,predicate,discrete,46,23.033,1,published_after_gate_recheck,15.492632053792477,4.1546327993273735,1.0
1000,predicate,continuous,47,23.802,1,published_after_gate_recheck,17.669320106506348,4.765067249536514,1.0
1000,global,continuous,48,24.268,1,published_after_gate_recheck,17.036996316164732,3.8948659785091877,1.0
1000,predicate,discrete,49,24.552,1,published_after_gate_recheck,18.31055199727416,4.683664068579674,1.0
1000,readset,continuous,50,25.258,1,published_after_gate_recheck,17.86587806418538,4.1530500166118145,1.0
1000,predicate,continuous,51,25.622,1,published_after_gate_recheck,16.524355858564377,3.8540191017091274,1.0
1000,predicate,continuous,52,26.33,1,published_after_gate_recheck,17.297874204814434,4.275348968803883,1.0
1000,global,continuous,53,26.995,0,context_version_changed_at_publish,20.98194509744644,7.004331331700087,1.0
1000,global,continuous,54,27.403,1,published_after_gate_recheck,18.692336976528168,4.89801587536931,1.0
1000,predicate,continuous,55,27.534,1,published_after_gate_recheck,17.4317448399961,4.7654868103563786,1.0
1000,predicate,continuous,56,28.298,1,published_after_gate_recheck,17.577318008989096,4.2796870693564415,1.0
1000,readset,continuous,57,28.776,1,published_after_gate_recheck,18.702015280723572,4.987402819097042,1.0
1000,global,continuous,58,29.459,1,published_after_gate_recheck,21.75161661580205,4.707559011876583,1.0
1000,global,continuous,59,29.642,1,published_after_gate_recheck,16.94289967417717,4.146366845816374,1.0
1000,predicate,continuous,60,30.048,1,published_after_gate_recheck,16.341072041541338,4.497685935348272,1.0
1000,readset,discrete,61,30.685,1,published_after_gate_recheck,16.909075900912285,4.611027892678976,1.0
1000,readset,continuous,62,31.17,1,published_after_gate_recheck,16.477798111736774,4.214895889163017,1.0
1000,readset,continuous,63,31.922,1,published_after_gate_recheck,18.96520797163248,4.771487787365913,1.0
1000,predicate,discrete,64,32.443,1,published_after_gate_recheck,17.04221498221159,4.8141879960894585,1.0
1000,predicate,continuous,65,32.799,1,published_after_gate_recheck,17.327360343188047,4.435878712683916,1.0
1000,global,continuous,66,33.381,1,published_after_gate_recheck,17.359720077365637,4.305155016481876,1.0
1000,global,discrete,67,33.718,1,published_after_gate_recheck,18.11551582068205,4.736362956464291,1.0
1000,predicate,continuous,68,34.137,1,published_after_gate_recheck,17.004123888909817,4.473390057682991,1.0
1000,global,continuous,69,34.718,1,published_after_gate_recheck,17.599328886717558,4.248037002980709,1.0
1000,readset,continuous,70,35.34,1,published_after_gate_recheck,18.283801153302193,4.7886306419968605,1.0
1000,predicate,discrete,71,35.662,1,published_after_gate_recheck,19.355468917638063,5.133235827088356,1.0
1000,global,discrete,72,36.414,1,published_after_gate_recheck,17.948152031749487,4.494169261306524,1.0
1000,readset,discrete,73,36.728,1,published_after_gate_recheck,17.319314181804657,4.596600774675608,1.0
1000,global,discrete,74,37.121,1,published_after_gate_recheck,18.146093003451824,4.828524775803089,1.0
1000,global,continuous,75,37.755,1,published_after_gate_recheck,17.202785704284906,4.626997746527195,1.0
1000,readset,discrete,76,38.434,1,published_after_gate_recheck,18.568814732134342,4.836359992623329,1.0
1000,readset,discrete,77,38.681,1,published_after_gate_recheck,17.553173005580902,4.539213143289089,1.0
1000,readset,discrete,78,39.158,1,published_after_gate_recheck,18.96791299805045,5.4197232238948345,1.0
1000,readset,discrete,79,39.756,1,published_after_gate_recheck,16.715093050152063,4.358665086328983,1.0
1000,readset,discrete,80,40.476,1,published_after_gate_recheck,18.49484723061323,4.660281352698803,1.0
1000,predicate,discrete,81,40.898,1,published_after_gate_recheck,18.043089658021927,4.645511973649263,1.0
1000,global,continuous,82,41.36,1,published_after_gate_recheck,17.979471012949944,4.396264906972647,1.0
1000,global,discrete,83,41.625,1,published_after_gate_recheck,17.76535017415881,4.029328003525734,1.0
1000,predicate,continuous,84,42.307,1,published_after_gate_recheck,16.61038678139448,4.407016094774008,1.0
1000,global,continuous,85,42.837,1,published_after_gate_recheck,16.779023222625256,4.210758022964001,1.0
1000,readset,discrete,86,43.15,1,published_after_gate_recheck,16.989325638860464,4.138092044740915,1.0
1000,predicate,discrete,87,43.763,1,published_after_gate_recheck,18.002765253186226,4.4568688608706,1.0
1000,predicate,discrete,88,44.08,1,published_after_gate_recheck,22.64630328863859,8.830601815134287,1.0
1000,readset,discrete,89,44.958,1,published_after_gate_recheck,18.68925103917718,4.865423776209354,1.0
1000,predicate,discrete,90,45.335,1,published_after_gate_recheck,18.348021898418665,4.303561989217997,1.0
1000,global,continuous,91,45.825,1,published_after_gate_recheck,19.523964263498783,5.05180424079299,1.0
1000,predicate,continuous,92,46.409,1,published_after_gate_recheck,17.879574093967676,4.912992939352989,1.0
1000,readset,discrete,93,46.881,1,published_after_gate_recheck,17.88595598191023,4.952947609126568,1.0
1000,readset,discrete,94,47.172,1,published_after_gate_recheck,16.16187673062086,4.513464868068695,1.0
1000,predicate,discrete,95,47.805,1,published_after_gate_recheck,18.339404836297035,4.826901946216822,1.0
1000,global,discrete,96,48.063,1,published_after_gate_recheck,17.13746367022395,4.786336794495583,1.0
1000,predicate,continuous,97,48.842,1,published_after_gate_recheck,18.31950806081295,4.319992382079363,1.0
1000,global,continuous,98,49.186,1,published_after_gate_recheck,16.90468704327941,4.983596038073301,1.0
1000,predicate,discrete,99,49.764,1,published_after_gate_recheck,17.57189817726612,4.8483628779649734,1.0
