rep,scenario,backend,n,log_records,distinct_logged,effects,distinct_effects,duplicate_effects,lost,suppressed_replays,refused_duplicates,crash_position,effects_in_commit_order,commit_versions_monotone,flagged,withheld
0,gateway_crash_after_commit,redis,100,100,100,100,100,0,0,0,,,,,,
0,duplicate_commit,redis,100,100,100,100,100,0,0,0,100,,,,,
0,consumer_crash_after_apply,redis,100,100,100,100,100,0,0,1,,23,,,,
0,consumer_restarts,redis,100,100,100,100,100,0,0,0,,,,,,
0,concurrent_commits,redis,100,100,100,100,100,0,0,0,,,1,1,,
0,post_commit_invalidation,redis,100,100,100,0,0,0,,0,,,,,100,100
1,gateway_crash_after_commit,redis,100,100,100,100,100,0,0,0,,,,,,
1,duplicate_commit,redis,100,100,100,100,100,0,0,0,100,,,,,
1,consumer_crash_after_apply,redis,100,100,100,100,100,0,0,1,,95,,,,
1,consumer_restarts,redis,100,100,100,100,100,0,0,0,,,,,,
1,concurrent_commits,redis,100,100,100,100,100,0,0,0,,,1,1,,
1,post_commit_invalidation,redis,100,100,100,0,0,0,,0,,,,,100,100
2,gateway_crash_after_commit,redis,100,100,100,100,100,0,0,0,,,,,,
2,duplicate_commit,redis,100,100,100,100,100,0,0,0,100,,,,,
2,consumer_crash_after_apply,redis,100,100,100,100,100,0,0,1,,7,,,,
2,consumer_restarts,redis,100,100,100,100,100,0,0,0,,,,,,
2,concurrent_commits,redis,100,100,100,100,100,0,0,0,,,1,1,,
2,post_commit_invalidation,redis,100,100,100,0,0,0,,0,,,,,100,100
3,gateway_crash_after_commit,redis,100,100,100,100,100,0,0,0,,,,,,
3,duplicate_commit,redis,100,100,100,100,100,0,0,0,100,,,,,
3,consumer_crash_after_apply,redis,100,100,100,100,100,0,0,1,,39,,,,
3,consumer_restarts,redis,100,100,100,100,100,0,0,0,,,,,,
3,concurrent_commits,redis,100,100,100,100,100,0,0,0,,,1,1,,
3,post_commit_invalidation,redis,100,100,100,0,0,0,,0,,,,,100,100
4,gateway_crash_after_commit,redis,100,100,100,100,100,0,0,0,,,,,,
4,duplicate_commit,redis,100,100,100,100,100,0,0,0,100,,,,,
4,consumer_crash_after_apply,redis,100,100,100,100,100,0,0,1,,95,,,,
4,consumer_restarts,redis,100,100,100,100,100,0,0,0,,,,,,
4,concurrent_commits,redis,100,100,100,100,100,0,0,0,,,1,1,,
4,post_commit_invalidation,redis,100,100,100,0,0,0,,0,,,,,100,100
5,gateway_crash_after_commit,redis,100,100,100,100,100,0,0,0,,,,,,
5,duplicate_commit,redis,100,100,100,100,100,0,0,0,100,,,,,
5,consumer_crash_after_apply,redis,100,100,100,100,100,0,0,1,,55,,,,
5,consumer_restarts,redis,100,100,100,100,100,0,0,0,,,,,,
5,concurrent_commits,redis,100,100,100,100,100,0,0,0,,,1,1,,
5,post_commit_invalidation,redis,100,100,100,0,0,0,,0,,,,,100,100
6,gateway_crash_after_commit,redis,100,100,100,100,100,0,0,0,,,,,,
6,duplicate_commit,redis,100,100,100,100,100,0,0,0,100,,,,,
6,consumer_crash_after_apply,redis,100,100,100,100,100,0,0,1,,54,,,,
6,consumer_restarts,redis,100,100,100,100,100,0,0,0,,,,,,
6,concurrent_commits,redis,100,100,100,100,100,0,0,0,,,1,1,,
6,post_commit_invalidation,redis,100,100,100,0,0,0,,0,,,,,100,100
7,gateway_crash_after_commit,redis,100,100,100,100,100,0,0,0,,,,,,
7,duplicate_commit,redis,100,100,100,100,100,0,0,0,100,,,,,
7,consumer_crash_after_apply,redis,100,100,100,100,100,0,0,1,,6,,,,
7,consumer_restarts,redis,100,100,100,100,100,0,0,0,,,,,,
7,concurrent_commits,redis,100,100,100,100,100,0,0,0,,,1,1,,
7,post_commit_invalidation,redis,100,100,100,0,0,0,,0,,,,,100,100
8,gateway_crash_after_commit,redis,100,100,100,100,100,0,0,0,,,,,,
8,duplicate_commit,redis,100,100,100,100,100,0,0,0,100,,,,,
8,consumer_crash_after_apply,redis,100,100,100,100,100,0,0,1,,49,,,,
8,consumer_restarts,redis,100,100,100,100,100,0,0,0,,,,,,
8,concurrent_commits,redis,100,100,100,100,100,0,0,0,,,1,1,,
8,post_commit_invalidation,redis,100,100,100,0,0,0,,0,,,,,100,100
9,gateway_crash_after_commit,redis,100,100,100,100,100,0,0,0,,,,,,
9,duplicate_commit,redis,100,100,100,100,100,0,0,0,100,,,,,
9,consumer_crash_after_apply,redis,100,100,100,100,100,0,0,1,,27,,,,
9,consumer_restarts,redis,100,100,100,100,100,0,0,0,,,,,,
9,concurrent_commits,redis,100,100,100,100,100,0,0,0,,,1,1,,
9,post_commit_invalidation,redis,100,100,100,0,0,0,,0,,,,,100,100
