scenario,run,baseline,seed,outcome,reason,paused_committed_before_submit,gateway_released,stale_executed,correct_revoke,ros_published,ros_observed,validation_latency_ms,e2e_latency_ms,intent_age_at_submit_ms,pause_ms,freshness_ms,exported_at
e1b,0,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.2327501103281975,221.046,200,1000,2026-09-24T22:14:07.929614+00:00
e1b,1,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.512384369969368,220.564,200,1000,2026-09-24T22:14:08.211604+00:00
e1b,2,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,2.9703080654144287,219.144,200,1000,2026-09-24T22:14:08.492950+00:00
e1b,3,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.033155109733343,219.481,200,1000,2026-09-24T22:14:08.774018+00:00
e1b,4,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,2.7473201043903828,220.328,200,1000,2026-09-24T22:14:09.054521+00:00
e1b,5,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.374655731022358,221.778,200,1000,2026-09-24T22:14:09.338324+00:00
e1b,6,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.403909970074892,221.737,200,1000,2026-09-24T22:14:09.622456+00:00
e1b,7,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.0790320597589016,220.049,200,1000,2026-09-24T22:14:09.903673+00:00
e1b,8,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.316698130220175,220.376,200,1000,2026-09-24T22:14:10.185615+00:00
e1b,9,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.0521508306264877,220.694,200,1000,2026-09-24T22:14:10.468986+00:00
e1b,10,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.1469487585127354,221.611,200,1000,2026-09-24T22:14:10.751661+00:00
e1b,11,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.009091131389141,221.622,200,1000,2026-09-24T22:14:11.034972+00:00
e1b,12,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.4075970761477947,223.753,200,1000,2026-09-24T22:14:11.320559+00:00
e1b,13,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,2.648293972015381,220.319,200,1000,2026-09-24T22:14:11.602547+00:00
e1b,14,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.243891056627035,231.416,200,1000,2026-09-24T22:14:11.895751+00:00
e1b,15,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.5402560606598854,222.877,200,1000,2026-09-24T22:14:12.181394+00:00
e1b,16,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.8350089453160763,221.719,200,1000,2026-09-24T22:14:12.464790+00:00
e1b,17,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,2.9783733189105988,221.685,200,1000,2026-09-24T22:14:12.748319+00:00
e1b,18,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.698783926665783,229.137,200,1000,2026-09-24T22:14:13.038664+00:00
