run,baseline,valid_intent,outcome,reason,gateway_released,wrongful_revoke,e2e_latency_ms
0,local,1,EXECUTE,local_guard_passed,1,0,8.326379116624594
1,local,1,EXECUTE,local_guard_passed,1,0,8.108690846711397
2,local,1,EXECUTE,local_guard_passed,1,0,8.016098290681839
3,local,1,EXECUTE,local_guard_passed,1,0,13.653772883117199
4,local,1,EXECUTE,local_guard_passed,1,0,9.576044045388699
5,local,1,EXECUTE,local_guard_passed,1,0,8.713736198842525
6,local,1,EXECUTE,local_guard_passed,1,0,9.054436348378658
7,local,1,EXECUTE,local_guard_passed,1,0,9.041441138833761
8,local,1,EXECUTE,local_guard_passed,1,0,7.4644917622208595
9,local,1,EXECUTE,local_guard_passed,1,0,8.309136610478163
10,local,1,EXECUTE,local_guard_passed,1,0,7.7859461307525635
11,local,1,EXECUTE,local_guard_passed,1,0,8.167542051523924
12,local,1,EXECUTE,local_guard_passed,1,0,9.85597912222147
13,local,1,EXECUTE,local_guard_passed,1,0,9.031821973621845
14,local,1,EXECUTE,local_guard_passed,1,0,7.720332592725754
15,local,1,EXECUTE,local_guard_passed,1,0,8.104282896965742
16,local,1,EXECUTE,local_guard_passed,1,0,7.5987852178514
17,local,1,EXECUTE,local_guard_passed,1,0,9.059233590960503
18,local,1,EXECUTE,local_guard_passed,1,0,8.151491172611713
19,local,1,EXECUTE,local_guard_passed,1,0,8.535070810467005
20,local,1,EXECUTE,local_guard_passed,1,0,10.581288952380419
21,local,1,EXECUTE,local_guard_passed,1,0,8.544337935745716
22,local,1,EXECUTE,local_guard_passed,1,0,8.81812209263444
23,local,1,EXECUTE,local_guard_passed,1,0,8.163894060999155
24,local,1,EXECUTE,local_guard_passed,1,0,7.874330971390009
25,local,1,EXECUTE,local_guard_passed,1,0,9.108916856348515
26,local,1,EXECUTE,local_guard_passed,1,0,8.768959902226925
27,local,1,EXECUTE,local_guard_passed,1,0,9.107926394790411
28,local,1,EXECUTE,local_guard_passed,1,0,19.808428827673197
29,local,1,EXECUTE,local_guard_passed,1,0,11.54487719759345
30,local,1,EXECUTE,local_guard_passed,1,0,12.645029928535223
31,local,1,EXECUTE,local_guard_passed,1,0,8.729666005820036
32,local,1,EXECUTE,local_guard_passed,1,0,8.343671914190054
33,local,1,EXECUTE,local_guard_passed,1,0,7.554903160780668
34,local,1,EXECUTE,local_guard_passed,1,0,7.558187935501337
35,local,1,EXECUTE,local_guard_passed,1,0,7.5250961817801
36,local,1,EXECUTE,local_guard_passed,1,0,8.557694032788277
37,local,1,EXECUTE,local_guard_passed,1,0,9.069051593542099
38,local,1,EXECUTE,local_guard_passed,1,0,8.561561349779367
39,local,1,EXECUTE,local_guard_passed,1,0,8.524942211806774
40,local,1,EXECUTE,local_guard_passed,1,0,8.455941919237375
41,local,1,EXECUTE,local_guard_passed,1,0,8.782203774899244
42,local,1,EXECUTE,local_guard_passed,1,0,9.004762396216393
43,local,1,EXECUTE,local_guard_passed,1,0,9.821714833378792
44,local,1,EXECUTE,local_guard_passed,1,0,8.833590894937515
45,local,1,EXECUTE,local_guard_passed,1,0,9.177455678582191
46,local,1,EXECUTE,local_guard_passed,1,0,9.582135360687971
47,local,1,EXECUTE,local_guard_passed,1,0,7.590488996356726
48,local,1,EXECUTE,local_guard_passed,1,0,7.780033629387617
49,local,1,EXECUTE,local_guard_passed,1,0,7.875604089349508
50,local,1,EXECUTE,local_guard_passed,1,0,7.734439335763454
51,local,1,EXECUTE,local_guard_passed,1,0,8.500406052917242
52,local,1,EXECUTE,local_guard_passed,1,0,8.033349178731441
53,local,1,EXECUTE,local_guard_passed,1,0,7.693181745707989
54,local,1,EXECUTE,local_guard_passed,1,0,7.482566870748997
55,local,1,EXECUTE,local_guard_passed,1,0,8.05191369727254
56,local,1,EXECUTE,local_guard_passed,1,0,8.017850574105978
57,local,1,EXECUTE,local_guard_passed,1,0,7.258816622197628
58,local,1,EXECUTE,local_guard_passed,1,0,7.2621232829988
59,local,1,EXECUTE,local_guard_passed,1,0,7.028424181044102
60,local,1,EXECUTE,local_guard_passed,1,0,8.084515109658241
61,local,1,EXECUTE,local_guard_passed,1,0,7.217950187623501
62,local,1,EXECUTE,local_guard_passed,1,0,7.977284956723452
63,local,1,EXECUTE,local_guard_passed,1,0,7.950915955007076
64,local,1,EXECUTE,local_guard_passed,1,0,8.781152311712503
65,local,1,EXECUTE,local_guard_passed,1,0,7.627509068697691
66,local,1,EXECUTE,local_guard_passed,1,0,8.063775952905416
67,local,1,EXECUTE,local_guard_passed,1,0,7.515758741647005
68,local,1,EXECUTE,local_guard_passed,1,0,7.774053141474724
69,local,1,EXECUTE,local_guard_passed,1,0,7.382147945463657
70,local,1,EXECUTE,local_guard_passed,1,0,8.396700955927372
71,local,1,EXECUTE,local_guard_passed,1,0,7.601038087159395
72,local,1,EXECUTE,local_guard_passed,1,0,7.70154781639576
73,local,1,EXECUTE,local_guard_passed,1,0,8.422869723290205
74,local,1,EXECUTE,local_guard_passed,1,0,8.545429911464453
75,local,1,EXECUTE,local_guard_passed,1,0,7.731442805379629
76,local,1,EXECUTE,local_guard_passed,1,0,7.560553029179573
77,local,1,EXECUTE,local_guard_passed,1,0,8.096948266029358
78,local,1,EXECUTE,local_guard_passed,1,0,8.624098263680935
79,local,1,EXECUTE,local_guard_passed,1,0,9.00035398080945
80,local,1,EXECUTE,local_guard_passed,1,0,7.760107051581144
81,local,1,EXECUTE,local_guard_passed,1,0,8.335165679454803
82,local,1,EXECUTE,local_guard_passed,1,0,10.229329112917185
83,local,1,EXECUTE,local_guard_passed,1,0,9.472348727285862
84,local,1,EXECUTE,local_guard_passed,1,0,9.911152999848127
85,local,1,EXECUTE,local_guard_passed,1,0,10.334046091884375
86,local,1,EXECUTE,local_guard_passed,1,0,8.147542830556631
87,local,1,EXECUTE,local_guard_passed,1,0,9.104248136281967
88,local,1,EXECUTE,local_guard_passed,1,0,9.386979043483734
89,local,1,EXECUTE,local_guard_passed,1,0,8.375230710953474
90,local,1,EXECUTE,local_guard_passed,1,0,7.6287006959319115
91,local,1,EXECUTE,local_guard_passed,1,0,7.43204215541482
92,local,1,EXECUTE,local_guard_passed,1,0,7.585398852825165
93,local,1,EXECUTE,local_guard_passed,1,0,7.649750914424658
94,local,1,EXECUTE,local_guard_passed,1,0,9.010452777147293
95,local,1,EXECUTE,local_guard_passed,1,0,7.011563051491976
96,local,1,EXECUTE,local_guard_passed,1,0,8.026427123695612
97,local,1,EXECUTE,local_guard_passed,1,0,7.869322318583727
