run,mode,inject,inject_offset_ms,publish_delay_ms,injection_window,gateway_released,gate_blocked,stale_publish,potential_stale_publish,post_release_invalidation,injection_version,check_version,version_order,stale_exact,position_vs_middleware,residual_lo_ms,residual_hi_ms,t_middleware_ms,store_io_lo_ms,store_io_hi_ms,injection_store_lo_ms,injection_store_hi_ms,commit_status,commit_age_ms,outcome,reason,validation_to_gate_ms,validation_to_publish_ms,recheck_to_publish_ms,t_validate_end_ms,t_injection_start_ms,t_injection_end_ms,t_recheck_start_ms,t_recheck_end_ms,t_publish_end_ms
0,xair,0,,0.0,control,1,0,0,0,0,,1,control,0,,3.578183241188526,7.944574113935232,28.759333305060863,20.81475919112563,25.181150063872337,,,,,EXECUTE,published_after_gate_recheck,16.06760174036026,16.075546853244305,0.007945112884044647,12.691560201346874,,,12.728709261864424,28.759161941707134,28.76710705459118
1,xair,0,,0.0,control,1,0,0,0,0,,2,control,0,,1.505544874817133,4.984381143003702,22.646415047347546,17.662033904343843,21.140870172530413,,,,,EXECUTE,published_after_gate_recheck,11.602245271205902,11.61147328093648,0.009228009730577469,11.043998878449202,,,11.074835900217295,22.646244149655104,22.65547215938568
2,xair,1,0.0,0.0,concurrent,1,0,0,1,0,4,3,after_check,0,after_middleware,2.3694848641753197,7.755500264465809,27.79178787022829,20.03628760576248,25.42230300605297,35.786755848675966,39.50641397386789,,,EXECUTE,published_after_gate_recheck,14.991694130003452,15.006572008132935,0.01487787812948227,12.79994286596775,12.900881934911013,45.57053092867136,13.074728660285473,27.791636995971203,27.806514874100685
3,xair,1,0.0,0.0,concurrent,1,0,0,1,0,6,5,after_check,0,after_middleware,4.229795187711716,11.339403223246336,40.01051001250744,28.671106789261103,35.78071482479572,45.986109878867865,49.760911613702774,,,EXECUTE,published_after_gate_recheck,22.08782685920596,22.10451802238822,0.016691163182258606,17.922522965818644,18.207466695457697,55.7902529835701,18.515664618462324,40.010349825024605,40.02704098820686
4,xair,1,0.0,0.0,concurrent,0,1,0,0,0,8,8,before_check,0,,,,,38.52971224114299,43.015648145228624,28.112148866057396,33.67016604170203,,,REVOKE,read_set_version_changed_at_gate,30.411862768232822,,,15.017824247479439,15.183695126324892,41.86210408806801,15.438002068549395,45.42968701571226,
5,xair,1,0.0,0.0,concurrent,1,0,0,1,0,10,9,after_check,0,after_middleware,0.7008351385593414,6.823291070759296,27.466838248074055,20.64354717731476,26.766003109514713,32.309032045304775,37.490202113986015,,,EXECUTE,published_after_gate_recheck,13.73608922585845,13.746859040111303,0.010769814252853394,13.730328064411879,13.910084962844849,48.086661379784346,14.146629255264997,27.46641729027033,27.477187104523182
6,xair,1,0.0,0.0,concurrent,0,1,0,0,0,12,12,before_check,0,,,,,30.402927193790674,34.0262739919126,29.52613215893507,30.371397268027067,,,REVOKE,read_set_version_changed_at_gate,19.170342944562435,,,17.828367184847593,18.052437342703342,41.78710421547294,18.29176628962159,36.99871012941003,
7,xair,1,0.0,0.0,concurrent,1,0,0,1,0,14,13,after_check,0,after_middleware,2.4182270281016827,4.901526030153036,28.5330293700099,23.631503339856863,26.114802341908216,37.73082420229912,42.597574181854725,,,EXECUTE,published_after_gate_recheck,11.907879263162613,11.91684603691101,0.008966773748397827,16.624988988041878,16.84217620640993,49.443457275629044,17.188717145472765,28.53286825120449,28.54183502495289
8,xair,1,0.0,0.0,concurrent,0,1,0,0,0,16,16,before_check,0,,,,,39.55651866272092,42.32310876250267,32.66454907134175,35.54897988215089,,,REVOKE,read_set_version_changed_at_gate,28.966411016881466,,,15.359113924205303,15.638167969882488,45.057127717882395,15.965350903570652,44.32552494108677,
9,xair,0,,0.0,control,1,0,0,0,0,,17,control,0,,2.1298350766301155,7.797979284077883,30.089206993579865,22.29122770950198,27.95937191694975,,,,,EXECUTE,published_after_gate_recheck,18.487864173948765,18.498524092137814,0.010659918189048767,11.601072736084461,,,11.64462510496378,30.088936910033226,30.099596828222275
10,xair,1,0.0,0.0,concurrent,0,1,0,0,0,19,19,before_check,0,,,,,34.17619504034519,38.05142501369119,25.187982711941004,29.901565983891487,,,REVOKE,read_set_version_changed_at_gate,29.73874006420374,,,12.647436931729317,12.866236735135317,36.892810836434364,13.10965372249484,42.386176995933056,
11,xair,1,0.0,0.0,concurrent,1,0,0,1,0,21,20,after_check,0,after_middleware,3.647252917289734,10.5838761664927,31.864247750490904,21.280371583998203,28.21699483320117,41.55178181827068,47.43537865579128,,,EXECUTE,published_after_gate_recheck,18.065471202135086,18.08494795113802,0.019476749002933502,13.79862567409873,14.044346753507853,52.38031595945358,14.307119883596897,31.864096876233816,31.88357362523675
12,xair,1,0.0,0.0,concurrent,0,1,0,0,0,23,23,before_check,0,,,,,31.64425492286682,35.49151215702295,28.469678945839405,31.607155222445726,,,REVOKE,read_set_version_changed_at_gate,26.80598897859454,,,12.721375096589327,13.038520235568285,42.98997996374965,13.410338200628757,39.52736407518387,
13,xair,1,0.0,0.0,concurrent,1,0,0,1,0,25,24,after_check,0,after_middleware,0.5832151509821415,4.915081430226564,27.534205000847578,22.619123570621014,26.950989849865437,31.62161260843277,35.11267155408859,,,EXECUTE,published_after_gate_recheck,10.948719922453165,10.957557242363691,0.008837319910526276,16.585353761911392,16.740374732762575,40.8168425783515,16.960758715867996,27.534073684364557,27.542911004275084
14,xair,0,,0.0,control,1,0,0,0,0,,26,control,0,,2.6076622307300568,5.012813955545425,26.597948279231787,21.58513432368636,23.99028604850173,,,,,EXECUTE,published_after_gate_recheck,10.843902826309204,10.85676671937108,0.012863893061876297,15.753905288875103,,,15.796725172549486,26.597808115184307,26.610672008246183
15,xair,0,,0.0,control,1,0,0,0,0,,27,control,0,,1.4815698377788067,8.875551167875528,32.2014600969851,23.325908929109573,30.719890259206295,,,,,EXECUTE,published_after_gate_recheck,14.273497741669416,14.28143261000514,0.007934868335723877,17.92784221470356,,,17.957248259335756,32.201339956372976,32.2092748247087
16,xair,1,0.0,0.0,concurrent,1,0,0,1,0,29,28,after_check,0,after_middleware,1.2105111964046955,4.64592594653368,23.011329118162394,18.365403171628714,21.800817921757698,29.59373826161027,33.305801916867495,,,EXECUTE,published_after_gate_recheck,11.148364748805761,11.159495916217566,0.0111311674118042,11.862744111567736,12.029677163809538,38.89307286590338,12.264217250049114,23.011108860373497,23.0222400277853
17,xair,1,0.0,0.0,concurrent,0,1,0,0,0,31,31,before_check,0,,,,,45.358052011579275,50.29074614867568,36.878103855997324,42.06473380327225,,,REVOKE,read_set_version_changed_at_gate,36.337739787995815,,,15.675758011639118,15.912081114947796,48.13076416030526,16.20645308867097,52.01349779963493,
