run,mode,inject,inject_offset_ms,publish_delay_ms,injection_window,gateway_released,gate_blocked,stale_publish,potential_stale_publish,post_release_invalidation,injection_version,check_version,version_order,stale_exact,position_vs_middleware,residual_lo_ms,residual_hi_ms,t_middleware_ms,store_io_lo_ms,store_io_hi_ms,injection_store_lo_ms,injection_store_hi_ms,commit_status,commit_age_ms,outcome,reason,validation_to_gate_ms,validation_to_publish_ms,recheck_to_publish_ms,t_validate_end_ms,t_injection_start_ms,t_injection_end_ms,t_recheck_start_ms,t_recheck_end_ms,t_publish_end_ms
0,xair_atomic,0,,0.0,control,1,0,0,0,0,,211,control,0,,3.60932108014822,17.91605120524764,37.16420102864504,19.248149823397398,33.55487994849682,,,committed,38.034912109375,EXECUTE,authorization_committed,28.84279889985919,28.859770856797695,0.016971956938505173,8.31671291962266,,,8.325678762048483,37.15951181948185,37.176483776420355
1,xair_atomic,0,,0.0,control,1,0,0,0,0,,212,control,0,,3.9649480022490025,6.880547851324081,30.534393154084682,23.6538453027606,26.56944515183568,,,committed,35.263916015625,EXECUTE,authorization_committed,14.163000043481588,14.18004184961319,0.017041806131601334,16.366854310035706,,,16.376092098653316,30.529854353517294,30.546896159648895
2,xair_atomic,1,0.0,0.0,concurrent,1,0,0,0,1,214,213,after_check,0,after_middleware,1.854760106652975,7.265991065651178,24.79389403015375,17.527902964502573,22.939133923500776,33.56723301112652,39.80976389721036,committed,27.169921875,EXECUTE,authorization_committed,11.287756264209747,11.303245089948177,0.015488825738430023,13.502662070095539,13.730589300394058,47.20785329118371,14.025573153048754,24.790418334305286,24.805907160043716
3,xair_atomic,1,0.0,0.0,concurrent,0,1,0,0,0,216,216,before_check,0,,,,,36.80942486971617,39.42838776856661,30.768862925469875,33.797533717006445,changed,47.64892578125,REVOKE,read_set_version_changed_at_commit,26.996706146746874,,,16.054067760705948,16.20555156841874,37.68021799623966,16.387232579290867,43.05077390745282,
4,xair_atomic,1,0.0,0.0,concurrent,1,0,0,0,1,218,217,after_check,0,after_middleware,3.9557707495987415,8.991237729787827,27.79042487964034,18.799187149852514,23.8346541300416,36.89127787947655,40.0991658680141,committed,29.64794921875,EXECUTE,authorization_committed,13.676126021891832,13.690783642232418,0.014657620340585709,14.11101222038269,14.309063088148832,50.74381502345204,14.535307884216309,27.787138242274523,27.80179586261511
5,xair_atomic,1,0.0,0.0,concurrent,0,1,0,0,0,220,220,before_check,0,,,,,46.00917408242822,50.64675398170948,34.597966354340315,39.70172116532922,changed,60.056884765625,REVOKE,read_set_version_changed_at_commit,38.48778363317251,,,15.52758039906621,15.655210241675377,49.3895853869617,15.877967234700918,54.01536403223872,
6,xair_atomic,1,0.0,0.0,concurrent,1,0,0,0,1,222,221,after_check,0,after_middleware,2.5297561660408974,8.233004715293646,31.81291138753295,23.579906672239304,29.283155221492052,37.9315703175962,44.89002423360944,committed,35.376953125,EXECUTE,authorization_committed,14.933375176042318,14.956568367779255,0.02319319173693657,16.873043961822987,17.039115075021982,50.110087264329195,17.24346913397312,31.806419137865305,31.82961232960224
7,xair_atomic,1,0.0,0.0,concurrent,0,1,0,0,0,224,224,before_check,0,,,,,44.340203050523996,49.96262025088072,32.072318252176046,39.686973206698895,changed,56.172119140625,REVOKE,read_set_version_changed_at_commit,36.427478305995464,,,14.51988983899355,14.801717828959227,46.06036003679037,15.109295025467873,50.947368144989014,
8,xair_atomic,1,0.0,0.0,concurrent,1,0,0,0,1,226,225,after_check,0,after_middleware,0.9707608260214329,4.779356066137552,20.90186206623912,16.122506000101566,19.931101240217686,30.00503033399582,35.47852812334895,committed,26.455078125,EXECUTE,authorization_committed,8.510465268045664,8.52646492421627,0.015999656170606613,12.388091068714857,12.507505249232054,40.81602208316326,12.745832093060017,20.89855633676052,20.914555992931128
9,xair_atomic,0,,0.0,control,1,0,0,0,0,,227,control,0,,2.259118016809225,6.418650969862938,28.700923081487417,22.28227211162448,26.441805064678192,,,committed,34.154052734375,EXECUTE,authorization_committed,15.033002942800522,15.050394926220179,0.017391983419656754,13.663362246006727,,,13.669714331626892,28.69636518880725,28.713757172226906
10,xair_atomic,1,0.0,0.0,concurrent,0,1,0,0,0,229,229,before_check,0,,,,,37.719231098890305,44.1387640312314,25.84446407854557,32.65878837555647,changed,48.593994140625,REVOKE,read_set_version_changed_at_commit,37.28014696389437,,,10.628379415720701,10.877556167542934,38.893514312803745,11.182258371263742,47.90852637961507,
11,xair_atomic,1,0.0,0.0,concurrent,1,0,0,0,1,231,230,after_check,0,after_middleware,1.1127176694571972,7.704232819378376,34.61255365982652,26.90832084044814,33.49983599036932,41.36296780779958,44.74742664024234,committed,36.968017578125,EXECUTE,authorization_committed,15.342262107878923,15.357880853116512,0.015618745237588882,19.266584888100624,19.406036008149385,51.569665782153606,19.647448789328337,34.60884699597955,34.624465741217136
12,xair_atomic,1,0.0,0.0,concurrent,1,0,0,0,1,233,232,after_check,0,after_middleware,0.8901502005755901,7.064123172312975,27.804231271147728,20.740108098834753,26.914081070572138,35.033422987908125,39.70121033489704,committed,34.181884765625,EXECUTE,authorization_committed,13.828412164002657,13.84324999526143,0.014837831258773804,13.972312211990356,14.154804404824972,46.02224798873067,14.351062010973692,27.800724375993013,27.815562207251787
