publishing_interval_ms,version_scope,intent_kind,run,trace_time_s,gateway_released,reason,e2e_latency_ms,validation_to_gate_ms,achieved_update_rate_hz
1000,predicate,continuous,0,0.001,1,published_after_gate_recheck,18.244988285005093,4.471409134566784,1.0
1000,readset,discrete,1,0.5,1,published_after_gate_recheck,20.976932253688574,5.369353108108044,1.0
1000,readset,continuous,2,1.0,1,published_after_gate_recheck,20.36229008808732,4.536791238933802,1.0
1000,global,discrete,3,1.5,1,published_after_gate_recheck,22.31771918013692,4.548162221908569,1.0
1000,predicate,discrete,4,2.001,1,published_after_gate_recheck,19.970133900642395,4.512756131589413,1.0
1000,readset,discrete,5,2.5,1,published_after_gate_recheck,17.703251913189888,4.23794100061059,1.0
1000,global,continuous,6,3.0,1,published_after_gate_recheck,20.426630973815918,4.996914882212877,1.0
1000,global,discrete,7,3.5,1,published_after_gate_recheck,19.320655148476362,5.057076923549175,1.0
1000,predicate,discrete,8,4.0,1,published_after_gate_recheck,19.271393306553364,4.141869954764843,1.0
1000,predicate,continuous,9,4.5,1,published_after_gate_recheck,18.623838666826487,5.025418009608984,1.0
1000,readset,continuous,10,5.0,1,published_after_gate_recheck,21.948033943772316,4.846923053264618,1.0
1000,readset,discrete,11,5.5,1,published_after_gate_recheck,19.34673497453332,5.033452995121479,1.0
1000,global,discrete,12,6.0,1,published_after_gate_recheck,19.37767304480076,4.8160552978515625,1.0
1000,global,continuous,13,6.5,1,published_after_gate_recheck,18.938078079372644,4.756032023578882,1.0
1000,global,continuous,14,7.0,1,published_after_gate_recheck,20.69608587771654,4.800436086952686,1.0
1000,readset,continuous,15,7.5,1,published_after_gate_recheck,18.816630356013775,5.146974697709084,1.0
1000,predicate,discrete,16,8.0,1,published_after_gate_recheck,19.42376885563135,4.54483600333333,1.0
1000,global,continuous,17,8.5,1,published_after_gate_recheck,18.174835946410894,4.376279655843973,1.0
1000,readset,discrete,18,9.0,1,published_after_gate_recheck,20.94723703339696,4.616320598870516,1.0
1000,predicate,discrete,19,9.5,1,published_after_gate_recheck,18.755526281893253,4.709444940090179,1.0
1000,readset,discrete,20,10.0,1,published_after_gate_recheck,21.03579416871071,5.141695961356163,1.0
1000,readset,continuous,21,10.5,1,published_after_gate_recheck,18.59869109466672,4.81819873675704,1.0
