run,mode,inject,inject_offset_ms,publish_delay_ms,injection_window,gateway_released,gate_blocked,stale_publish,potential_stale_publish,post_release_invalidation,injection_version,check_version,version_order,stale_exact,position_vs_middleware,residual_lo_ms,residual_hi_ms,t_middleware_ms,store_io_lo_ms,store_io_hi_ms,injection_store_lo_ms,injection_store_hi_ms,commit_status,commit_age_ms,outcome,reason,validation_to_gate_ms,validation_to_publish_ms,recheck_to_publish_ms,t_validate_end_ms,t_injection_start_ms,t_injection_end_ms,t_recheck_start_ms,t_recheck_end_ms,t_publish_end_ms
0,xair,0,,0.0,control,1,0,0,0,0,,1,control,0,,0.8749011904001236,2.2755591198801994,9.55496495589614,7.27940583601594,8.680063765496016,,,,,EXECUTE,published_after_gate_recheck,4.397931043058634,4.405174870043993,0.007243826985359192,5.156863946467638,,,5.184265784919262,9.554794989526272,9.562038816511631
1,xair,0,,0.0,control,1,0,0,0,0,,2,control,0,,0.865694135427475,1.8064389005303383,8.920354768633842,7.113915868103504,8.054660633206367,,,,,EXECUTE,published_after_gate_recheck,4.032975994050503,4.039518069475889,0.006542075425386429,4.887208808213472,,,4.907626658678055,8.920184802263975,8.926726877689362
2,xair,1,0.0,0.0,concurrent,0,1,0,0,0,4,4,before_check,0,,,,,11.793293990194798,13.369129970669746,9.595280978828669,10.623329319059849,,,REVOKE,read_set_version_changed_at_gate,9.201813023537397,,,5.145613104104996,5.28983399271965,12.482467107474804,5.3986781276762486,14.347426127642393,
3,xair,1,0.0,0.0,concurrent,1,0,0,1,0,6,5,after_check,0,after_middleware,1.040961593389511,2.113514579832554,9.507805574685335,7.394290994852781,8.466843981295824,11.303023900836706,12.486374471336603,,,EXECUTE,published_after_gate_recheck,4.6995761804282665,4.7120600938797,0.012483913451433182,4.808069672435522,4.940136801451445,14.888329897075891,5.1063187420368195,9.507645852863789,9.520129766315222
4,xair,1,0.0,0.0,concurrent,1,0,0,1,0,8,7,after_check,0,after_middleware,1.1571208015084267,2.1586488001048565,9.453544858843088,7.294896058738232,8.296424057334661,11.189721990376711,12.612191028892994,,,EXECUTE,published_after_gate_recheck,4.830521997064352,4.839749075472355,0.009227078408002853,4.622883163392544,4.786500241607428,14.702332206070423,4.996743984520435,9.453405160456896,9.462632238864899
5,xair,1,0.0,0.0,concurrent,1,0,0,1,0,10,9,after_check,0,after_middleware,1.246398314833641,2.3327963426709175,11.478834319859743,9.146037977188826,10.232436005026102,12.944264337420464,14.171636197715998,,,EXECUTE,published_after_gate_recheck,5.232226103544235,5.23967994377017,0.007453840225934982,6.246458273380995,6.387974135577679,16.454980242997408,6.563733331859112,11.47868437692523,11.486138217151165
6,xair,1,0.0,0.0,concurrent,0,1,0,0,0,12,12,before_check,0,,,,,11.409965343773365,12.872228398919106,8.829023223370314,9.948333259671926,,,REVOKE,read_set_version_changed_at_gate,9.230345953255892,,,4.620638210326433,4.714975133538246,12.395093217492104,4.822387360036373,13.850984163582325,
7,xair,1,0.0,0.0,concurrent,0,1,0,0,0,14,14,before_check,0,,,,,11.861220933496952,13.387183658778667,9.733930695801973,10.562835726886988,,,REVOKE,read_set_version_changed_at_gate,9.561187122017145,,,4.58533177152276,4.755039699375629,12.813517823815346,4.9776677042245865,14.146518893539906,
8,xair,1,0.0,0.0,concurrent,0,1,0,0,0,16,16,before_check,0,,,,,12.862841133028269,13.951403088867664,10.278463363647461,11.499564163386822,,,REVOKE,read_set_version_changed_at_gate,9.404824115335941,,,5.307597108185291,5.393628962337971,13.499485328793526,5.492915399372578,14.712421223521233,
9,xair,0,,0.0,control,1,0,0,0,0,,17,control,0,,0.6802170537412167,1.6645928844809532,8.057455997914076,6.392863113433123,7.377238944172859,,,,,EXECUTE,published_after_gate_recheck,3.613528795540333,3.621223848313093,0.007695052772760391,4.443786107003689,,,4.456510301679373,8.057314902544022,8.065009955316782
