run,mode,inject,inject_offset_ms,publish_delay_ms,injection_window,gateway_released,gate_blocked,stale_publish,potential_stale_publish,post_release_invalidation,injection_version,check_version,version_order,stale_exact,position_vs_middleware,residual_lo_ms,residual_hi_ms,t_middleware_ms,store_io_lo_ms,store_io_hi_ms,injection_store_lo_ms,injection_store_hi_ms,commit_status,commit_age_ms,outcome,reason,validation_to_gate_ms,validation_to_publish_ms,recheck_to_publish_ms,t_validate_end_ms,t_injection_start_ms,t_injection_end_ms,t_recheck_start_ms,t_recheck_end_ms,t_publish_end_ms
0,xair_atomic,0,,0.0,control,1,0,0,0,0,,211,control,0,,0.7569501176476479,4.148752894252539,11.888794135302305,7.7400412410497665,11.131844017654657,,,committed,13.39208984375,EXECUTE,authorization_committed,6.925662979483604,6.937434896826744,0.011771917343139648,4.959674086421728,,,4.966767970472574,11.885337065905333,11.897108983248472
1,xair_atomic,0,,0.0,control,1,0,0,0,0,,212,control,0,,0.9698099456727505,2.2587678395211697,10.905229020863771,8.646461181342602,9.935419075191021,,,committed,11.508056640625,EXECUTE,authorization_committed,4.563190974295139,4.574631806463003,0.011440832167863846,6.338441278785467,,,6.344322115182877,10.901632253080606,10.91307308524847
2,xair_atomic,1,0.0,0.0,concurrent,0,1,0,0,0,214,214,before_check,0,,,,,11.015614960342646,12.535056099295616,8.681176230311394,9.742717258632183,changed,14.77001953125,REVOKE,read_set_version_changed_at_commit,9.091084823012352,,,4.417597316205502,4.535058047622442,11.967872269451618,4.654341377317905,13.508682139217854,
3,xair_atomic,1,0.0,0.0,concurrent,0,1,0,0,0,216,216,before_check,0,,,,,14.123265165835619,15.32008033245802,11.36673428118229,12.423747219145298,changed,17.89111328125,REVOKE,read_set_version_changed_at_commit,11.106264777481556,,,5.249358247965574,5.383830051869154,15.255067963153124,5.491121206432581,16.35562302544713,
4,xair_atomic,1,0.0,0.0,concurrent,1,0,0,0,1,218,217,after_check,0,after_middleware,0.8498542010784149,2.097104210406542,9.689487051218748,7.592382840812206,8.839632850140333,11.107476893812418,12.177804950624704,committed,11.47509765625,EXECUTE,authorization_committed,4.511674400418997,4.5244283974170685,0.01275399699807167,5.174015648663044,5.3075160831213,14.378893654793501,5.455634091049433,9.68569004908204,9.698444046080112
5,xair_atomic,1,0.0,0.0,concurrent,0,1,0,0,0,220,220,before_check,0,,,,,13.582219835370779,14.770109206438065,11.378645896911621,12.391046155244112,changed,16.5849609375,REVOKE,read_set_version_changed_at_commit,10.279223788529634,,,5.704231094568968,5.853029899299145,15.12641692534089,6.046683061867952,15.983454883098602,
6,xair_atomic,1,0.0,0.0,concurrent,1,0,0,0,1,222,221,after_check,0,after_middleware,0.9080828167498112,2.456177957355976,10.850225109606981,8.394047152251005,9.94214229285717,12.14874116703868,13.306273147463799,committed,13.087890625,EXECUTE,authorization_committed,5.4813832975924015,5.496961995959282,0.015578698366880417,5.364594049751759,5.541777238249779,15.798649284988642,5.71290822699666,10.84597734734416,10.86155604571104
7,xair_atomic,1,0.0,0.0,concurrent,0,1,0,0,0,224,224,before_check,0,,,,,11.923227924853563,13.308537192642689,9.48309013620019,10.564649011939764,changed,15.680908203125,REVOKE,read_set_version_changed_at_commit,8.95165279507637,,,5.231194198131561,5.395723041146994,12.734239920973778,5.577432923018932,14.182846993207932,
8,xair_atomic,1,0.0,0.0,concurrent,1,0,0,0,1,226,225,after_check,0,after_middleware,1.1396179907023907,2.3185089230537415,10.508623905479908,8.190114982426167,9.369005914777517,12.27267412468791,13.426838908344507,committed,11.489990234375,EXECUTE,authorization_committed,5.354815162718296,5.37067512050271,0.01585995778441429,5.149500910192728,5.336842034012079,15.949390828609467,5.562504753470421,10.504316072911024,10.520176030695438
9,xair_atomic,0,,0.0,control,1,0,0,0,0,,227,control,0,,1.0496689938008785,2.622009254992008,10.840117000043392,8.218107745051384,9.790448006242514,,,committed,11.93505859375,EXECUTE,authorization_committed,5.1124608144164085,5.127718672156334,0.015257857739925385,5.723848938941956,,,5.730590783059597,10.836309753358364,10.85156761109829
10,xair_atomic,1,0.0,0.0,concurrent,1,0,0,0,1,229,228,after_check,0,after_middleware,1.109762117266655,2.4892999790608883,10.87106391787529,8.381763938814402,9.761301800608635,12.081175111234188,13.386713806539774,committed,12.324951171875,EXECUTE,authorization_committed,5.761388689279556,5.776827689260244,0.015438999980688095,5.10623911395669,5.305333063006401,15.414107125252485,5.544151179492474,10.867627803236246,10.883066803216934
