run,inject,inject_offset_ms,publish_delay_ms,injection_window,gateway_released,gate_blocked,stale_publish,potential_stale_publish,post_release_invalidation,outcome,reason,validation_to_gate_ms,validation_to_publish_ms,recheck_to_publish_ms,t_validate_end_ms,t_injection_start_ms,t_injection_end_ms,t_recheck_start_ms,t_recheck_end_ms,t_publish_end_ms
0,1,0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,56.781889172270894,,,5.558342905715108,5.78249292448163,8.121134946122766,59.653999051079154,62.340232077986,
1,1,0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,54.23764185979962,,,6.918271072208881,7.2249858640134335,11.285722954198718,57.94316390529275,61.155912932008505,
2,1,0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,54.11704606376588,,,3.059521783143282,3.3855829387903214,7.526520872488618,54.48458483442664,57.176567846909165,
3,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,59.18115400709212,59.19488985091448,0.013735843822360039,6.842218106612563,,,57.37665295600891,66.02337211370468,66.03710795752704
4,1,0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,55.46433990821242,,,6.955170072615147,7.201672066003084,9.663814911618829,58.035186026245356,62.41950998082757,
5,1,0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,60.19107601605356,,,5.718684056773782,6.91126799210906,13.523526024073362,58.23755613528192,65.90976007282734,
6,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,52.760975202545524,52.77181509882212,0.010839896276593208,3.047108883038163,,,53.19092096760869,55.80808408558369,55.81892398186028
7,1,0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,55.70921907201409,,,3.0112320091575384,3.39659396559,10.065257083624601,53.87950106523931,58.72045108117163,
8,1,0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,53.9289228618145,,,3.9981610607355833,4.6928320080041885,7.573137991130352,55.3629610221833,57.92708392255008,
9,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,53.210887825116515,53.2234120182693,0.012524193152785301,1.8876360263675451,,,52.00687190517783,55.09852385148406,55.111048044636846
10,1,0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,58.01171204075217,,,3.2073690090328455,3.4446229692548513,6.338163977488875,56.216398952528834,61.21908104978502,
11,1,0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,62.884591054171324,,,6.010269979014993,6.3209920190274715,13.487368123605847,58.08001011610031,68.89486103318632,
12,1,0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,57.137916097417474,,,2.615168923512101,2.9111539479345083,6.114434916526079,53.546716924756765,59.753085020929575,
13,1,0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,56.11185310408473,,,1.780756050720811,2.052505034953356,5.9612581972032785,53.97236510179937,57.89260915480554,
14,1,0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,61.79737392812967,,,3.3186180517077446,3.5476370248943567,6.063580047339201,55.30220712535083,65.11599197983742,
15,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,54.15215203538537,54.16783085092902,0.01567881554365158,2.6909210719168186,,,52.815146977081895,56.84307310730219,56.85875192284584
16,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,57.91480094194412,57.92847694829106,0.013676006346940994,6.4649018459022045,,,56.59662187099457,64.37970278784633,64.39337879419327
17,1,0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,55.39434915408492,,,6.121808895841241,6.824326002970338,15.382749028503895,57.162601966410875,61.51615804992616,
18,1,0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,61.83173903264105,,,9.195887949317694,9.51097789220512,20.114623941481113,60.273288981989026,71.02762698195875,
