run,inject,inject_offset_ms,publish_delay_ms,injection_window,gateway_released,gate_blocked,stale_publish,potential_stale_publish,post_release_invalidation,outcome,reason,validation_to_gate_ms,validation_to_publish_ms,recheck_to_publish_ms,t_validate_end_ms,t_injection_start_ms,t_injection_end_ms,t_recheck_start_ms,t_recheck_end_ms,t_publish_end_ms
0,1,30.0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,54.893841966986656,,,12.901559937745333,43.20199694484472,52.43988404981792,64.10077004693449,67.79540190473199,
1,1,30.0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,52.51438403502107,,,4.0292078629136086,34.339844016358256,44.56671397201717,54.331538034603,56.543591897934675,
2,1,30.0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,68.2012620382011,,,3.5709599032998085,37.4605399556458,49.68368005938828,66.4467450696975,71.7722219415009,
3,1,30.0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,57.25152883678675,,,11.82030513882637,45.1932679861784,50.121431006118655,66.64835312403738,69.07183397561312,
4,1,30.0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,57.66615504398942,,,2.3857890628278255,32.631403068080544,38.63226599059999,53.07815899141133,60.051944106817245,
5,1,30.0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,71.42039411701262,,,3.536274889484048,33.82087196223438,43.40872494503856,54.37685293145478,74.95666900649667,
6,1,30.0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,58.74482495710254,,,9.080111980438232,43.65986492484808,57.76672391220927,62.94749001972377,67.82493693754077,
7,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,52.62580304406583,52.634329069405794,0.008526025339961052,8.834430016577244,,,58.93213604576886,61.46023306064308,61.46875908598304
8,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,56.98023014701903,56.99372594244778,0.0134957954287529,4.289655946195126,,,57.35289794392884,61.269886093214154,61.28338188864291
9,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,56.65137409232557,56.66150292381644,0.01012883149087429,4.837672924622893,,,54.97043486684561,61.48904701694846,61.499175848439336
10,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,56.35520908981562,56.36414606124163,0.008936971426010132,2.5186489801853895,,,55.59963406994939,58.873858070001006,58.882795041427016
11,1,30.0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,54.03691600076854,,,7.34891789034009,37.754371063783765,44.56402896903455,57.848887052387,61.38583389110863,
12,1,30.0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,56.195720098912716,,,3.585035912692547,34.57738901488483,39.5492329262197,56.044556898996234,59.78075601160526,
13,1,30.0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,66.51755794882774,,,3.6163548938930035,40.4307059943676,46.84990178793669,62.894520815461874,70.13391284272075,
14,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,55.239849956706166,55.25292502716184,0.013075070455670357,5.1913149654865265,,,56.00361991673708,60.43116492219269,60.44423999264836
15,1,30.0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,57.08471592515707,,,7.760277949273586,38.53844990953803,46.993579948320985,58.85718599893153,64.84499387443066,
16,1,30.0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,52.13224794715643,,,7.691588951274753,38.14885998144746,41.89799400046468,58.202099055051804,59.82383689843118,
17,1,30.0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,54.36549196019769,,,6.0533699579536915,37.919600028544664,46.89844185486436,58.16695303656161,60.41886191815138,
18,1,30.0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,59.04389591887593,,,8.242893032729626,38.58898486942053,50.14134803786874,59.55661693587899,67.28678895160556,
19,1,30.0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,58.98525705561042,,,8.24017683044076,38.62839797511697,43.43082592822611,59.41804684698582,67.22543388605118,
20,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,61.374162090942264,61.383559135720134,0.009397044777870178,3.5659009590744972,,,57.3460659943521,64.94006305001676,64.94946009479463
21,1,30.0,50.0,concurrent,0,1,0,0,0,REVOKE,context_version_changed_at_publish,106.55899392440915,,,9.471324039623141,43.22342691011727,115.71922502480447,66.01980491541326,116.03031796403229,
22,1,30.0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,56.22965400107205,,,1.9445731304585934,33.18960010074079,39.848254062235355,53.64994099363685,58.17422713153064,
23,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,53.509297082200646,53.51939611136913,0.010099029168486595,4.2391319293528795,,,54.35437988489866,57.748429011553526,57.75852804072201
24,1,30.0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,65.5518788844347,,,21.363873966038227,57.45050101540983,69.56352386623621,79.6573250554502,86.91575285047293,
25,1,30.0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,55.82976504229009,,,2.047545975074172,32.37213799729943,41.460164124146104,54.10976195707917,57.87731101736426,
26,1,30.0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,53.1006520614028,,,7.6845570001751184,38.04412391036749,45.867530861869454,58.11138893477619,60.785209061577916,
27,1,30.0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,55.61602395027876,,,6.869470002129674,37.23588981665671,42.95758903026581,57.841352885589004,62.48549395240843,
28,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,54.86280401237309,54.87290280871093,0.010098796337842941,3.2242201268672943,,,54.276495007798076,58.087024139240384,58.09712293557823
29,1,30.0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,54.612524108961225,,,3.6782408133149147,33.9295850135386,39.39127782359719,53.98402689024806,58.29076492227614,
30,1,30.0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,57.7320191077888,,,13.409502105787396,43.87519811280072,49.3040990550071,63.76246619038284,71.1415212135762,
31,1,30.0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,54.449368035420775,,,9.114004904404283,39.65587285347283,50.702678970992565,60.530581045895815,63.56337293982506,
32,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,57.40243103355169,57.41658713668585,0.014156103134155273,6.281788926571608,,,56.42709392122924,63.6842199601233,63.698376063257456
33,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,58.171280892565846,58.18301299586892,0.011732103303074837,9.22173704020679,,,59.34985005296767,67.39301793277264,67.40475003607571
34,1,30.0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,61.85335898771882,,,3.4379810094833374,36.253940081223845,41.26329510472715,57.7257270924747,65.29133999720216,
35,1,30.0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,61.52997398748994,,,4.193056141957641,40.37031205371022,48.64975297823548,62.23845109343529,65.72303012944758,
36,1,30.0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,62.28873482905328,,,1.907814061269164,32.357881078496575,40.208037942647934,52.424224093556404,64.19654889032245,
37,1,30.0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,55.15422997996211,,,6.050464930012822,37.66676690429449,48.15894388593733,59.455857845023274,61.20469490997493,
38,1,30.0,50.0,concurrent,0,1,0,0,0,REVOKE,context_version_changed_at_publish,53.28926513902843,,,3.835896961390972,36.893980111926794,55.71845592930913,55.0835570320487,57.1251621004194,
39,1,30.0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,53.44115989282727,,,5.928998114541173,37.43220819160342,39.922513999044895,56.48160609416664,59.370158007368445,
40,1,40.0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,54.93748304434121,,,3.6506298929452896,43.938667979091406,52.39135283045471,54.39474689774215,58.588112937286496,
41,1,40.0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,54.523557191714644,,,5.175767000764608,45.51493120379746,52.27198009379208,55.61708612367511,59.69932419247925,
42,1,40.0,50.0,concurrent,0,1,0,0,0,REVOKE,context_version_changed_at_publish,73.19424580782652,,,5.967500153928995,55.67460414022207,72.7416081354022,60.1003160700202,79.16174596175551,
43,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,60.47549797222018,60.503080021589994,0.02758204936981201,5.077122012153268,,,55.205054115504026,65.55261998437345,65.58020203374326
44,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,59.66621218249202,59.677042067050934,0.010829884558916092,9.538168786093593,,,62.44498793967068,69.20438096858561,69.21521085314453
45,0,,50.0,control,1,0,0,0,0,EXECUTE,published_after_gate_recheck,58.360415045171976,58.370804879814386,0.010389834642410278,3.921997966244817,,,58.82366397418082,62.28241301141679,62.2928028460592
46,1,40.0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,59.96739608235657,,,9.187101852148771,49.66207989491522,56.654770858585835,59.73275704309344,69.15449793450534,
47,1,40.0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,54.352967999875546,,,5.561509169638157,45.9261410869658,51.239836029708385,55.985757149755955,59.9144771695137,
48,1,40.0,50.0,concurrent,0,1,0,0,0,REVOKE,context_version_changed_at_publish,56.18930794298649,,,3.8483100943267345,44.13038701750338,56.73164501786232,54.149307077750564,60.03761803731322,
49,1,40.0,50.0,before_recheck,0,1,0,0,0,REVOKE,context_version_changed_at_publish,54.65136677958071,,,2.9490040615200996,46.1386579554528,52.859358955174685,56.13302206620574,57.60037084110081,
