run,seed,baseline,pause_ms,predicate_count,predicates_evaluated,source,drifted,expected_release,gateway_released,outcome,reason,correct,stale_executed,wrongful_revoke,validation_latency_ms
0,42,xair,273.8,2,1,mes,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.04262011498212814
1,42,xair,98.84,2,1,mes,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.03411388024687767
2,42,xair,197.67,2,1,ai,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.03543589264154434
3,42,xair,260.71,32,1,ai,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.0335529912263155
4,42,xair,207.22,8,8,ai,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.05569402128458023
5,42,xair,169.09,4,1,ai,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.03482517786324024
6,42,xair,182.97,8,1,xr,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.07408903911709785
7,42,xair,65.21,16,16,mes,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.0900879967957735
8,42,xair,182.49,32,32,xr,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.15073292888700962
9,42,xair,176.57,4,1,mes,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.037209829315543175
10,42,xair,129.76,8,8,ai,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.06706593558192253
11,42,xair,183.04,16,1,mes,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.03190990537405014
12,42,xair,174.34,8,8,mes,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.07013208232820034
13,42,xair,109.9,4,1,ai,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.03982498310506344
14,42,xair,396.33,32,32,ai,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.12832996435463428
15,42,xair,321.6,4,1,ai,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.03671902231872082
16,42,xair,73.17,32,1,mes,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.04096701741218567
17,42,xair,224.73,16,1,ai,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.0341339036822319
18,42,xair,310.75,32,1,xr,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.0324309803545475
19,42,xair,254.24,8,8,ai,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.05927099846303463
20,42,xair,81.82,2,2,ai,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.03669806756079197
21,42,xair,327.23,16,1,mes,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.0335529912263155
22,42,xair,258.56,16,16,mes,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.0901990570127964
23,42,xair,351.27,2,2,mes,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.03933301195502281
24,42,xair,237.94,8,1,mes,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.0363779254257679
25,42,xair,202.17,16,16,ai,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.09376602247357368
26,42,xair,316.69,32,32,ai,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.1442600041627884
27,42,xair,227.68,4,4,ai,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.05039502866566181
28,42,xair,238.78,32,1,ai,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.04118797369301319
29,42,xair,56.82,8,1,xr,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.03526592627167702
30,42,xair,357.3,2,2,ai,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.03582704812288284
31,42,xair,392.29,32,32,ai,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.1516949851065874
32,42,xair,381.4,4,4,xr,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.056715914979577065
33,42,xair,198.1,4,4,mes,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.053941039368510246
34,42,xair,189.65,8,1,xr,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.0391730573028326
35,42,xair,136.77,2,2,xr,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.039934879168868065
36,42,xair,130.54,4,4,ai,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.050754984840750694
37,42,xair,70.61,2,1,ai,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.0574369914829731
38,42,xair,133.3,16,1,ai,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.0375302042812109
39,42,xair,377.43,32,1,mes,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.03835093230009079
40,42,xair,215.54,16,1,ai,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.03593717701733112
41,42,xair,200.87,16,16,xr,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.0888959039002657
42,42,xair,68.96,2,2,ai,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.038180965930223465
43,42,xair,330.21,2,1,ai,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.03642798401415348
44,42,xair,207.01,16,1,ai,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.03516604192554951
45,42,xair,356.07,2,1,xr,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.03734021447598934
46,42,xair,278.25,32,32,ai,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.1529068686068058
47,42,xair,347.04,4,1,xr,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.03319187089800835
48,42,xair,352.63,2,1,ai,1,0,0,REVOKE,precondition_failed: line.state == 'RUN',1,0,0,0.035836827009916306
49,42,xair,186.65,16,16,xr,0,1,1,EXECUTE,published_after_gate_recheck,1,0,0,0.11657807044684887
