mode,producers,context_kb,repetition,trials,released,release_rate,connection_retries,throughput_ips,e2e_p50_ms,e2e_p99_ms
local_authoritative,1,1,0,100,100,1.0,0,225.38625715687368,4.189406055957079,7.051846943795681
local_authoritative,1,1,1,100,100,1.0,0,215.78440431056077,4.419185919687152,6.7555520217865705
local_authoritative,1,1,2,100,100,1.0,0,194.40232690865278,4.965469008311629,8.95711500197649
local_authoritative,1,1,3,100,100,1.0,0,233.13632141870352,4.05495404265821,7.252783980220556
local_authoritative,1,1,4,100,100,1.0,0,124.1387695932483,6.3128729816526175,20.75778692960739
local_authoritative,1,64,0,100,100,1.0,0,65.93806924964376,13.215390965342522,41.87393398024142
local_authoritative,1,64,1,100,100,1.0,0,80.81305471770847,11.028223903849721,27.985163033008575
local_authoritative,1,64,2,100,100,1.0,0,75.91607259113935,11.573826894164085,29.684085166081786
local_authoritative,1,64,3,100,100,1.0,0,65.15658030615216,14.288341160863638,33.890201011672616
local_authoritative,1,64,4,100,100,1.0,0,65.52549955269444,13.565836939960718,29.67906417325139
local_authoritative,10,1,0,100,100,1.0,0,267.32307805774,33.769204979762435,55.48878200352192
local_authoritative,10,1,1,100,100,1.0,0,207.31899841180805,44.656886951997876,72.70059804432094
local_authoritative,10,1,2,100,100,1.0,0,202.08975031305977,44.85938511788845,87.81230007298291
local_authoritative,10,1,3,100,100,1.0,0,238.5412129697659,38.105776999145746,75.20857499912381
local_authoritative,10,1,4,100,100,1.0,0,264.09038823132795,36.13282204605639,56.69987085275352
local_authoritative,10,64,0,100,100,1.0,0,199.65156608452682,44.243311043828726,95.13973305001855
local_authoritative,10,64,1,100,100,1.0,0,201.06896180514963,47.44391585700214,86.07538812793791
local_authoritative,10,64,2,100,100,1.0,0,135.45239008082572,64.19824389740825,163.0923601333052
local_authoritative,10,64,3,100,100,1.0,0,149.89303276027252,60.482556000351906,117.76639008894563
local_authoritative,10,64,4,100,100,1.0,0,181.26987342014058,49.76722691208124,104.64687901549041
local_authoritative,50,1,0,100,100,1.0,0,225.41059143147055,178.33347409032285,227.34911390580237
local_authoritative,50,1,1,100,100,1.0,0,287.09338216841206,123.5550818964839,193.01916798576713
local_authoritative,50,1,2,100,100,1.0,0,222.6185683246178,163.66796707734466,329.7509278636426
local_authoritative,50,1,3,100,100,1.0,0,200.72354983393527,187.5823149457574,286.2369930371642
local_authoritative,50,1,4,100,100,1.0,0,204.96512149972992,167.65094711445272,254.5770478900522
local_authoritative,50,64,0,100,100,1.0,0,133.6978460980378,303.14876488409936,503.0463959556073
local_authoritative,50,64,1,100,100,1.0,0,160.80666129747294,249.8844489455223,449.7874400112778
local_authoritative,50,64,2,100,100,1.0,0,145.7753661887263,275.14060982502997,490.961582865566
local_authoritative,50,64,3,100,100,1.0,0,162.81424923706348,234.76624488830566,360.73368415236473
local_authoritative,50,64,4,100,100,1.0,0,110.98077838669353,402.24957815371454,653.2715270295739
xair,1,1,0,100,100,1.0,0,64.98962309747048,14.00597090832889,36.05202096514404
xair,1,1,1,100,100,1.0,0,151.56300660684622,6.444779923185706,9.796627098694444
xair,1,1,2,100,100,1.0,0,141.41650705239334,6.855970015749335,10.980624938383698
xair,1,1,3,100,100,1.0,0,150.2261553592289,6.465319078415632,10.878262808546424
xair,1,1,4,100,100,1.0,0,162.65411731301108,5.532151088118553,12.383772991597652
xair,1,64,0,100,100,1.0,0,115.7132686005731,8.159881923347712,13.605060987174511
xair,1,64,1,100,100,1.0,0,72.29192586486032,10.19747881218791,38.33577688783407
xair,1,64,2,100,100,1.0,0,52.63239690767567,15.085733029991388,50.533100962638855
xair,1,64,3,100,100,1.0,0,59.58604960085086,14.786082087084651,39.999193046242
xair,1,64,4,100,100,1.0,0,66.20319535017819,12.926259078085423,35.67899204790592
xair,10,1,0,100,100,1.0,0,170.85720270223047,55.71279185824096,95.67195014096797
xair,10,1,1,100,100,1.0,0,125.8254066636993,71.13465503789485,147.4280629772693
xair,10,1,2,100,100,1.0,0,131.00343580492788,68.03040206432343,162.55621518939734
xair,10,1,3,100,100,1.0,0,195.68983892830784,48.124371096491814,84.83659685589373
xair,10,1,4,100,100,1.0,0,144.238942838698,65.77756209298968,110.99678208120167
xair,10,64,0,100,100,1.0,0,133.69659962830295,70.9661990404129,119.50492602773011
xair,10,64,1,100,100,1.0,0,160.63445574326803,58.498769998550415,100.54033808410168
xair,10,64,2,100,100,1.0,0,141.13022206236352,64.68367390334606,113.41680400073528
xair,10,64,3,100,100,1.0,0,126.64035783769624,72.79065693728626,158.21634815074503
xair,10,64,4,100,100,1.0,0,137.03428591971155,67.06801895052195,129.14484087377787
xair,50,1,0,100,100,1.0,0,163.59507481297825,226.6825851984322,310.8379270415753
xair,50,1,1,100,100,1.0,0,180.51135439060252,215.55196912959218,362.5455170404166
xair,50,1,2,100,100,1.0,0,171.66748589985778,237.07295395433903,419.57579809240997
xair,50,1,3,100,100,1.0,0,158.6929391642453,249.18389692902565,416.46361886523664
xair,50,1,4,100,100,1.0,0,142.68993471353554,264.2948180437088,438.10720392502844
xair,50,64,0,100,100,1.0,0,119.5607707588232,342.1491580083966,572.013942990452
xair,50,64,1,100,100,1.0,0,129.87682445631583,323.9427600055933,506.35778810828924
xair,50,64,2,100,100,1.0,0,124.86581466332893,317.1735820360482,427.6825098786503
xair,50,64,3,100,100,1.0,0,148.65401224205743,273.9512419793755,399.3949219584465
xair,50,64,4,100,100,1.0,0,183.65509299960854,231.18520807474852,298.2426069211215
