fault,run,http_status,outcome,reason,pass,first_released,replay_released
malformed_bad_timestamp,0,200,REVOKE,"schema_incomplete:id,payload",True,,
malformed_bad_timestamp,1,200,REVOKE,"schema_incomplete:id,payload",True,,
malformed_missing_fields,2,200,REVOKE,"schema_incomplete:timestamp_decision,freshness_window_ms,payload",True,,
malformed_invalid_json,3,400,,HTTP Error 400: Bad Request,True,,
malformed_invalid_json,4,400,,HTTP Error 400: Bad Request,True,,
malformed_invalid_json,5,400,,HTTP Error 400: Bad Request,True,,
malformed_bad_timestamp,6,200,REVOKE,"schema_incomplete:id,payload",True,,
malformed_wrong_types,7,200,REVOKE,schema_invalid:freshness_window_ms: 'soon' is not of type 'integer',True,,
malformed_bad_timestamp,8,200,REVOKE,"schema_incomplete:id,payload",True,,
malformed_wrong_types,9,200,REVOKE,schema_invalid:freshness_window_ms: 'soon' is not of type 'integer',True,,
malformed_trailing_garbage,10,400,,HTTP Error 400: Bad Request,True,,
malformed_bad_timestamp,11,200,REVOKE,"schema_incomplete:id,payload",True,,
malformed_bad_timestamp,12,200,REVOKE,"schema_incomplete:id,payload",True,,
malformed_bad_timestamp,13,200,REVOKE,"schema_incomplete:id,payload",True,,
malformed_invalid_json,14,400,,HTTP Error 400: Bad Request,True,,
malformed_invalid_json,15,400,,HTTP Error 400: Bad Request,True,,
malformed_wrong_types,16,200,REVOKE,schema_invalid:freshness_window_ms: 'soon' is not of type 'integer',True,,
malformed_wrong_types,17,200,REVOKE,schema_invalid:freshness_window_ms: 'soon' is not of type 'integer',True,,
malformed_bad_timestamp,18,200,REVOKE,"schema_incomplete:id,payload",True,,
malformed_wrong_types,19,200,REVOKE,schema_invalid:freshness_window_ms: 'soon' is not of type 'integer',True,,
malformed_invalid_json,20,400,,HTTP Error 400: Bad Request,True,,
malformed_wrong_types,21,200,REVOKE,schema_invalid:freshness_window_ms: 'soon' is not of type 'integer',True,,
malformed_trailing_garbage,22,400,,HTTP Error 400: Bad Request,True,,
malformed_invalid_json,23,400,,HTTP Error 400: Bad Request,True,,
malformed_trailing_garbage,24,400,,HTTP Error 400: Bad Request,True,,
malformed_wrong_types,25,200,REVOKE,schema_invalid:freshness_window_ms: 'soon' is not of type 'integer',True,,
malformed_missing_fields,26,200,REVOKE,"schema_incomplete:timestamp_decision,freshness_window_ms,payload",True,,
malformed_bad_timestamp,27,200,REVOKE,"schema_incomplete:id,payload",True,,
malformed_invalid_json,28,400,,HTTP Error 400: Bad Request,True,,
malformed_trailing_garbage,29,400,,HTTP Error 400: Bad Request,True,,
malformed_missing_fields,30,200,REVOKE,"schema_incomplete:timestamp_decision,freshness_window_ms,payload",True,,
malformed_missing_fields,31,200,REVOKE,"schema_incomplete:timestamp_decision,freshness_window_ms,payload",True,,
malformed_invalid_json,32,400,,HTTP Error 400: Bad Request,True,,
malformed_invalid_json,33,400,,HTTP Error 400: Bad Request,True,,
malformed_missing_fields,34,200,REVOKE,"schema_incomplete:timestamp_decision,freshness_window_ms,payload",True,,
malformed_bad_timestamp,35,200,REVOKE,"schema_incomplete:id,payload",True,,
malformed_bad_timestamp,36,200,REVOKE,"schema_incomplete:id,payload",True,,
malformed_trailing_garbage,37,400,,HTTP Error 400: Bad Request,True,,
malformed_bad_timestamp,38,200,REVOKE,"schema_incomplete:id,payload",True,,
malformed_missing_fields,39,200,REVOKE,"schema_incomplete:timestamp_decision,freshness_window_ms,payload",True,,
malformed_missing_fields,40,200,REVOKE,"schema_incomplete:timestamp_decision,freshness_window_ms,payload",True,,
malformed_wrong_types,41,200,REVOKE,schema_invalid:freshness_window_ms: 'soon' is not of type 'integer',True,,
malformed_missing_fields,42,200,REVOKE,"schema_incomplete:timestamp_decision,freshness_window_ms,payload",True,,
malformed_bad_timestamp,43,200,REVOKE,"schema_incomplete:id,payload",True,,
malformed_trailing_garbage,44,400,,HTTP Error 400: Bad Request,True,,
malformed_wrong_types,45,200,REVOKE,schema_invalid:freshness_window_ms: 'soon' is not of type 'integer',True,,
malformed_bad_timestamp,46,200,REVOKE,"schema_incomplete:id,payload",True,,
malformed_trailing_garbage,47,400,,HTTP Error 400: Bad Request,True,,
malformed_bad_timestamp,48,200,REVOKE,"schema_incomplete:id,payload",True,,
malformed_wrong_types,49,200,REVOKE,schema_invalid:freshness_window_ms: 'soon' is not of type 'integer',True,,
malformed_missing_fields,50,200,REVOKE,"schema_incomplete:timestamp_decision,freshness_window_ms,payload",True,,
malformed_wrong_types,51,200,REVOKE,schema_invalid:freshness_window_ms: 'soon' is not of type 'integer',True,,
malformed_missing_fields,52,200,REVOKE,"schema_incomplete:timestamp_decision,freshness_window_ms,payload",True,,
malformed_wrong_types,53,200,REVOKE,schema_invalid:freshness_window_ms: 'soon' is not of type 'integer',True,,
malformed_invalid_json,54,400,,HTTP Error 400: Bad Request,True,,
malformed_bad_timestamp,55,200,REVOKE,"schema_incomplete:id,payload",True,,
