scenario,baseline,run,outcome,reason,gateway_released,stale_executed
RESUME,direct,0,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,1,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,2,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,3,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,4,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,5,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,6,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,7,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,8,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,9,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,10,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,11,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,12,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,13,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,14,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,15,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,16,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,17,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,18,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,19,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,20,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,21,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,22,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,23,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,24,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,25,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,26,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,27,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,28,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,29,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,30,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,31,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,32,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,33,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,34,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,35,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,36,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,37,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,38,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,39,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,40,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,41,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,42,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,43,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,44,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,45,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,46,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,47,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,48,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,49,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,50,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,51,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,52,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,53,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,54,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,55,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,56,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,57,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,58,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,59,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,60,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,61,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,62,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,63,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,64,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,65,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,66,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,67,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,68,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,69,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,70,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,71,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,72,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,73,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,74,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,75,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,76,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,77,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,78,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,79,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,80,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,81,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,82,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,83,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,84,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,85,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,86,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,87,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,88,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,89,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,90,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,91,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,92,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,93,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,94,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,95,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,96,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,97,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,98,EXECUTE,direct_bypass_no_validation,1,1
RESUME,direct,99,EXECUTE,direct_bypass_no_validation,1,1
RESUME,local,0,REVOKE,precondition_failed: line.state == 'RUN',0,0
