scenario,run,baseline,seed,outcome,reason,paused_committed_before_submit,gateway_released,stale_executed,correct_revoke,ros_published,ros_observed,validation_latency_ms,e2e_latency_ms,intent_age_at_submit_ms,pause_ms,freshness_ms,exported_at
e1b,0,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.9534620009362698,250.279,200,1000,2026-09-23T07:06:25.405552+00:00
e1b,1,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.1698020175099373,230.053,200,1000,2026-09-23T07:06:25.698569+00:00
e1b,2,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,3.9712139405310154,222.061,200,1000,2026-09-23T07:06:25.987199+00:00
e1b,3,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,7.4642428662627935,218.494,200,1000,2026-09-23T07:06:26.265812+00:00
e1b,4,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,1.2207089457660913,214.48,200,1000,2026-09-23T07:06:26.540339+00:00
e1b,5,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,5.674457876011729,218.482,200,1000,2026-09-23T07:06:26.826906+00:00
e1b,6,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,1.9545031245797873,216.093,200,1000,2026-09-23T07:06:27.107866+00:00
e1b,7,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,1.7129010520875454,209.698,200,1000,2026-09-23T07:06:27.375350+00:00
e1b,8,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,1.7307349480688572,219.177,200,1000,2026-09-23T07:06:27.655827+00:00
e1b,9,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,1.3908371329307556,231.784,200,1000,2026-09-23T07:06:27.954190+00:00
e1b,10,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,5.219965940341353,218.608,200,1000,2026-09-23T07:06:28.234718+00:00
e1b,11,direct,42,EXECUTE,direct_bypass_no_validation,1,1,1,0,0,,0.0,6.4496309496462345,264.923,200,1000,2026-09-23T07:06:28.559377+00:00
