run,baseline,valid_intent,outcome,reason,gateway_released,wrongful_revoke,e2e_latency_ms
0,local,1,EXECUTE,local_guard_passed,1,0,7.284465013071895
1,local,1,EXECUTE,local_guard_passed,1,0,10.156409116461873
2,local,1,EXECUTE,local_guard_passed,1,0,9.231154108420014
3,local,1,EXECUTE,local_guard_passed,1,0,6.218046182766557
4,local,1,EXECUTE,local_guard_passed,1,0,5.816984921693802
5,local,1,EXECUTE,local_guard_passed,1,0,16.56983094289899
6,local,1,EXECUTE,local_guard_passed,1,0,7.1556230541318655
7,local,1,EXECUTE,local_guard_passed,1,0,5.251273978501558
8,local,1,EXECUTE,local_guard_passed,1,0,6.083745043724775
9,local,1,EXECUTE,local_guard_passed,1,0,13.72105092741549
10,local,1,EXECUTE,local_guard_passed,1,0,4.923539003357291
11,local,1,EXECUTE,local_guard_passed,1,0,3.27700306661427
12,local,1,EXECUTE,local_guard_passed,1,0,12.394754914566875
13,local,1,EXECUTE,local_guard_passed,1,0,2.8328909538686275
14,local,1,EXECUTE,local_guard_passed,1,0,8.084916044026613
15,local,1,EXECUTE,local_guard_passed,1,0,3.365748794749379
16,local,1,EXECUTE,local_guard_passed,1,0,4.423812963068485
17,local,1,EXECUTE,local_guard_passed,1,0,7.692971033975482
18,local,1,EXECUTE,local_guard_passed,1,0,6.2759448774158955
19,local,1,EXECUTE,local_guard_passed,1,0,12.579350033774972
20,local,1,EXECUTE,local_guard_passed,1,0,5.437612999230623
21,local,1,EXECUTE,local_guard_passed,1,0,4.2910040356218815
22,local,1,EXECUTE,local_guard_passed,1,0,4.030023934319615
23,local,1,EXECUTE,local_guard_passed,1,0,3.5376918967813253
24,local,1,EXECUTE,local_guard_passed,1,0,3.745470894500613
25,local,1,EXECUTE,local_guard_passed,1,0,4.2530319187790155
26,local,1,EXECUTE,local_guard_passed,1,0,4.968042951077223
27,local,1,EXECUTE,local_guard_passed,1,0,5.78127708286047
28,local,1,EXECUTE,local_guard_passed,1,0,5.0924362149089575
29,local,1,EXECUTE,local_guard_passed,1,0,4.501338116824627
30,local,1,EXECUTE,local_guard_passed,1,0,4.469768842682242
31,local,1,EXECUTE,local_guard_passed,1,0,3.8521909154951572
32,local,1,EXECUTE,local_guard_passed,1,0,4.274984123185277
33,local,1,EXECUTE,local_guard_passed,1,0,3.8699849974364042
34,local,1,EXECUTE,local_guard_passed,1,0,2.2461710032075644
35,local,1,EXECUTE,local_guard_passed,1,0,6.186055950820446
36,local,1,EXECUTE,local_guard_passed,1,0,3.185009816661477
37,local,1,EXECUTE,local_guard_passed,1,0,3.1528400722891092
38,local,1,EXECUTE,local_guard_passed,1,0,3.3751269802451134
39,local,1,EXECUTE,local_guard_passed,1,0,4.919693106785417
40,local,1,EXECUTE,local_guard_passed,1,0,3.2050181180238724
41,local,1,EXECUTE,local_guard_passed,1,0,3.3596381545066833
42,local,1,EXECUTE,local_guard_passed,1,0,4.647491965442896
43,local,1,EXECUTE,local_guard_passed,1,0,4.625671077519655
44,local,1,EXECUTE,local_guard_passed,1,0,3.75592103227973
45,local,1,EXECUTE,local_guard_passed,1,0,6.576528074219823
46,local,1,EXECUTE,local_guard_passed,1,0,5.584849044680595
47,local,1,EXECUTE,local_guard_passed,1,0,8.066229987889528
48,local,1,EXECUTE,local_guard_passed,1,0,15.481109963729978
49,local,1,EXECUTE,local_guard_passed,1,0,5.880003096535802
50,local,1,EXECUTE,local_guard_passed,1,0,3.819549921900034
51,local,1,EXECUTE,local_guard_passed,1,0,3.987023839727044
52,local,1,EXECUTE,local_guard_passed,1,0,4.36955108307302
53,local,1,EXECUTE,local_guard_passed,1,0,7.027482846751809
54,local,1,EXECUTE,local_guard_passed,1,0,8.95328400656581
55,local,1,EXECUTE,local_guard_passed,1,0,9.377117967233062
56,local,1,EXECUTE,local_guard_passed,1,0,5.911912070587277
57,local,1,EXECUTE,local_guard_passed,1,0,7.37530505284667
58,local,1,EXECUTE,local_guard_passed,1,0,3.746794071048498
59,local,1,EXECUTE,local_guard_passed,1,0,4.298537969589233
60,local,1,EXECUTE,local_guard_passed,1,0,6.940280087292194
61,local,1,EXECUTE,local_guard_passed,1,0,3.4878479782491922
62,local,1,EXECUTE,local_guard_passed,1,0,3.302430035546422
63,local,1,EXECUTE,local_guard_passed,1,0,3.5595321096479893
64,local,1,EXECUTE,local_guard_passed,1,0,5.431972909718752
65,local,1,EXECUTE,local_guard_passed,1,0,5.410152021795511
66,local,1,EXECUTE,local_guard_passed,1,0,3.9289251435548067
67,local,1,EXECUTE,local_guard_passed,1,0,3.664118004962802
68,local,1,EXECUTE,local_guard_passed,1,0,2.5391499511897564
69,local,1,EXECUTE,local_guard_passed,1,0,2.8023330960422754
70,local,1,EXECUTE,local_guard_passed,1,0,2.3717160802334547
71,local,1,EXECUTE,local_guard_passed,1,0,5.133372964337468
72,local,1,EXECUTE,local_guard_passed,1,0,4.0908080991357565
73,local,1,EXECUTE,local_guard_passed,1,0,4.377436125651002
74,local,1,EXECUTE,local_guard_passed,1,0,5.338768009096384
75,local,1,EXECUTE,local_guard_passed,1,0,14.361211098730564
76,local,1,EXECUTE,local_guard_passed,1,0,6.487710867077112
77,local,1,EXECUTE,local_guard_passed,1,0,3.0260218773037195
78,local,1,EXECUTE,local_guard_passed,1,0,5.799181060865521
79,local,1,EXECUTE,local_guard_passed,1,0,5.037924041971564
80,local,1,EXECUTE,local_guard_passed,1,0,4.924101056531072
81,local,1,EXECUTE,local_guard_passed,1,0,13.708947924897075
82,local,1,EXECUTE,local_guard_passed,1,0,8.277796907350421
83,local,1,EXECUTE,local_guard_passed,1,0,9.794140001758933
84,local,1,EXECUTE,local_guard_passed,1,0,7.623129989951849
85,local,1,EXECUTE,local_guard_passed,1,0,10.631198063492775
86,local,1,EXECUTE,local_guard_passed,1,0,5.966493859887123
87,local,1,EXECUTE,local_guard_passed,1,0,5.006725899875164
88,local,1,EXECUTE,local_guard_passed,1,0,8.134278003126383
89,local,1,EXECUTE,local_guard_passed,1,0,5.681501002982259
90,local,1,EXECUTE,local_guard_passed,1,0,9.308038046583533
91,local,1,EXECUTE,local_guard_passed,1,0,3.9888578467071056
92,local,1,EXECUTE,local_guard_passed,1,0,2.6684121694415808
93,local,1,EXECUTE,local_guard_passed,1,0,6.245105993002653
94,local,1,EXECUTE,local_guard_passed,1,0,11.144631076604128
