baseline,run,outcome,reason,gateway_released,stale_executed,ros_published,ros_observed,ros_witness_agrees,arm_delta,sim_motion,motion_witness_agrees,error,intent_age_at_submit_ms,campaign
xair,0,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0022,0,1,,208.8,2
xair,1,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0024,0,1,,207.8,2
xair,2,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0026,0,1,,206.3,2
xair,3,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0033,0,1,,207.8,2
xair,4,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0035,0,1,,209.8,2
xair,5,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0037,0,1,,207.5,2
xair,6,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0035,0,1,,207.2,2
xair,7,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0039,0,1,,207.1,2
xair,8,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.004,0,1,,207.8,2
xair,9,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0043,0,1,,209.0,2
xair,10,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0045,0,1,,209.3,2
xair,11,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0047,0,1,,207.3,2
xair,12,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0049,0,1,,207.0,2
xair,13,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0051,0,1,,207.2,2
xair,14,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0053,0,1,,209.1,2
xair,15,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0055,0,1,,206.7,2
xair,16,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0061,0,1,,207.4,2
xair,17,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.006,0,1,,210.2,2
xair,18,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.006,0,1,,207.3,2
xair,19,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0062,0,1,,207.4,2
xair,20,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0064,0,1,,209.1,2
xair,21,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0067,0,1,,207.5,2
xair,22,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0069,0,1,,207.4,2
xair,23,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.007,0,1,,206.9,2
xair,24,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0072,0,1,,209.1,2
xair,25,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0074,0,1,,209.6,2
xair,26,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0076,0,1,,207.5,2
xair,27,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0078,0,1,,207.3,2
xair,28,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.008,0,1,,207.6,2
xair,29,REVOKE,precondition_failed: line.state == 'RUN',0,0,0,0,1,0.0081,0,1,,207.9,2
direct,0,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.2456,1,1,,205.6,2
direct,1,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.3052,1,1,,207.3,2
direct,2,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.3042,1,1,,205.4,2
direct,3,EXECUTE,direct_bypass_no_validation,1,1,1,1,1,0.3211,1,1,,204.9,2
