policy,delay_ms,push_notified,run,outcome,reason,gateway_released,stale_executed
local_stale,0,,0,EXECUTE,local_stale_guard_passed,1,1
local_stale,0,,1,EXECUTE,local_stale_guard_passed,1,1
local_stale,0,,2,EXECUTE,local_stale_guard_passed,1,1
local_stale,0,,3,EXECUTE,local_stale_guard_passed,1,1
local_stale,0,,4,EXECUTE,local_stale_guard_passed,1,1
local_stale,0,,5,EXECUTE,local_stale_guard_passed,1,1
local_stale,0,,6,EXECUTE,local_stale_guard_passed,1,1
local_stale,0,,7,EXECUTE,local_stale_guard_passed,1,1
local_stale,0,,8,EXECUTE,local_stale_guard_passed,1,1
local_stale,0,,9,EXECUTE,local_stale_guard_passed,1,1
local_push,0,0,0,EXECUTE,local_push_guard_passed,1,1
local_push,0,0,1,EXECUTE,local_push_guard_passed,1,1
local_push,0,0,2,EXECUTE,local_push_guard_passed,1,1
local_push,0,0,3,EXECUTE,local_push_guard_passed,1,1
local_push,0,0,4,EXECUTE,local_push_guard_passed,1,1
local_push,0,0,5,EXECUTE,local_push_guard_passed,1,1
local_push,0,0,6,EXECUTE,local_push_guard_passed,1,1
local_push,0,0,7,EXECUTE,local_push_guard_passed,1,1
local_push,0,0,8,EXECUTE,local_push_guard_passed,1,1
local_push,0,0,9,EXECUTE,local_push_guard_passed,1,1
local_authoritative,0,,0,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_authoritative,0,,1,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_authoritative,0,,2,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_authoritative,0,,3,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_authoritative,0,,4,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_authoritative,0,,5,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_authoritative,0,,6,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_authoritative,0,,7,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_authoritative,0,,8,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_authoritative,0,,9,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,0,,0,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,0,,1,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,0,,2,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,0,,3,REVOKE,precondition_failed: line.state == 'RUN',0,0
