mode,producers,context_kb,repetition,trials,released,release_rate,connection_retries,throughput_ips,e2e_p50_ms,e2e_p99_ms
local_authoritative,1,1,0,100,100,1.0,0,404.0303347796011,2.3981346748769283,3.2930532470345497
local_authoritative,1,1,1,100,100,1.0,0,432.9857722513788,2.1649892441928387,3.6976817063987255
local_authoritative,1,1,2,100,100,1.0,0,452.5051990082553,2.1513020619750023,2.889135852456093
local_authoritative,1,1,3,100,100,1.0,0,433.14659345621993,2.2540646605193615,2.8028441593050957
local_authoritative,1,1,4,100,100,1.0,0,427.35073744453524,2.27328110486269,3.104930277913809
local_authoritative,1,64,0,100,100,1.0,0,313.025587428181,3.128624986857176,3.9068730548024178
local_authoritative,1,64,1,100,100,1.0,0,297.56195910349624,3.233090043067932,4.13434999063611
local_authoritative,1,64,2,100,100,1.0,0,296.0853485207261,3.238379955291748,4.182581324130297
local_authoritative,1,64,3,100,100,1.0,0,315.7811665466552,3.068271093070507,3.7507708184421062
local_authoritative,1,64,4,100,100,1.0,0,304.85711032595947,3.282211720943451,3.7591056898236275
local_authoritative,10,1,0,100,100,1.0,0,805.8528440110574,11.68299000710249,16.60042814910412
local_authoritative,10,1,1,100,100,1.0,0,826.0277840012943,11.66693028062582,14.769656118005514
local_authoritative,10,1,2,100,100,1.0,0,826.517805859669,11.76538411527872,14.63220827281475
local_authoritative,10,1,3,100,100,1.0,0,873.3835785750736,11.126286815851927,13.841676991432905
local_authoritative,10,1,4,100,100,1.0,0,775.1366411168856,12.2391227632761,18.896922934800386
local_authoritative,10,64,0,100,100,1.0,0,529.7803803934986,18.16762611269951,23.71466439217329
local_authoritative,10,64,1,100,100,1.0,0,544.2576447872583,17.802932765334845,20.86329786106944
local_authoritative,10,64,2,100,100,1.0,0,548.8354114585368,17.755793873220682,20.280956756323576
local_authoritative,10,64,3,100,100,1.0,0,511.82979170995355,18.933121114969254,21.24285977333784
local_authoritative,10,64,4,100,100,1.0,0,511.3345062662372,19.098409917205572,21.47638937458396
local_authoritative,50,1,0,100,100,1.0,0,791.9523253387199,53.421501070261,77.06520101055503
local_authoritative,50,1,1,100,100,1.0,0,812.8427574882521,51.160361152142286,75.66752238199115
local_authoritative,50,1,2,100,100,1.0,0,831.9124494947336,50.77338591217995,71.02764397859573
local_authoritative,50,1,3,100,100,1.0,0,852.5033985669005,49.16851781308651,72.0985708758235
local_authoritative,50,1,4,100,100,1.0,0,855.0556713168844,49.30904181674123,64.25603991374373
local_authoritative,50,64,0,100,100,1.0,0,516.6243992117688,82.31645403429866,112.10376210510731
local_authoritative,50,64,1,100,100,1.0,0,531.0781991139877,79.96386522427201,106.124984100461
local_authoritative,50,64,2,100,100,1.0,0,400.03115926500067,108.18086797371507,144.24994075670838
local_authoritative,50,64,3,100,100,1.0,0,519.5382835979196,79.20771790668368,105.96134699881077
local_authoritative,50,64,4,100,100,1.0,0,457.1494025564228,94.68186367303133,117.61975195258856
xair,1,1,0,100,100,1.0,0,281.7662423947202,3.521830774843693,4.20509185642004
xair,1,1,1,100,100,1.0,0,292.51624207609694,3.3146440982818604,4.047426860779524
xair,1,1,2,100,100,1.0,0,282.65552102248773,3.504769876599312,4.777785856276751
xair,1,1,3,100,100,1.0,0,299.50875267264087,3.324272111058235,4.043429158627987
xair,1,1,4,100,100,1.0,0,303.92674863208674,3.175653051584959,4.479696974158287
xair,1,64,0,100,100,1.0,0,235.7854244948687,4.227695055305958,4.916384816169739
xair,1,64,1,100,100,1.0,0,252.49901952032286,3.780155908316374,7.25113321095705
xair,1,64,2,100,100,1.0,0,239.96085266160833,4.176960326731205,4.899413790553808
xair,1,64,3,100,100,1.0,0,233.49594067342156,4.315298981964588,4.964486230164766
xair,1,64,4,100,100,1.0,0,232.67242387895215,4.253442864865065,5.181242246180773
xair,10,1,0,100,100,1.0,0,525.6176741249384,18.581171054393053,20.66519809886813
xair,10,1,1,100,100,1.0,0,475.49404024295575,21.086536813527346,24.664002936333418
xair,10,1,2,100,100,1.0,0,493.15722615546906,19.69380723312497,22.818634752184153
xair,10,1,3,100,100,1.0,0,549.6673661645628,17.834021244198084,20.895800087600946
xair,10,1,4,100,100,1.0,0,318.1675028989651,18.003256991505623,147.62595994397998
xair,10,64,0,100,100,1.0,0,229.7497158041241,38.50620100274682,70.48828201368451
xair,10,64,1,100,100,1.0,0,253.13268618279804,37.497860845178366,61.34401122108102
xair,10,64,2,100,100,1.0,0,264.5763770443173,34.57532310858369,55.62334833666682
xair,10,64,3,100,100,1.0,0,283.2987594082025,33.88090990483761,52.36842716112733
xair,10,64,4,100,100,1.0,0,220.79928599125967,42.90519701316953,66.93890877068043
xair,50,1,0,100,100,1.0,0,308.71563562339384,141.78490033373237,217.6427780650556
xair,50,1,1,100,100,1.0,0,268.98399405037696,157.3407300747931,244.78710116818547
xair,50,1,2,100,100,1.0,0,324.9897551780036,108.28702664002776,152.37509086728096
xair,50,1,3,100,100,1.0,0,270.7879875693055,141.61595283076167,219.7320139966905
xair,50,1,4,100,100,1.0,0,254.12072441583888,160.68624099716544,248.67989821359515
xair,50,64,0,100,100,1.0,0,223.5425660077247,184.45018725469708,274.35832284390926
xair,50,64,1,100,100,1.0,0,221.44326546670973,178.27757680788636,286.76884714514017
xair,50,64,2,100,100,1.0,0,263.8001176239324,150.70675406605005,239.64249715209007
xair,50,64,3,100,100,1.0,0,297.51298214190183,144.69732996076345,211.36811515316367
xair,50,64,4,100,100,1.0,0,433.50828346870117,100.98196286708117,128.93944093957543
