run,inject,inject_offset_ms,publish_delay_ms,timing_valid,validation_to_gate_ms,validation_to_publish_ms,recheck_to_publish_ms,t_validate_end_ms,t_injection_start_ms,t_injection_end_ms,t_recheck_end_ms,toctou_blocked,authorized_publish,stale_publish,outcome,reason
0,1,0,50.0,1,54.52327395323664,,,3.132155048660934,3.468636074103415,7.605434977449477,57.65542900189757,1,0,0,REVOKE,context_version_changed_at_publish
1,1,0,50.0,1,53.789469064213336,,,3.313804976642132,3.5314030246809125,6.414090050384402,57.10327404085547,1,0,0,REVOKE,context_version_changed_at_publish
2,1,0,50.0,1,54.10862702410668,,,3.2406080281361938,3.5389080876484513,6.146088009700179,57.349235052242875,1,0,0,REVOKE,context_version_changed_at_publish
3,0,0,50.0,,52.9064720030874,53.22550004348159,0.319028040394187,3.3720339415594935,,,56.278505944646895,0,1,0,EXECUTE,published_after_gate_recheck
4,1,0,50.0,1,53.2846599817276,,,2.082515973597765,2.2473649587482214,4.767843056470156,55.367175955325365,1,0,0,REVOKE,context_version_changed_at_publish
5,1,0,50.0,1,55.026277084834874,,,2.1831949707120657,2.4989770026877522,5.762016982771456,57.20947205554694,1,0,0,REVOKE,context_version_changed_at_publish
6,0,0,50.0,,53.292284021154046,53.55572805274278,0.2634440315887332,3.002531942911446,,,56.29481596406549,0,1,0,EXECUTE,published_after_gate_recheck
7,1,0,50.0,1,57.64602101407945,,,3.906166064552963,4.115920048207045,8.729643072001636,61.552187078632414,1,0,0,REVOKE,context_version_changed_at_publish
8,1,0,50.0,1,53.42861101962626,,,2.189837978221476,2.308771014213562,5.339005030691624,55.618448997847736,1,0,0,REVOKE,context_version_changed_at_publish
9,0,0,50.0,,52.72451101336628,53.04850800894201,0.32399699557572603,2.5379910366609693,,,55.26250205002725,0,1,0,EXECUTE,published_after_gate_recheck
10,1,0,50.0,1,53.63348498940468,,,2.414527931250632,2.674254938028753,5.570146953687072,56.04801292065531,1,0,0,REVOKE,context_version_changed_at_publish
11,1,0,50.0,1,53.854170022532344,,,2.0092680351808667,2.1536790300160646,4.2435090290382504,55.86343805771321,1,0,0,REVOKE,context_version_changed_at_publish
12,1,0,50.0,1,53.467393037863076,,,2.52834300044924,2.816222026012838,5.594784044660628,55.995736038312316,1,0,0,REVOKE,context_version_changed_at_publish
13,1,0,50.0,1,53.362415987066925,,,2.45364208240062,2.660149009898305,6.017937092110515,55.816058069467545,1,0,0,REVOKE,context_version_changed_at_publish
14,1,0,50.0,1,53.99712594226003,,,3.259534016251564,3.474156023003161,6.568058975972235,57.25665995851159,1,0,0,REVOKE,context_version_changed_at_publish
15,0,0,50.0,,53.11186600010842,53.44972002785653,0.3378540277481079,2.82107200473547,,,55.93293800484389,0,1,0,EXECUTE,published_after_gate_recheck
16,0,0,50.0,,53.190703969448805,53.45245497301221,0.2617510035634041,2.2823719773441553,,,55.47307594679296,0,1,0,EXECUTE,published_after_gate_recheck
17,1,0,50.0,1,54.12826407700777,,,2.8962709475308657,3.1976059544831514,6.537370965816081,57.024535024538636,1,0,0,REVOKE,context_version_changed_at_publish
18,1,0,50.0,1,54.46591705549508,,,3.24201094917953,3.482120926491916,6.715194904245436,57.70792800467461,1,0,0,REVOKE,context_version_changed_at_publish
19,1,0,50.0,1,54.05650893226266,,,3.09078604914248,3.2996590016409755,6.011535064317286,57.14729498140514,1,0,0,REVOKE,context_version_changed_at_publish
20,1,0,50.0,1,53.9812280330807,,,3.0936329858377576,3.3431119518354535,7.007573964074254,57.074861018918455,1,0,0,REVOKE,context_version_changed_at_publish
21,0,0,50.0,,53.44204604625702,53.71687200386077,0.2748259576037526,2.426701015792787,,,55.868747062049806,0,1,0,EXECUTE,published_after_gate_recheck
22,0,0,50.0,,52.73249500896782,53.028439986519516,0.2959449775516987,2.7823690325021744,,,55.51486404146999,0,1,0,EXECUTE,published_after_gate_recheck
23,1,0,50.0,1,54.11776201799512,,,2.206859993748367,2.352081937715411,5.352688953280449,56.324622011743486,1,0,0,REVOKE,context_version_changed_at_publish
24,1,0,50.0,1,53.828972042538226,,,3.1949320109561086,3.4229300217702985,6.0877170180901885,57.023904053494334,1,0,0,REVOKE,context_version_changed_at_publish
25,1,0,50.0,1,53.884946973994374,,,2.002855995669961,2.1527770441025496,4.638288985006511,55.887802969664335,1,0,0,REVOKE,context_version_changed_at_publish
26,0,0,50.0,,53.050071001052856,53.35914995521307,0.30907895416021347,2.5432209949940443,,,55.5932919960469,0,1,0,EXECUTE,published_after_gate_recheck
27,0,0,50.0,,53.708274965174496,53.98313095793128,0.27485599275678396,2.5628070579841733,,,56.27108202315867,0,1,0,EXECUTE,published_after_gate_recheck
28,1,0,50.0,1,54.09914907068014,,,2.7756260242313147,3.016528091393411,5.917158094234765,56.874775094911456,1,0,0,REVOKE,context_version_changed_at_publish
29,1,0,50.0,1,53.45959903206676,,,2.420970005914569,2.5858189910650253,4.714371054433286,55.88056903798133,1,0,0,REVOKE,context_version_changed_at_publish
30,0,0,50.0,,52.89184395223856,53.16344299353659,0.2715990412980318,2.4057619739323854,,,55.297605926170945,0,1,0,EXECUTE,published_after_gate_recheck
31,1,0,50.0,1,53.88812196906656,,,2.2217079531401396,2.4657759349793196,5.322734941728413,56.1098299222067,1,0,0,REVOKE,context_version_changed_at_publish
32,1,0,50.0,1,54.18074200861156,,,3.4310149494558573,3.714837017469108,7.833502953872085,57.61175695806742,1,0,0,REVOKE,context_version_changed_at_publish
33,1,0,50.0,1,53.9340180112049,,,2.9264590702950954,3.1028800876811147,6.853885017335415,56.860477081499994,1,0,0,REVOKE,context_version_changed_at_publish
34,1,0,50.0,1,53.393965936265886,,,2.0769460825249553,2.224152092821896,5.421429057605565,55.47091201879084,1,0,0,REVOKE,context_version_changed_at_publish
35,1,0,50.0,1,53.66280092857778,,,3.1200520461425185,3.3334919717162848,6.308292038738728,56.7828529747203,1,0,0,REVOKE,context_version_changed_at_publish
36,1,0,50.0,1,53.777785040438175,,,3.321229014545679,3.5396990133449435,6.976454984396696,57.099014054983854,1,0,0,REVOKE,context_version_changed_at_publish
