run,inject,inject_offset_ms,publish_delay_ms,timing_valid,validation_to_gate_ms,validation_to_publish_ms,recheck_to_publish_ms,t_validate_end_ms,t_injection_start_ms,t_injection_end_ms,t_recheck_end_ms,toctou_blocked,authorized_publish,stale_publish,outcome,reason
0,1,30.0,50.0,1,53.36318397894502,,,3.4338750410825014,33.88067299965769,38.021763088181615,56.79705902002752,1,0,0,REVOKE,context_version_changed_at_publish
1,1,30.0,50.0,1,53.31999296322465,,,4.147873027250171,34.55125994514674,39.14648201316595,57.46786599047482,1,0,0,REVOKE,context_version_changed_at_publish
2,1,30.0,50.0,1,53.57611202634871,,,2.422951045446098,32.663332065567374,36.283066030591726,55.99906307179481,1,0,0,REVOKE,context_version_changed_at_publish
3,0,0,50.0,,53.37864288594574,53.68311295751482,0.3044700715690851,2.62719311285764,,,56.00583599880338,0,1,0,EXECUTE,published_after_gate_recheck
4,1,30.0,50.0,1,53.320294013246894,,,3.695133957080543,34.01111694984138,38.30452298279852,57.01542797032744,1,0,0,REVOKE,context_version_changed_at_publish
5,1,30.0,50.0,1,53.49671398289502,,,2.696734038181603,33.042583032511175,37.1946640079841,56.19344802107662,1,0,0,REVOKE,context_version_changed_at_publish
6,0,0,50.0,,53.947838954627514,54.247441003099084,0.29960204847157,3.5095979692414403,,,57.457436923868954,0,1,0,EXECUTE,published_after_gate_recheck
7,1,30.0,50.0,1,53.24698600452393,,,2.659935038536787,32.97895402647555,37.35134704038501,55.90692104306072,1,0,0,REVOKE,context_version_changed_at_publish
8,1,30.0,50.0,1,53.25692496262491,,,2.248344011604786,32.61204599402845,37.005389924161136,55.50526897422969,1,0,0,REVOKE,context_version_changed_at_publish
9,0,0,50.0,,53.40910004451871,53.695706999860704,0.28660695534199476,2.3669350193813443,,,55.77603506390005,0,1,0,EXECUTE,published_after_gate_recheck
10,1,30.0,50.0,1,53.27898601535708,,,2.4893260560929775,32.7347960555926,37.78291610069573,55.768312071450055,1,0,0,REVOKE,context_version_changed_at_publish
11,1,30.0,50.0,1,53.52792306803167,,,3.1334019731730223,33.48734602332115,38.254900951869786,56.66132504120469,1,0,0,REVOKE,context_version_changed_at_publish
12,1,30.0,50.0,1,53.10346698388457,,,2.927906927652657,33.20020798128098,37.80829394236207,56.03137391153723,1,0,0,REVOKE,context_version_changed_at_publish
13,1,30.0,50.0,1,53.4831490367651,,,1.9773660460487008,32.19178901053965,36.485795048065484,55.4605150828138,1,0,0,REVOKE,context_version_changed_at_publish
