run,baseline,pause_ms,predicate_count,source,drifted,expected,outcome,correct,stale_executed,validation_latency_ms
0,xair,273.8,2,mes,1,REVOKE,REVOKE,1,0,0.030738068744540215
1,xair,98.84,2,mes,1,REVOKE,REVOKE,1,0,0.04160800017416477
2,xair,197.67,2,ai,1,REVOKE,REVOKE,1,0,0.026129186153411865
3,xair,260.71,8,ai,1,REVOKE,REVOKE,1,0,0.02567889168858528
4,xair,207.22,4,ai,0,EXECUTE,EXECUTE,1,0,0.0442632008343935
5,xair,169.09,2,ai,1,REVOKE,REVOKE,1,0,0.04439312033355236
6,xair,182.97,4,xr,1,REVOKE,REVOKE,1,0,0.0417178962379694
7,xair,65.21,4,mes,0,EXECUTE,EXECUTE,1,0,0.06136484444141388
8,xair,182.49,8,xr,0,EXECUTE,EXECUTE,1,0,0.07619289681315422
9,xair,176.57,2,mes,1,REVOKE,REVOKE,1,0,0.04199892282485962
10,xair,129.76,4,ai,0,EXECUTE,EXECUTE,1,0,0.05139713175594807
11,xair,183.04,4,mes,1,REVOKE,REVOKE,1,0,0.036378856748342514
12,xair,174.34,8,xr,0,EXECUTE,EXECUTE,1,0,0.061094993725419044
13,xair,109.9,8,ai,1,REVOKE,REVOKE,1,0,0.03520608879625797
14,xair,144.48,8,mes,1,REVOKE,REVOKE,1,0,0.05242903716862202
15,xair,163.5,2,ai,0,EXECUTE,EXECUTE,1,0,0.03327219747006893
16,xair,190.41,2,ai,0,EXECUTE,EXECUTE,1,0,0.030937837436795235
17,xair,160.14,8,xr,0,EXECUTE,EXECUTE,1,0,0.04776986315846443
18,xair,275.0,2,xr,1,REVOKE,REVOKE,1,0,0.08247490040957928
19,xair,246.48,4,mes,1,REVOKE,REVOKE,1,0,0.043672043830156326
20,xair,254.24,4,ai,0,EXECUTE,EXECUTE,1,0,0.04936195909976959
21,xair,81.82,2,ai,0,EXECUTE,EXECUTE,1,0,0.03972393460571766
22,xair,327.23,4,mes,1,REVOKE,REVOKE,1,0,0.045445049181580544
23,xair,258.56,4,mes,0,EXECUTE,EXECUTE,1,0,0.04784995689988136
24,xair,351.27,2,mes,0,EXECUTE,EXECUTE,1,0,0.04236004315316677
25,xair,237.94,4,mes,1,REVOKE,REVOKE,1,0,0.04119798541069031
26,xair,202.17,4,ai,0,EXECUTE,EXECUTE,1,0,0.04039588384330273
27,xair,316.69,8,ai,0,EXECUTE,EXECUTE,1,0,0.06218603812158108
28,xair,227.68,2,ai,0,EXECUTE,EXECUTE,1,0,0.03395392559468746
29,xair,238.78,8,ai,1,REVOKE,REVOKE,1,0,0.04150904715061188
30,xair,56.82,4,xr,1,REVOKE,REVOKE,1,0,0.04117703065276146
31,xair,357.3,2,ai,0,EXECUTE,EXECUTE,1,0,0.033643096685409546
32,xair,392.29,8,ai,0,EXECUTE,EXECUTE,1,0,0.056406017392873764
33,xair,381.4,2,xr,0,EXECUTE,EXECUTE,1,0,0.04753912799060345
34,xair,198.1,2,mes,0,EXECUTE,EXECUTE,1,0,0.03440491855144501
35,xair,189.65,8,mes,1,REVOKE,REVOKE,1,0,0.03730994649231434
36,xair,231.15,2,ai,1,REVOKE,REVOKE,1,0,0.04219915717840195
37,xair,57.36,8,ai,1,REVOKE,REVOKE,1,0,0.035295961424708366
38,xair,74.85,8,ai,1,REVOKE,REVOKE,1,0,0.03234110772609711
39,xair,60.99,4,ai,1,REVOKE,REVOKE,1,0,0.03983406350016594
40,xair,284.14,2,mes,0,EXECUTE,EXECUTE,1,0,0.04284013994038105
41,xair,358.83,8,xr,0,EXECUTE,EXECUTE,1,0,0.06177718751132488
42,xair,332.62,2,ai,0,EXECUTE,EXECUTE,1,0,0.033041927963495255
43,xair,174.0,4,xr,0,EXECUTE,EXECUTE,1,0,0.058369943872094154
44,xair,394.46,2,ai,0,EXECUTE,EXECUTE,1,0,0.029715942218899727
45,xair,330.21,2,ai,1,REVOKE,REVOKE,1,0,0.036318087950348854
46,xair,207.01,4,ai,1,REVOKE,REVOKE,1,0,0.027932925149798393
47,xair,356.07,2,xr,1,REVOKE,REVOKE,1,0,0.03461609594523907
48,xair,278.25,8,ai,0,EXECUTE,EXECUTE,1,0,0.07140403613448143
49,xair,347.04,2,xr,1,REVOKE,REVOKE,1,0,0.033844029530882835
50,xair,352.63,2,ai,1,REVOKE,REVOKE,1,0,0.03126892261207104
51,xair,186.65,4,xr,0,EXECUTE,EXECUTE,1,0,0.04191906191408634
52,xair,305.68,8,mes,1,REVOKE,REVOKE,1,0,0.03224005922675133
53,xair,153.85,2,mes,1,REVOKE,REVOKE,1,0,0.062006060034036636
54,xair,159.76,2,mes,0,EXECUTE,EXECUTE,1,0,0.05959090776741505
55,xair,348.45,2,ai,1,REVOKE,REVOKE,1,0,0.044452957808971405
56,xair,115.04,8,ai,1,REVOKE,REVOKE,1,0,0.030898023396730423
57,xair,379.56,8,ai,0,EXECUTE,EXECUTE,1,0,0.049873022362589836
58,xair,266.78,4,mes,0,EXECUTE,EXECUTE,1,0,0.0531200785189867
59,xair,160.73,4,ai,1,REVOKE,REVOKE,1,0,0.05174800753593445
60,xair,188.53,8,mes,1,REVOKE,REVOKE,1,0,0.03542611375451088
61,xair,375.16,2,ai,0,EXECUTE,EXECUTE,1,0,0.04657800309360027
62,xair,247.05,2,ai,1,REVOKE,REVOKE,1,0,0.04701805301010609
63,xair,142.82,4,ai,1,REVOKE,REVOKE,1,0,0.03615906462073326
64,xair,105.21,8,mes,0,EXECUTE,EXECUTE,1,0,0.09764311835169792
