run,baseline,pause_ms,predicate_count,source,drifted,expected,outcome,correct,stale_executed,validation_latency_ms
0,xair,68.33,2,xr,1,REVOKE,REVOKE,1,0,0.043872045353055
1,xair,365.42,2,xr,0,EXECUTE,EXECUTE,1,0,0.05139701534062624
2,xair,169.28,2,ai,1,REVOKE,REVOKE,1,0,0.04890095442533493
3,xair,166.83,4,ai,0,EXECUTE,EXECUTE,1,0,0.06389000918716192
4,xair,320.76,32,xr,1,REVOKE,REVOKE,1,0,0.055344076827168465
5,xair,306.21,2,ai,0,EXECUTE,EXECUTE,1,0,0.06876897532492876
6,xair,94.19,2,xr,0,EXECUTE,EXECUTE,1,0,0.06327894516289234
7,xair,142.86,2,xr,0,EXECUTE,EXECUTE,1,0,0.06911903619766235
8,xair,219.04,32,mes,0,EXECUTE,EXECUTE,1,0,0.23367698304355145
9,xair,386.2,2,xr,1,REVOKE,REVOKE,1,0,0.044943997636437416
10,xair,238.48,32,xr,0,EXECUTE,EXECUTE,1,0,0.1984520349651575
11,xair,181.08,2,mes,0,EXECUTE,EXECUTE,1,0,0.07108307909220457
12,xair,78.91,16,mes,1,REVOKE,REVOKE,1,0,0.04504399839788675
13,xair,167.92,16,ai,1,REVOKE,REVOKE,1,0,0.045455992221832275
14,xair,322.56,2,ai,1,REVOKE,REVOKE,1,0,0.041687977500259876
15,xair,269.91,2,xr,1,REVOKE,REVOKE,1,0,0.054261996410787106
16,xair,225.35,2,mes,0,EXECUTE,EXECUTE,1,0,0.054853036999702454
17,xair,387.42,4,mes,0,EXECUTE,EXECUTE,1,0,0.06912997923791409
18,xair,103.82,32,xr,0,EXECUTE,EXECUTE,1,0,0.2625519409775734
19,xair,65.45,4,xr,1,REVOKE,REVOKE,1,0,0.0571270938962698
20,xair,329.61,8,xr,1,REVOKE,REVOKE,1,0,0.04727893974632025
21,xair,266.15,32,xr,1,REVOKE,REVOKE,1,0,0.06159499753266573
22,xair,364.12,32,xr,0,EXECUTE,EXECUTE,1,0,0.19867101218551397
23,xair,272.28,2,xr,0,EXECUTE,EXECUTE,1,0,0.05190796218812466
24,xair,61.56,32,xr,1,REVOKE,REVOKE,1,0,0.049502006731927395
25,xair,273.69,4,xr,0,EXECUTE,EXECUTE,1,0,0.08955795783549547
26,xair,287.67,8,mes,0,EXECUTE,EXECUTE,1,0,0.09828410111367702
27,xair,338.66,2,mes,0,EXECUTE,EXECUTE,1,0,0.0588300172239542
28,xair,101.15,8,xr,1,REVOKE,REVOKE,1,0,0.06330909673124552
29,xair,391.23,32,ai,0,EXECUTE,EXECUTE,1,0,0.16036094166338444
30,xair,185.19,2,mes,1,REVOKE,REVOKE,1,0,0.04856102168560028
31,xair,57.21,16,mes,1,REVOKE,REVOKE,1,0,0.051255919970571995
32,xair,326.89,2,ai,1,REVOKE,REVOKE,1,0,0.039745005778968334
33,xair,230.89,32,ai,0,EXECUTE,EXECUTE,1,0,0.15037204138934612
34,xair,240.91,8,ai,1,REVOKE,REVOKE,1,0,0.04524493124336004
35,xair,145.11,32,ai,0,EXECUTE,EXECUTE,1,0,0.1924110110849142
36,xair,142.59,2,mes,0,EXECUTE,EXECUTE,1,0,0.06713601760566235
37,xair,226.8,2,ai,0,EXECUTE,EXECUTE,1,0,0.04586600698530674
38,xair,79.79,8,ai,0,EXECUTE,EXECUTE,1,0,0.0794590450823307
39,xair,96.71,32,ai,1,REVOKE,REVOKE,1,0,0.04388194065541029
40,xair,189.42,2,xr,0,EXECUTE,EXECUTE,1,0,0.052148010581731796
41,xair,169.18,4,mes,0,EXECUTE,EXECUTE,1,0,0.0708320876583457
42,xair,52.09,32,mes,1,REVOKE,REVOKE,1,0,0.04642689600586891
43,xair,254.62,2,xr,1,REVOKE,REVOKE,1,0,0.04181801341474056
44,xair,284.13,16,xr,1,REVOKE,REVOKE,1,0,0.040255021303892136
45,xair,207.17,4,ai,0,EXECUTE,EXECUTE,1,0,0.06631400901824236
46,xair,71.85,16,xr,1,REVOKE,REVOKE,1,0,0.0534100690856576
47,xair,373.55,32,xr,1,REVOKE,REVOKE,1,0,0.05803897511214018
48,xair,153.56,8,mes,1,REVOKE,REVOKE,1,0,0.09841390419751406
49,xair,380.48,2,mes,1,REVOKE,REVOKE,1,0,0.04874099977314472
50,xair,212.94,8,ai,1,REVOKE,REVOKE,1,0,0.04893203731626272
51,xair,203.73,32,xr,0,EXECUTE,EXECUTE,1,0,0.17183192539960146
52,xair,209.42,32,xr,0,EXECUTE,EXECUTE,1,0,0.2107160398736596
53,xair,113.77,2,xr,0,EXECUTE,EXECUTE,1,0,0.04673807416111231
54,xair,217.06,2,xr,1,REVOKE,REVOKE,1,0,0.05320901982486248
55,xair,354.66,4,mes,1,REVOKE,REVOKE,1,0,0.03969401586800814
56,xair,364.85,32,xr,0,EXECUTE,EXECUTE,1,0,0.19841198809444904
57,xair,54.88,16,ai,0,EXECUTE,EXECUTE,1,0,0.1707490300759673
58,xair,149.78,16,xr,1,REVOKE,REVOKE,1,0,0.045825960114598274
59,xair,54.54,4,ai,1,REVOKE,REVOKE,1,0,0.04175805952399969
60,xair,108.07,32,ai,1,REVOKE,REVOKE,1,0,0.04164793062955141
61,xair,356.69,4,xr,1,REVOKE,REVOKE,1,0,0.07215503137558699
62,xair,204.95,32,mes,0,EXECUTE,EXECUTE,1,0,0.1917890040203929
63,xair,232.25,2,mes,1,REVOKE,REVOKE,1,0,0.04856102168560028
64,xair,327.03,2,ai,1,REVOKE,REVOKE,1,0,0.04660803824663162
65,xair,278.93,32,xr,1,REVOKE,REVOKE,1,0,0.06165599916130304
66,xair,118.06,4,ai,1,REVOKE,REVOKE,1,0,0.05829904694110155
67,xair,122.86,16,ai,1,REVOKE,REVOKE,1,0,0.07185502909123898
68,xair,162.67,2,ai,0,EXECUTE,EXECUTE,1,0,0.06122398190200329
69,xair,357.7,16,mes,0,EXECUTE,EXECUTE,1,0,0.12167799286544323
70,xair,156.46,8,mes,1,REVOKE,REVOKE,1,0,0.043531996197998524
71,xair,59.09,8,ai,1,REVOKE,REVOKE,1,0,0.08196395356208086
72,xair,127.72,16,xr,1,REVOKE,REVOKE,1,0,0.07521104998886585
73,xair,76.97,16,ai,1,REVOKE,REVOKE,1,0,0.050134025514125824
74,xair,305.93,2,ai,1,REVOKE,REVOKE,1,0,0.04671595524996519
75,xair,351.75,32,mes,1,REVOKE,REVOKE,1,0,0.056617078371346
76,xair,173.55,8,ai,0,EXECUTE,EXECUTE,1,0,0.08020002860575914
77,xair,87.0,2,mes,0,EXECUTE,EXECUTE,1,0,0.04766997881233692
78,xair,323.18,4,xr,1,REVOKE,REVOKE,1,0,0.060582999140024185
79,xair,356.72,4,ai,0,EXECUTE,EXECUTE,1,0,0.06140500772744417
80,xair,80.21,2,ai,1,REVOKE,REVOKE,1,0,0.09726197458803654
81,xair,200.57,4,mes,1,REVOKE,REVOKE,1,0,0.044532003812491894
82,xair,103.09,16,mes,1,REVOKE,REVOKE,1,0,0.044122920371592045
83,xair,64.41,16,ai,1,REVOKE,REVOKE,1,0,0.0463870819658041
84,xair,200.96,4,ai,1,REVOKE,REVOKE,1,0,0.08434697519987822
85,xair,284.2,8,ai,1,REVOKE,REVOKE,1,0,0.06482203025370836
86,xair,72.61,4,xr,1,REVOKE,REVOKE,1,0,0.04384201020002365
87,xair,327.42,32,mes,1,REVOKE,REVOKE,1,0,0.05478295497596264
88,xair,197.31,32,xr,0,EXECUTE,EXECUTE,1,0,0.20541506819427013
89,xair,346.28,2,mes,1,REVOKE,REVOKE,1,0,0.04403200000524521
90,xair,291.58,2,xr,0,EXECUTE,EXECUTE,1,0,0.055552925914525986
91,xair,276.31,2,xr,0,EXECUTE,EXECUTE,1,0,0.05537399556487799
92,xair,205.65,2,mes,0,EXECUTE,EXECUTE,1,0,0.055233947932720184
93,xair,236.92,16,mes,1,REVOKE,REVOKE,1,0,0.05237793084233999
94,xair,302.8,16,xr,0,EXECUTE,EXECUTE,1,0,0.10768196079879999
95,xair,243.49,32,ai,1,REVOKE,REVOKE,1,0,0.04444399382919073
96,xair,305.05,4,ai,1,REVOKE,REVOKE,1,0,0.055965036153793335
97,xair,97.73,32,ai,1,REVOKE,REVOKE,1,0,0.04457391332834959
98,xair,370.0,8,ai,1,REVOKE,REVOKE,1,0,0.04010496195405722
99,xair,138.23,2,mes,0,EXECUTE,EXECUTE,1,0,0.06972101982682943
