mode,producers,max_workers,context_kb,repetition,trials,released,release_rate,throughput_ips,e2e_p50_ms,e2e_p99_ms
local_authoritative,1,1,1,0,100,100,1.0,115.70600149424138,6.083257962018251,12.110400013625622
local_authoritative,1,1,1,1,100,100,1.0,124.16013121640913,6.005452014505863,9.525844012387097
local_authoritative,1,1,1,2,100,100,1.0,131.7987085481079,5.773426033556461,7.8160569537431
local_authoritative,1,1,1,3,100,100,1.0,131.89572462400582,5.666584940627217,8.653437020257115
local_authoritative,1,1,1,4,100,100,1.0,135.10088724959115,5.431745084933937,7.777795079164207
local_authoritative,1,1,64,0,100,100,1.0,105.92327565094972,7.136372965760529,10.067448019981384
local_authoritative,1,1,64,1,100,100,1.0,113.03461155634982,6.865074043162167,8.126178989186883
local_authoritative,1,1,64,2,100,100,1.0,112.23053714669338,6.906121037900448,12.956616934388876
local_authoritative,1,1,64,3,100,100,1.0,110.28616107510045,6.845426978543401,8.309482014738023
local_authoritative,1,1,64,4,100,100,1.0,103.7863433485498,7.207365008071065,12.11499806959182
local_authoritative,10,10,1,0,100,100,1.0,233.5219645152066,24.981146096251905,33.010703045874834
local_authoritative,10,10,1,1,100,100,1.0,239.84841984908505,25.829105987213552,34.35332095250487
local_authoritative,10,10,1,2,100,100,1.0,202.21109501988704,25.04802099429071,107.5062690069899
local_authoritative,10,10,1,3,100,100,1.0,237.49602658380562,25.158488075248897,32.358921016566455
local_authoritative,10,10,1,4,100,100,1.0,247.9849364176548,24.757797014899552,34.37007206957787
local_authoritative,10,10,64,0,100,100,1.0,184.01345023545062,35.42738396208733,42.00578003656119
local_authoritative,10,10,64,1,100,100,1.0,187.32283321847936,35.44396499637514,46.047499985434115
local_authoritative,10,10,64,2,100,100,1.0,187.22166002926863,33.87378202751279,48.034445964731276
local_authoritative,10,10,64,3,100,100,1.0,183.6035730189117,35.614156047813594,42.60820092167705
local_authoritative,10,10,64,4,100,100,1.0,175.25049981532405,38.099415018223226,48.469401081092656
local_authoritative,50,50,1,0,100,100,1.0,22.378141389911864,69.23413998447359,2068.284155917354
local_authoritative,50,50,1,1,100,100,1.0,22.22519418999967,70.54638094268739,2084.3109670095146
local_authoritative,50,50,1,2,100,100,1.0,28.42204342365088,94.21671798918396,1265.6228529522195
local_authoritative,50,50,1,3,100,100,1.0,23.422963972550388,66.46493694279343,2087.3087709769607
local_authoritative,50,50,1,4,100,100,1.0,28.308163988984884,90.88136395439506,2151.40635590069
local_authoritative,50,50,64,0,100,100,1.0,22.011344686696035,125.30941306613386,2111.5657220361754
local_authoritative,50,50,64,1,100,100,1.0,18.890563432312007,95.6633510068059,2093.259338987991
local_authoritative,50,50,64,2,100,100,1.0,23.126927045693964,108.91343699768186,2114.687967929058
local_authoritative,50,50,64,3,100,100,1.0,39.478286796276755,139.8051360156387,1116.2602939875796
local_authoritative,50,50,64,4,100,100,1.0,28.40222008898257,114.96134800836444,1130.5085020139813
xair,1,1,1,0,100,100,1.0,116.07988021268386,6.666953093372285,9.41182894166559
xair,1,1,1,1,100,100,1.0,112.33490769272333,6.709310924634337,9.451543097384274
xair,1,1,1,2,100,100,1.0,110.10481548866626,6.72898895572871,12.57481996435672
xair,1,1,1,3,100,100,1.0,116.189190139032,6.70579494908452,9.862354025244713
xair,1,1,1,4,100,100,1.0,113.10503948005773,6.703109014779329,8.830397971905768
xair,1,1,64,0,100,100,1.0,104.38970811260263,7.444279966875911,10.004790965467691
xair,1,1,64,1,100,100,1.0,101.1310728711282,7.600842043757439,10.387299000285566
xair,1,1,64,2,100,100,1.0,100.35844644997647,7.608357933349907,13.057375093922019
xair,1,1,64,3,100,100,1.0,100.30181296380788,7.673880085349083,10.459675104357302
xair,1,1,64,4,100,100,1.0,99.15494248602819,7.848909008316696,13.265055022202432
xair,10,10,1,0,100,100,1.0,158.63705439393024,40.300663094967604,66.34222599677742
xair,10,10,1,1,100,100,1.0,152.38807148142666,39.89901894237846,132.49534694477916
xair,10,10,1,2,100,100,1.0,187.6250695821551,37.088457960635424,43.90214500017464
xair,10,10,1,3,100,100,1.0,181.7057039809993,39.35192304197699,46.03121802210808
xair,10,10,1,4,100,100,1.0,179.94710750722655,39.786929031834006,48.959750100038946
xair,10,10,64,0,100,100,1.0,153.38322981122428,44.91701896768063,53.985683945938945
xair,10,10,64,1,100,100,1.0,157.50857050126874,44.081732048653066,53.072492009960115
xair,10,10,64,2,100,100,1.0,160.52700603331573,42.923731030896306,60.36404496990144
xair,10,10,64,3,100,100,1.0,165.54403037270205,42.06736502237618,49.50520396232605
xair,10,10,64,4,100,100,1.0,162.05923456905026,43.102366966195405,52.03474604059011
xair,50,50,1,0,100,100,1.0,22.408085042976523,100.58333503548056,2114.6359889535233
xair,50,50,1,1,100,100,1.0,28.45371995449828,116.2231940543279,1234.4987239921466
xair,50,50,1,2,100,100,1.0,18.86195347809548,96.75938496366143,2103.1979939434677
xair,50,50,1,3,100,100,1.0,40.28358621452404,113.46946796402335,1225.3353069536388
xair,50,50,1,4,100,100,1.0,21.39723157866446,101.74738697241992,1438.2608539890498
xair,50,50,64,0,100,100,1.0,18.816908148063266,152.30309998150915,2094.1972150467336
xair,50,50,64,1,100,100,1.0,22.957325809492485,302.0597230643034,2073.0782400351018
xair,50,50,64,2,100,100,1.0,29.580016474357834,139.02751402929425,1131.8023760104552
xair,50,50,64,3,100,100,1.0,27.219181233780432,156.00052301306278,1275.7535519776866
xair,50,50,64,4,100,100,1.0,22.387286356276043,180.62193202786148,2086.9449739111587
