scenario,baseline,run,stale_executed,outcome
RESUME,direct,0,1,EXECUTE
RESUME,direct,1,1,EXECUTE
RESUME,direct,2,1,EXECUTE
RESUME,direct,3,1,EXECUTE
RESUME,direct,4,1,EXECUTE
RESUME,direct,5,1,EXECUTE
RESUME,direct,6,1,EXECUTE
RESUME,direct,7,1,EXECUTE
RESUME,direct,8,1,EXECUTE
RESUME,direct,9,1,EXECUTE
RESUME,direct,10,1,EXECUTE
RESUME,direct,11,1,EXECUTE
RESUME,direct,12,1,EXECUTE
RESUME,direct,13,1,EXECUTE
RESUME,direct,14,1,EXECUTE
RESUME,direct,15,1,EXECUTE
RESUME,direct,16,1,EXECUTE
RESUME,direct,17,1,EXECUTE
RESUME,direct,18,1,EXECUTE
RESUME,direct,19,1,EXECUTE
RESUME,direct,20,1,EXECUTE
RESUME,direct,21,1,EXECUTE
RESUME,direct,22,1,EXECUTE
RESUME,direct,23,1,EXECUTE
RESUME,direct,24,1,EXECUTE
RESUME,direct,25,1,EXECUTE
RESUME,direct,26,1,EXECUTE
RESUME,direct,27,1,EXECUTE
RESUME,direct,28,1,EXECUTE
RESUME,direct,29,1,EXECUTE
RESUME,xair,0,0,REVOKE
RESUME,xair,1,0,REVOKE
RESUME,xair,2,0,REVOKE
RESUME,xair,3,0,REVOKE
RESUME,xair,4,0,REVOKE
RESUME,xair,5,0,REVOKE
RESUME,xair,6,0,REVOKE
RESUME,xair,7,0,REVOKE
RESUME,xair,8,0,REVOKE
RESUME,xair,9,0,REVOKE
RESUME,xair,10,0,REVOKE
RESUME,xair,11,0,REVOKE
RESUME,xair,12,0,REVOKE
RESUME,xair,13,0,REVOKE
RESUME,xair,14,0,REVOKE
RESUME,xair,15,0,REVOKE
RESUME,xair,16,0,REVOKE
RESUME,xair,17,0,REVOKE
RESUME,xair,18,0,REVOKE
RESUME,xair,19,0,REVOKE
RESUME,xair,20,0,REVOKE
RESUME,xair,21,0,REVOKE
RESUME,xair,22,0,REVOKE
RESUME,xair,23,0,REVOKE
RESUME,xair,24,0,REVOKE
RESUME,xair,25,0,REVOKE
RESUME,xair,26,0,REVOKE
RESUME,xair,27,0,REVOKE
RESUME,xair,28,0,REVOKE
RESUME,xair,29,0,REVOKE
RESUME,local,0,0,REVOKE
RESUME,local,1,0,REVOKE
RESUME,local,2,0,REVOKE
RESUME,local,3,0,REVOKE
RESUME,local,4,0,REVOKE
RESUME,local,5,0,REVOKE
RESUME,local,6,0,REVOKE
RESUME,local,7,0,REVOKE
