run,mode,transport,outcome,reason,stale_executed
0,local_stale,opcua,EXECUTE,local_stale_cache,1
0,local_push,opcua,EXECUTE,local_push_invalidate,1
0,xair,opcua,REVOKE,precondition_failed: line.state == 'RUN',0
1,local_stale,opcua,EXECUTE,local_stale_cache,1
1,local_push,opcua,EXECUTE,local_push_invalidate,1
1,xair,opcua,REVOKE,precondition_failed: line.state == 'RUN',0
2,local_stale,opcua,EXECUTE,local_stale_cache,1
2,local_push,opcua,EXECUTE,local_push_invalidate,1
2,xair,opcua,REVOKE,precondition_failed: line.state == 'RUN',0
3,local_stale,opcua,EXECUTE,local_stale_cache,1
3,local_push,opcua,EXECUTE,local_push_invalidate,1
3,xair,opcua,REVOKE,precondition_failed: line.state == 'RUN',0
4,local_stale,opcua,EXECUTE,local_stale_cache,1
4,local_push,opcua,EXECUTE,local_push_invalidate,1
4,xair,opcua,REVOKE,precondition_failed: line.state == 'RUN',0
5,local_stale,opcua,EXECUTE,local_stale_cache,1
5,local_push,opcua,EXECUTE,local_push_invalidate,1
5,xair,opcua,REVOKE,precondition_failed: line.state == 'RUN',0
6,local_stale,opcua,EXECUTE,local_stale_cache,1
6,local_push,opcua,EXECUTE,local_push_invalidate,1
6,xair,opcua,REVOKE,precondition_failed: line.state == 'RUN',0
7,local_stale,opcua,EXECUTE,local_stale_cache,1
7,local_push,opcua,EXECUTE,local_push_invalidate,1
7,xair,opcua,REVOKE,precondition_failed: line.state == 'RUN',0
8,local_stale,opcua,EXECUTE,local_stale_cache,1
8,local_push,opcua,EXECUTE,local_push_invalidate,1
8,xair,opcua,REVOKE,precondition_failed: line.state == 'RUN',0
9,local_stale,opcua,EXECUTE,local_stale_cache,1
9,local_push,opcua,EXECUTE,local_push_invalidate,1
9,xair,opcua,REVOKE,precondition_failed: line.state == 'RUN',0
10,local_stale,opcua,EXECUTE,local_stale_cache,1
10,local_push,opcua,EXECUTE,local_push_invalidate,1
10,xair,opcua,REVOKE,precondition_failed: line.state == 'RUN',0
11,local_stale,opcua,EXECUTE,local_stale_cache,1
11,local_push,opcua,EXECUTE,local_push_invalidate,1
11,xair,opcua,REVOKE,precondition_failed: line.state == 'RUN',0
12,local_stale,opcua,EXECUTE,local_stale_cache,1
12,local_push,opcua,EXECUTE,local_push_invalidate,1
12,xair,opcua,REVOKE,precondition_failed: line.state == 'RUN',0
13,local_stale,opcua,EXECUTE,local_stale_cache,1
13,local_push,opcua,EXECUTE,local_push_invalidate,1
13,xair,opcua,REVOKE,precondition_failed: line.state == 'RUN',0
14,local_stale,opcua,EXECUTE,local_stale_cache,1
14,local_push,opcua,EXECUTE,local_push_invalidate,1
14,xair,opcua,REVOKE,precondition_failed: line.state == 'RUN',0
15,local_stale,opcua,EXECUTE,local_stale_cache,1
15,local_push,opcua,EXECUTE,local_push_invalidate,1
15,xair,opcua,REVOKE,precondition_failed: line.state == 'RUN',0
16,local_stale,opcua,EXECUTE,local_stale_cache,1
16,local_push,opcua,EXECUTE,local_push_invalidate,1
16,xair,opcua,REVOKE,precondition_failed: line.state == 'RUN',0
17,local_stale,opcua,EXECUTE,local_stale_cache,1
17,local_push,opcua,EXECUTE,local_push_invalidate,1
17,xair,opcua,REVOKE,precondition_failed: line.state == 'RUN',0
18,local_stale,opcua,EXECUTE,local_stale_cache,1
18,local_push,opcua,EXECUTE,local_push_invalidate,1
18,xair,opcua,REVOKE,precondition_failed: line.state == 'RUN',0
19,local_stale,opcua,EXECUTE,local_stale_cache,1
19,local_push,opcua,EXECUTE,local_push_invalidate,1
19,xair,opcua,REVOKE,precondition_failed: line.state == 'RUN',0
20,local_stale,opcua,EXECUTE,local_stale_cache,1
20,local_push,opcua,EXECUTE,local_push_invalidate,1
20,xair,opcua,REVOKE,precondition_failed: line.state == 'RUN',0
21,local_stale,opcua,EXECUTE,local_stale_cache,1
21,local_push,opcua,EXECUTE,local_push_invalidate,1
21,xair,opcua,REVOKE,precondition_failed: line.state == 'RUN',0
22,local_stale,opcua,EXECUTE,local_stale_cache,1
22,local_push,opcua,EXECUTE,local_push_invalidate,1
22,xair,opcua,REVOKE,precondition_failed: line.state == 'RUN',0
23,local_stale,opcua,EXECUTE,local_stale_cache,1
23,local_push,opcua,EXECUTE,local_push_invalidate,1
23,xair,opcua,REVOKE,precondition_failed: line.state == 'RUN',0
24,local_stale,opcua,EXECUTE,local_stale_cache,1
24,local_push,opcua,EXECUTE,local_push_invalidate,1
24,xair,opcua,REVOKE,precondition_failed: line.state == 'RUN',0
25,local_stale,opcua,EXECUTE,local_stale_cache,1
25,local_push,opcua,EXECUTE,local_push_invalidate,1
25,xair,opcua,REVOKE,precondition_failed: line.state == 'RUN',0
26,local_stale,opcua,EXECUTE,local_stale_cache,1
26,local_push,opcua,EXECUTE,local_push_invalidate,1
26,xair,opcua,REVOKE,precondition_failed: line.state == 'RUN',0
27,local_stale,opcua,EXECUTE,local_stale_cache,1
27,local_push,opcua,EXECUTE,local_push_invalidate,1
27,xair,opcua,REVOKE,precondition_failed: line.state == 'RUN',0
28,local_stale,opcua,EXECUTE,local_stale_cache,1
28,local_push,opcua,EXECUTE,local_push_invalidate,1
28,xair,opcua,REVOKE,precondition_failed: line.state == 'RUN',0
29,local_stale,opcua,EXECUTE,local_stale_cache,1
29,local_push,opcua,EXECUTE,local_push_invalidate,1
29,xair,opcua,REVOKE,precondition_failed: line.state == 'RUN',0
