scenario,run,baseline,seed,outcome,ros_published,ros_observed,stale_executed,stale_observed,witness_agreement,obsolete_intent,correct_revoke,validation_latency_ms,e2e_latency_ms,pause_ms,freshness_ms
e1b,0,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.7539190594106913,400,500
e1b,1,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.4600480208173394,400,500
e1b,2,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.7067691078409553,400,500
e1b,3,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,118.3007339714095,400,500
e1b,4,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.0527991000562906,400,500
e1b,5,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.697742030955851,400,500
e1b,6,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.15432804543525,400,500
e1b,7,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.4644849579781294,400,500
e1b,8,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.9689518958330154,400,500
e1b,9,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.5459279529750347,400,500
e1b,10,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.6424399800598621,400,500
e1b,11,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.9003819907084107,400,500
e1b,12,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.6670259647071362,400,500
e1b,13,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.7799870111048222,400,500
e1b,14,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.195936976931989,400,500
e1b,15,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.0811420399695635,400,500
e1b,16,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.677114050835371,400,500
e1b,17,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.8974769627675414,400,500
e1b,18,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.2795830154791474,400,500
e1b,19,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.6163509571924806,400,500
e1b,20,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.7921000253409147,400,500
e1b,21,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.6788279172033072,400,500
e1b,22,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.6628280282020569,400,500
e1b,23,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.7813000595197082,400,500
e1b,24,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.636238070204854,400,500
e1b,25,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.939387060701847,400,500
e1b,26,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.9292871002107859,400,500
e1b,27,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.8866159953176975,400,500
e1b,28,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.9331549992784858,400,500
e1b,29,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.729683019220829,400,500
e1b,30,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.4373649610206485,400,500
e1b,31,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.0050189923495054,400,500
e1b,32,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.895433058962226,400,500
e1b,33,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.742827007547021,400,500
e1b,34,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.7332599963992834,400,500
e1b,35,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.147807041183114,400,500
e1b,36,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.5200299676507711,400,500
e1b,37,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.4231630377471447,400,500
e1b,38,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.3753290986642241,400,500
e1b,39,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.8441369757056236,400,500
e1b,40,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.0463370019569993,400,500
e1b,41,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.588914008811116,400,500
e1b,42,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.6069130506366491,400,500
e1b,43,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.847633975557983,400,500
e1b,44,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.7752529131248593,400,500
e1b,45,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.7670829547569156,400,500
e1b,46,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.8732320750132203,400,500
e1b,47,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.918558031320572,400,500
e1b,48,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.6458360478281975,400,500
e1b,49,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.6134449979290366,400,500
e1b,50,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.6854909481480718,400,500
e1b,51,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.6187540022656322,400,500
e1b,52,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.5775080537423491,400,500
e1b,53,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.3164519807323813,400,500
e1b,54,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.6492529539391398,400,500
e1b,55,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.073857933282852,400,500
e1b,56,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.404382986947894,400,500
e1b,57,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.008195035159588,400,500
e1b,58,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.839268021285534,400,500
e1b,59,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,2.0656429696828127,400,500
e1b,60,direct,42,EXECUTE,True,True,True,True,True,True,False,0.0,1.9896699814125896,400,500
