run,valid_intent,outcome,wrongful_revoke,ros_published
0,True,EXECUTE,False,True
1,True,EXECUTE,False,True
2,True,EXECUTE,False,True
3,True,EXECUTE,False,True
4,True,EXECUTE,False,True
5,True,EXECUTE,False,True
6,True,EXECUTE,False,True
7,True,EXECUTE,False,True
8,True,EXECUTE,False,True
9,True,EXECUTE,False,True
10,True,EXECUTE,False,True
11,True,EXECUTE,False,True
12,True,EXECUTE,False,True
13,True,EXECUTE,False,True
14,True,EXECUTE,False,True
15,True,EXECUTE,False,True
16,True,EXECUTE,False,True
17,True,EXECUTE,False,True
18,True,EXECUTE,False,True
19,True,EXECUTE,False,True
20,True,EXECUTE,False,True
21,True,EXECUTE,False,True
22,True,EXECUTE,False,True
23,True,EXECUTE,False,True
24,True,EXECUTE,False,True
25,True,EXECUTE,False,True
26,True,EXECUTE,False,True
27,True,EXECUTE,False,True
28,True,EXECUTE,False,True
29,True,EXECUTE,False,True
30,True,EXECUTE,False,True
31,True,EXECUTE,False,True
32,True,EXECUTE,False,True
33,True,EXECUTE,False,True
34,True,EXECUTE,False,True
35,True,EXECUTE,False,True
36,True,EXECUTE,False,True
37,True,EXECUTE,False,True
38,True,EXECUTE,False,True
39,True,EXECUTE,False,True
40,True,EXECUTE,False,True
41,True,EXECUTE,False,True
42,True,EXECUTE,False,True
43,True,EXECUTE,False,True
44,True,EXECUTE,False,True
45,True,EXECUTE,False,True
46,True,EXECUTE,False,True
47,True,EXECUTE,False,True
48,True,EXECUTE,False,True
49,True,EXECUTE,False,True
50,True,EXECUTE,False,True
51,True,EXECUTE,False,True
52,True,EXECUTE,False,True
53,True,EXECUTE,False,True
54,True,EXECUTE,False,True
55,True,EXECUTE,False,True
56,True,EXECUTE,False,True
57,True,EXECUTE,False,True
58,True,EXECUTE,False,True
59,True,EXECUTE,False,True
60,True,EXECUTE,False,True
61,True,EXECUTE,False,True
62,True,EXECUTE,False,True
63,True,EXECUTE,False,True
64,True,EXECUTE,False,True
65,True,EXECUTE,False,True
66,True,EXECUTE,False,True
67,True,EXECUTE,False,True
68,True,EXECUTE,False,True
69,True,EXECUTE,False,True
70,True,EXECUTE,False,True
71,True,EXECUTE,False,True
72,True,EXECUTE,False,True
73,True,EXECUTE,False,True
74,True,EXECUTE,False,True
75,True,EXECUTE,False,True
76,True,EXECUTE,False,True
77,True,EXECUTE,False,True
78,True,EXECUTE,False,True
79,True,EXECUTE,False,True
80,True,EXECUTE,False,True
81,True,EXECUTE,False,True
82,True,EXECUTE,False,True
83,True,EXECUTE,False,True
84,True,EXECUTE,False,True
85,True,EXECUTE,False,True
86,True,EXECUTE,False,True
87,True,EXECUTE,False,True
88,True,EXECUTE,False,True
89,True,EXECUTE,False,True
90,True,EXECUTE,False,True
91,True,EXECUTE,False,True
92,True,EXECUTE,False,True
93,True,EXECUTE,False,True
94,True,EXECUTE,False,True
95,True,EXECUTE,False,True
96,True,EXECUTE,False,True
97,True,EXECUTE,False,True
98,True,EXECUTE,False,True
99,True,EXECUTE,False,True
