run,baseline,ai_latency_ms,executed,stale_executions,revoked,ser,poa
0,direct,377.88535969157675,1,1,0,0.5,0
0,naive,377.88535969157675,1,1,0,0.5,0
0,xair,377.88535969157675,0,0,1,0.0,1
1,direct,255.00215104453338,1,1,0,0.5,0
1,naive,255.00215104453338,1,1,0,0.5,0
1,xair,255.00215104453338,0,0,1,0.0,1
2,direct,305.00586367382385,1,1,0,0.5,0
2,naive,305.00586367382385,1,1,0,0.5,0
2,xair,305.00586367382385,0,0,1,0.0,1
3,direct,294.64214762976457,1,1,0,0.5,0
3,naive,294.64214762976457,1,1,0,0.5,0
3,xair,294.64214762976457,0,0,1,0.0,1
4,direct,397.29424283280247,1,1,0,0.5,0
4,naive,397.29424283280247,1,1,0,0.5,0
4,xair,397.29424283280247,0,0,1,0.0,1
5,direct,385.33989748458225,1,1,0,0.5,0
5,naive,385.33989748458225,1,1,0,0.5,0
5,xair,385.33989748458225,0,0,1,0.0,1
6,direct,428.43591354096907,1,1,0,0.5,0
6,naive,428.43591354096907,0,0,1,0.0,1
6,xair,428.43591354096907,0,0,1,0.0,1
7,direct,267.38776652588325,1,1,0,0.5,0
7,naive,267.38776652588325,1,1,0,0.5,0
7,xair,267.38776652588325,0,0,1,0.0,1
8,direct,334.3843639370541,1,1,0,0.5,0
8,naive,334.3843639370541,1,1,0,0.5,0
8,xair,334.3843639370541,0,0,1,0.0,1
9,direct,255.95944388761407,1,1,0,0.5,0
9,naive,255.95944388761407,1,1,0,0.5,0
9,xair,255.95944388761407,0,0,1,0.0,1
10,direct,293.7275949607207,1,1,0,0.5,0
10,naive,293.7275949607207,1,1,0,0.5,0
10,xair,293.7275949607207,0,0,1,0.0,1
11,direct,351.0710576206725,1,1,0,0.5,0
11,naive,351.0710576206725,1,1,0,0.5,0
11,xair,351.0710576206725,0,0,1,0.0,1
12,direct,255.30719393677273,1,1,0,0.5,0
12,naive,255.30719393677273,1,1,0,0.5,0
12,xair,255.30719393677273,0,0,1,0.0,1
13,direct,289.7675301373297,1,1,0,0.5,0
13,naive,289.7675301373297,1,1,0,0.5,0
13,xair,289.7675301373297,0,0,1,0.0,1
14,direct,379.9768875559047,1,1,0,0.5,0
14,naive,379.9768875559047,1,1,0,0.5,0
14,xair,379.9768875559047,0,0,1,0.0,1
15,direct,358.9882961206433,1,1,0,0.5,0
15,naive,358.9882961206433,1,1,0,0.5,0
15,xair,358.9882961206433,0,0,1,0.0,1
16,direct,294.0881244081393,1,1,0,0.5,0
16,naive,294.0881244081393,1,1,0,0.5,0
16,xair,294.0881244081393,0,0,1,0.0,1
17,direct,367.8531367751817,1,1,0,0.5,0
17,naive,367.8531367751817,1,1,0,0.5,0
17,xair,367.8531367751817,0,0,1,0.0,1
18,direct,411.8860913355653,1,1,0,0.5,0
18,naive,411.8860913355653,0,0,1,0.0,1
18,xair,411.8860913355653,0,0,1,0.0,1
19,direct,251.2997519356122,1,1,0,0.5,0
19,naive,251.2997519356122,1,1,0,0.5,0
19,xair,251.2997519356122,0,0,1,0.0,1
20,direct,411.1638503665616,1,1,0,0.5,0
20,naive,411.1638503665616,0,0,1,0.0,1
20,xair,411.1638503665616,0,0,1,0.0,1
21,direct,389.6278789976454,1,1,0,0.5,0
21,naive,389.6278789976454,1,1,0,0.5,0
21,xair,389.6278789976454,0,0,1,0.0,1
22,direct,318.05010330359835,1,1,0,0.5,0
22,naive,318.05010330359835,1,1,0,0.5,0
22,xair,318.05010330359835,0,0,1,0.0,1
23,direct,281.0958999623563,1,1,0,0.5,0
23,naive,281.0958999623563,1,1,0,0.5,0
23,xair,281.0958999623563,0,0,1,0.0,1
24,direct,441.4426144413562,1,1,0,0.5,0
24,naive,441.4426144413562,0,0,1,0.0,1
24,xair,441.4426144413562,0,0,1,0.0,1
25,direct,317.31890902252536,1,1,0,0.5,0
25,naive,317.31890902252536,1,1,0,0.5,0
25,xair,317.31890902252536,0,0,1,0.0,1
26,direct,268.5491686760296,1,1,0,0.5,0
26,naive,268.5491686760296,1,1,0,0.5,0
26,xair,268.5491686760296,0,0,1,0.0,1
27,direct,269.3432753666928,1,1,0,0.5,0
27,naive,269.3432753666928,1,1,0,0.5,0
27,xair,269.3432753666928,0,0,1,0.0,1
28,direct,419.4988732694919,1,1,0,0.5,0
28,naive,419.4988732694919,0,0,1,0.0,1
28,xair,419.4988732694919,0,0,1,0.0,1
29,direct,370.74520627337824,1,1,0,0.5,0
29,naive,370.74520627337824,1,1,0,0.5,0
29,xair,370.74520627337824,0,0,1,0.0,1
