freshness_ms,delay_ms,run,outcome,ros_published
200,0,0,EXECUTE,True
200,0,1,EXECUTE,True
200,0,2,,False
200,0,3,EXECUTE,True
200,0,4,EXECUTE,True
200,100,0,EXECUTE,True
200,100,1,EXECUTE,True
200,100,2,EXECUTE,True
200,100,3,EXECUTE,True
200,100,4,EXECUTE,True
200,300,0,REVOKE,False
200,300,1,REVOKE,False
200,300,2,REVOKE,False
200,300,3,REVOKE,False
200,300,4,REVOKE,False
200,600,0,REVOKE,False
200,600,1,REVOKE,False
200,600,2,REVOKE,False
200,600,3,REVOKE,False
200,600,4,REVOKE,False
200,900,0,REVOKE,False
200,900,1,REVOKE,False
200,900,2,REVOKE,False
200,900,3,REVOKE,False
200,900,4,REVOKE,False
500,0,0,EXECUTE,True
500,0,1,EXECUTE,True
500,0,2,EXECUTE,True
500,0,3,EXECUTE,True
500,0,4,EXECUTE,True
500,100,0,EXECUTE,True
500,100,1,EXECUTE,True
500,100,2,EXECUTE,True
500,100,3,EXECUTE,True
500,100,4,EXECUTE,True
500,300,0,EXECUTE,True
500,300,1,EXECUTE,True
500,300,2,EXECUTE,True
500,300,3,EXECUTE,True
500,300,4,EXECUTE,True
500,600,0,REVOKE,False
500,600,1,REVOKE,False
500,600,2,REVOKE,False
500,600,3,REVOKE,False
500,600,4,REVOKE,False
500,900,0,REVOKE,False
500,900,1,REVOKE,False
500,900,2,REVOKE,False
500,900,3,,False
500,900,4,REVOKE,False
1000,0,0,EXECUTE,True
1000,0,1,EXECUTE,True
1000,0,2,EXECUTE,True
1000,0,3,EXECUTE,True
1000,0,4,,False
1000,100,0,EXECUTE,True
1000,100,1,EXECUTE,True
1000,100,2,EXECUTE,True
1000,100,3,EXECUTE,True
1000,100,4,EXECUTE,True
1000,300,0,EXECUTE,True
1000,300,1,EXECUTE,True
1000,300,2,EXECUTE,True
1000,300,3,EXECUTE,True
1000,300,4,EXECUTE,True
1000,600,0,EXECUTE,True
1000,600,1,EXECUTE,True
1000,600,2,EXECUTE,True
1000,600,3,EXECUTE,True
1000,600,4,EXECUTE,True
1000,900,0,EXECUTE,True
1000,900,1,EXECUTE,True
1000,900,2,EXECUTE,True
1000,900,3,EXECUTE,True
1000,900,4,EXECUTE,True
