delay_ms,jitter_ms,loss_pct,run,netem_applied,outcome,ros_published,e2e_latency_ms
0,0,0,0,False,REVOKE,False,2.2402231115847826
0,0,0,1,False,REVOKE,False,1.4339210465550423
0,0,0,2,False,REVOKE,False,1.3567970599979162
0,0,0,3,False,REVOKE,False,1.3840768951922655
0,0,0,4,False,REVOKE,False,1.3399738818407059
10,0,0,0,False,REVOKE,False,1.3839260209351778
10,0,0,1,False,REVOKE,False,1.6779578290879726
10,0,0,2,False,REVOKE,False,1.758779864758253
10,0,0,3,False,REVOKE,False,1.781061990186572
10,0,0,4,False,REVOKE,False,1.649355050176382
50,10,0,0,False,REVOKE,False,3.5659309942275286
50,10,0,1,False,REVOKE,False,2.959031844511628
50,10,0,2,False,REVOKE,False,2.4952529929578304
50,10,0,3,False,REVOKE,False,2.5294548831880093
50,10,0,4,False,REVOKE,False,2.4513090029358864
100,10,0,0,False,REVOKE,False,3.085620002821088
100,10,0,1,False,REVOKE,False,3.403465962037444
100,10,0,2,False,REVOKE,False,4.2090280912816525
100,10,0,3,False,REVOKE,False,3.7966531235724688
100,10,0,4,False,REVOKE,False,2.975251991301775
250,50,0,0,False,REVOKE,False,2.783403033390641
250,50,0,1,False,REVOKE,False,2.958060009405017
250,50,0,2,False,REVOKE,False,3.252211958169937
250,50,0,3,False,REVOKE,False,3.7054128479212523
250,50,0,4,False,REVOKE,False,2.6032240130007267
50,0,0.1,0,False,REVOKE,False,2.833606908097863
50,0,0.1,1,False,REVOKE,False,2.5451357942074537
50,0,0.1,2,False,REVOKE,False,2.2505230735987425
50,0,0.1,3,False,REVOKE,False,2.1948779467493296
50,0,0.1,4,False,REVOKE,False,2.0364809315651655
50,0,1.0,0,False,REVOKE,False,4.16817213408649
50,0,1.0,1,False,REVOKE,False,3.6606891080737114
50,0,1.0,2,False,REVOKE,False,2.9638009145855904
50,0,1.0,3,False,REVOKE,False,2.557538915425539
50,0,1.0,4,False,REVOKE,False,3.004188183695078
