baseline,run,outcome,unknown,ros_published,ros_observed,stale_executed,stale_observed,witness_agreement,context_obsolete,arm_delta,sim_motion,error
xair,0,REVOKE,False,False,False,False,False,True,True,0.0,False,
xair,1,REVOKE,False,False,False,False,False,True,True,0.0,False,
xair,2,REVOKE,False,False,False,False,False,True,True,0.0,False,
xair,3,REVOKE,False,False,False,False,False,True,True,0.0,False,
xair,4,REVOKE,False,False,False,False,False,True,True,0.0,False,
xair,5,REVOKE,False,False,False,False,False,True,True,0.0,False,
xair,6,REVOKE,False,False,False,False,False,True,True,0.0,False,
xair,7,REVOKE,False,False,False,False,False,True,True,0.0,False,
xair,8,REVOKE,False,False,False,False,False,True,True,0.0,False,
xair,9,REVOKE,False,False,False,False,False,True,True,0.0,False,
xair,10,REVOKE,False,False,False,False,False,True,True,0.0,False,
xair,11,REVOKE,False,False,False,False,False,True,True,0.0,False,
xair,12,REVOKE,False,False,False,False,False,True,True,0.0,False,
xair,13,REVOKE,False,False,False,False,False,True,True,0.0,False,
xair,14,REVOKE,False,False,False,False,False,True,True,0.0,False,
xair,15,REVOKE,False,False,False,False,False,True,True,0.0,False,
xair,16,REVOKE,False,False,False,False,False,True,True,0.0,False,
xair,17,REVOKE,False,False,False,False,False,True,True,0.0,False,
xair,18,REVOKE,False,False,False,False,False,True,True,0.0,False,
xair,19,REVOKE,False,False,False,False,False,True,True,0.0,False,
xair,20,REVOKE,False,False,False,False,False,True,True,0.0,False,
xair,21,REVOKE,False,False,False,False,False,True,True,0.0,False,
xair,22,REVOKE,False,False,False,False,False,True,True,0.0,False,
xair,23,REVOKE,False,False,False,False,False,True,True,0.0,False,
xair,24,REVOKE,False,False,False,False,False,True,True,0.0,False,
xair,25,REVOKE,False,False,False,False,False,True,True,0.0,False,
xair,26,REVOKE,False,False,False,False,False,True,True,0.0,False,
xair,27,REVOKE,False,False,False,False,False,True,True,0.0,False,
xair,28,REVOKE,False,False,False,False,False,True,True,0.0,False,
xair,29,REVOKE,False,False,False,False,False,True,True,0.0,False,
direct,0,EXECUTE,False,True,True,True,True,True,True,0.0,False,
direct,1,EXECUTE,False,True,True,True,True,True,True,0.0,False,
direct,2,EXECUTE,False,True,True,True,True,True,True,0.0,False,
direct,3,EXECUTE,False,True,True,True,True,True,True,0.0,False,
direct,4,EXECUTE,False,True,True,True,True,True,True,0.0,False,
direct,5,EXECUTE,False,True,True,True,True,True,True,0.0,False,
direct,6,EXECUTE,False,True,True,True,True,True,True,0.0,False,
direct,7,EXECUTE,False,True,True,True,True,True,True,0.0,False,
direct,8,EXECUTE,False,True,True,True,True,True,True,0.0,False,
direct,9,EXECUTE,False,True,True,True,True,True,True,0.0,False,
direct,10,EXECUTE,False,True,True,True,True,True,True,0.0,False,
direct,11,EXECUTE,False,True,True,True,True,True,True,0.0,False,
direct,12,EXECUTE,False,True,True,True,True,True,True,0.0,False,
direct,13,EXECUTE,False,True,True,True,True,True,True,0.0,False,
direct,14,EXECUTE,False,True,True,True,True,True,True,0.0,False,
direct,15,EXECUTE,False,True,True,True,True,True,True,0.0,False,
direct,16,EXECUTE,False,True,True,True,True,True,True,0.0,False,
direct,17,EXECUTE,False,True,True,True,True,True,True,0.0,False,
direct,18,EXECUTE,False,True,True,True,True,True,True,0.0,False,
direct,19,EXECUTE,False,True,True,True,True,True,True,0.0,False,
direct,20,EXECUTE,False,True,True,True,True,True,True,0.0,False,
direct,21,EXECUTE,False,True,True,True,True,True,True,0.0,False,
direct,22,EXECUTE,False,True,True,True,True,True,True,0.0,False,
direct,23,EXECUTE,False,True,True,True,True,True,True,0.0,False,
direct,24,EXECUTE,False,True,True,True,True,True,True,0.0,False,
direct,25,EXECUTE,False,True,True,True,True,True,True,0.0,False,
direct,26,EXECUTE,False,True,True,True,True,True,True,0.0,False,
direct,27,EXECUTE,False,True,True,True,True,True,True,0.0,False,
direct,28,EXECUTE,False,True,True,True,True,True,True,0.0,False,
direct,29,EXECUTE,False,True,True,True,True,True,True,0.0,False,
naive,0,EXECUTE,False,True,True,True,True,True,True,0.0,False,
naive,1,EXECUTE,False,True,True,True,True,True,True,0.0,False,
naive,2,EXECUTE,False,True,True,True,True,True,True,0.0,False,
naive,3,EXECUTE,False,True,True,True,True,True,True,0.0,False,
naive,4,EXECUTE,False,True,True,True,True,True,True,0.0,False,
naive,5,EXECUTE,False,True,True,True,True,True,True,0.0,False,
naive,6,EXECUTE,False,True,True,True,True,True,True,0.0,False,
naive,7,EXECUTE,False,True,True,True,True,True,True,0.0,False,
naive,8,EXECUTE,False,True,True,True,True,True,True,0.0,False,
naive,9,EXECUTE,False,True,True,True,True,True,True,0.0,False,
naive,10,EXECUTE,False,True,True,True,True,True,True,0.0,False,
naive,11,EXECUTE,False,True,True,True,True,True,True,0.0,False,
naive,12,EXECUTE,False,True,True,True,True,True,True,0.0,False,
naive,13,EXECUTE,False,True,True,True,True,True,True,0.0,False,
naive,14,EXECUTE,False,True,True,True,True,True,True,0.0,False,
naive,15,EXECUTE,False,True,True,True,True,True,True,0.0,False,
naive,16,EXECUTE,False,True,True,True,True,True,True,0.0,False,
naive,17,EXECUTE,False,True,True,True,True,True,True,0.0,False,
naive,18,EXECUTE,False,True,True,True,True,True,True,0.0,False,
naive,19,EXECUTE,False,True,True,True,True,True,True,0.0,False,
naive,20,EXECUTE,False,True,True,True,True,True,True,0.0,False,
naive,21,EXECUTE,False,True,True,True,True,True,True,0.0,False,
naive,22,EXECUTE,False,True,True,True,True,True,True,0.0,False,
naive,23,EXECUTE,False,True,True,True,True,True,True,0.0,False,
naive,24,EXECUTE,False,True,True,True,True,True,True,0.0,False,
naive,25,EXECUTE,False,True,True,True,True,True,True,0.0,False,
naive,26,EXECUTE,False,True,True,True,True,True,True,0.0,False,
naive,27,EXECUTE,False,True,True,True,True,True,True,0.0,False,
naive,28,EXECUTE,False,True,True,True,True,True,True,0.0,False,
naive,29,EXECUTE,False,True,True,True,True,True,True,0.0,False,
local,0,REVOKE,False,False,False,False,False,True,True,0.0,False,
local,1,REVOKE,False,False,False,False,False,True,True,0.0,False,
local,2,REVOKE,False,False,False,False,False,True,True,0.0,False,
local,3,REVOKE,False,False,False,False,False,True,True,0.0,False,
local,4,REVOKE,False,False,False,False,False,True,True,0.0,False,
local,5,REVOKE,False,False,False,False,False,True,True,0.0,False,
local,6,REVOKE,False,False,False,False,False,True,True,0.0,False,
local,7,REVOKE,False,False,False,False,False,True,True,0.0,False,
local,8,REVOKE,False,False,False,False,False,True,True,0.0,False,
local,9,REVOKE,False,False,False,False,False,True,True,0.0,False,
local,10,REVOKE,False,False,False,False,False,True,True,0.0,False,
local,11,REVOKE,False,False,False,False,False,True,True,0.0,False,
local,12,REVOKE,False,False,False,False,False,True,True,0.0,False,
local,13,REVOKE,False,False,False,False,False,True,True,0.0,False,
local,14,REVOKE,False,False,False,False,False,True,True,0.0,False,
local,15,REVOKE,False,False,False,False,False,True,True,0.0,False,
local,16,REVOKE,False,False,False,False,False,True,True,0.0,False,
local,17,REVOKE,False,False,False,False,False,True,True,0.0,False,
local,18,REVOKE,False,False,False,False,False,True,True,0.0,False,
local,19,REVOKE,False,False,False,False,False,True,True,0.0,False,
local,20,REVOKE,False,False,False,False,False,True,True,0.0,False,
local,21,REVOKE,False,False,False,False,False,True,True,0.0,False,
local,22,REVOKE,False,False,False,False,False,True,True,0.0,False,
local,23,REVOKE,False,False,False,False,False,True,True,0.0,False,
local,24,REVOKE,False,False,False,False,False,True,True,0.0,False,
local,25,REVOKE,False,False,False,False,False,True,True,0.0,False,
local,26,REVOKE,False,False,False,False,False,True,True,0.0,False,
local,27,REVOKE,False,False,False,False,False,True,True,0.0,False,
local,28,REVOKE,False,False,False,False,False,True,True,0.0,False,
local,29,REVOKE,False,False,False,False,False,True,True,0.0,False,
