baseline,run,outcome,unknown,ros_published,ros_observed,stale_executed,stale_observed,witness_agreement,context_obsolete,arm_delta,sim_motion,error
xair,0,REVOKE,False,False,False,False,False,True,True,0.0,False,
xair,1,REVOKE,False,False,False,False,False,True,True,0.2104,True,
xair,2,REVOKE,False,False,False,False,False,True,True,0.0138,False,
xair,3,REVOKE,False,False,False,False,False,True,True,0.0077,False,
xair,4,REVOKE,False,False,False,False,False,True,True,0.0045,False,
xair,5,REVOKE,False,False,False,False,False,True,True,0.0038,False,
xair,6,REVOKE,False,False,False,False,False,True,True,0.0083,False,
xair,7,REVOKE,False,False,False,False,False,True,True,0.0003,False,
xair,8,REVOKE,False,False,False,False,False,True,True,0.0084,False,
xair,9,REVOKE,False,False,False,False,False,True,True,0.0042,False,
xair,10,REVOKE,False,False,False,False,False,True,True,0.0039,False,
xair,11,REVOKE,False,False,False,False,False,True,True,0.0091,False,
xair,12,REVOKE,False,False,False,False,False,True,True,0.0005,False,
xair,13,REVOKE,False,False,False,False,False,True,True,0.008,False,
xair,14,REVOKE,False,False,False,False,False,True,True,0.0048,False,
xair,15,REVOKE,False,False,False,False,False,True,True,0.0036,False,
xair,16,REVOKE,False,False,False,False,False,True,True,0.009,False,
xair,17,REVOKE,False,False,False,False,False,True,True,0.0007,False,
xair,18,REVOKE,False,False,False,False,False,True,True,0.008,False,
xair,19,REVOKE,False,False,False,False,False,True,True,0.0044,False,
xair,20,REVOKE,False,False,False,False,False,True,True,0.0042,False,
xair,21,REVOKE,False,False,False,False,False,True,True,0.008,False,
xair,22,REVOKE,False,False,False,False,False,True,True,0.0,False,
xair,23,REVOKE,False,False,False,False,False,True,True,0.008,False,
xair,24,REVOKE,False,False,False,False,False,True,True,0.0056,False,
xair,25,REVOKE,False,False,False,False,False,True,True,0.0032,False,
xair,26,REVOKE,False,False,False,False,False,True,True,0.0098,False,
xair,27,REVOKE,False,False,False,False,False,True,True,0.0012,False,
xair,28,REVOKE,False,False,False,False,False,True,True,0.0074,False,
xair,29,REVOKE,False,False,False,False,False,True,True,0.0044,False,
direct,0,EXECUTE,False,True,True,True,True,True,True,0.3341,True,
direct,1,EXECUTE,False,True,True,True,True,True,True,0.1589,True,
direct,2,EXECUTE,False,True,True,True,True,True,True,0.1561,True,
direct,3,EXECUTE,False,True,True,True,True,True,True,0.1437,True,
direct,4,EXECUTE,False,True,True,True,True,True,True,0.151,True,
direct,5,EXECUTE,False,True,True,True,True,True,True,0.144,True,
direct,6,EXECUTE,False,True,True,True,True,True,True,0.1517,True,
direct,7,EXECUTE,False,True,True,True,True,True,True,0.0002,False,
direct,8,EXECUTE,False,True,True,True,True,True,True,0.145,True,
direct,9,EXECUTE,False,True,True,True,True,True,True,0.1518,True,
direct,10,EXECUTE,False,True,True,True,True,True,True,0.1467,True,
direct,11,EXECUTE,False,True,True,True,True,True,True,0.1558,True,
direct,12,EXECUTE,False,True,True,True,True,True,True,0.0,False,
direct,13,EXECUTE,False,True,True,True,True,True,True,0.1302,True,
direct,14,EXECUTE,False,True,True,True,True,True,True,0.1502,True,
direct,15,EXECUTE,False,True,True,True,True,True,True,0.1466,True,
direct,16,EXECUTE,False,True,True,True,True,True,True,0.1495,True,
direct,17,EXECUTE,False,True,True,True,True,True,True,0.1449,True,
direct,18,EXECUTE,False,True,True,True,True,True,True,0.1483,True,
direct,19,EXECUTE,False,True,True,True,True,True,True,0.151,True,
direct,20,EXECUTE,False,True,True,True,True,True,True,0.1459,True,
direct,21,EXECUTE,False,True,True,True,True,True,True,0.1547,True,
direct,22,EXECUTE,False,True,True,True,True,True,True,0.1534,True,
direct,23,EXECUTE,False,True,True,True,True,True,True,0.1552,True,
direct,24,EXECUTE,False,True,True,True,True,True,True,0.1469,True,
direct,25,EXECUTE,False,True,True,True,True,True,True,0.1404,True,
direct,26,EXECUTE,False,True,True,True,True,True,True,0.1478,True,
direct,27,EXECUTE,False,True,True,True,True,True,True,0.1409,True,
direct,28,EXECUTE,False,True,True,True,True,True,True,0.1499,True,
direct,29,EXECUTE,False,True,True,True,True,True,True,0.1409,True,
naive,0,EXECUTE,False,True,True,True,True,True,True,0.0,False,
naive,1,EXECUTE,False,True,True,True,True,True,True,0.0,False,
naive,2,EXECUTE,False,True,True,True,True,True,True,0.1578,True,
naive,3,EXECUTE,False,True,True,True,True,True,True,0.1432,True,
naive,4,EXECUTE,False,True,True,True,True,True,True,0.0,False,
naive,5,EXECUTE,False,True,True,True,True,True,True,0.1501,True,
naive,6,EXECUTE,False,True,True,True,True,True,True,0.1487,True,
naive,7,EXECUTE,False,True,True,True,True,True,True,0.0,False,
naive,8,EXECUTE,False,True,True,True,True,True,True,0.0,False,
naive,9,EXECUTE,False,True,True,True,True,True,True,0.1522,True,
naive,10,EXECUTE,False,True,True,True,True,True,True,0.1512,True,
naive,11,EXECUTE,False,True,True,True,True,True,True,0.008,False,
naive,12,EXECUTE,False,True,True,True,True,True,True,0.1607,True,
naive,13,EXECUTE,False,True,True,True,True,True,True,0.0,False,
naive,14,EXECUTE,False,True,True,True,True,True,True,0.0,False,
naive,15,EXECUTE,False,True,True,True,True,True,True,0.1806,True,
naive,16,EXECUTE,False,True,True,True,True,True,True,0.1719,True,
naive,17,EXECUTE,False,True,True,True,True,True,True,0.1413,True,
naive,18,EXECUTE,False,True,True,True,True,True,True,0.1506,True,
naive,19,EXECUTE,False,True,True,True,True,True,True,0.0,False,
naive,20,EXECUTE,False,True,True,True,True,True,True,0.1483,True,
naive,21,EXECUTE,False,True,True,True,True,True,True,0.0,False,
naive,22,EXECUTE,False,True,True,True,True,True,True,0.1515,True,
