policy,delay_ms,push_notified,run,outcome,reason,stale_executed,stale_observed
local_stale,0,0,0,EXECUTE,local_stale_cache,1,1
local_stale,0,0,1,EXECUTE,local_stale_cache,1,1
local_stale,0,0,2,EXECUTE,local_stale_cache,1,1
local_stale,0,0,3,EXECUTE,local_stale_cache,1,1
local_stale,0,0,4,EXECUTE,local_stale_cache,1,1
local_stale,0,0,5,EXECUTE,local_stale_cache,1,1
local_stale,0,0,6,EXECUTE,local_stale_cache,1,1
local_stale,0,0,7,EXECUTE,local_stale_cache,1,1
local_stale,0,0,8,EXECUTE,local_stale_cache,1,1
local_stale,0,0,9,EXECUTE,local_stale_cache,1,1
local_push,0,0,0,EXECUTE,local_push_invalidate,1,1
local_push,0,0,1,EXECUTE,local_push_invalidate,1,1
local_push,0,0,2,EXECUTE,local_push_invalidate,1,1
local_push,0,0,3,EXECUTE,local_push_invalidate,1,1
local_push,0,0,4,EXECUTE,local_push_invalidate,1,1
local_push,0,0,5,EXECUTE,local_push_invalidate,1,1
local_push,0,0,6,EXECUTE,local_push_invalidate,1,1
local_push,0,0,7,EXECUTE,local_push_invalidate,1,1
local_push,0,0,8,EXECUTE,local_push_invalidate,1,1
local_push,0,0,9,EXECUTE,local_push_invalidate,1,1
local_authoritative,0,0,0,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,0,0,1,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,0,0,2,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,0,0,3,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,0,0,4,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,0,0,5,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,0,0,6,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,0,0,7,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,0,0,8,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,0,0,9,REVOKE,precondition_failed:line.state == 'RUN',0,0
xair,0,0,0,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,0,0,1,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,0,0,2,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,0,0,3,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,0,0,4,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,0,0,5,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,0,0,6,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,0,0,7,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,0,0,8,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,0,0,9,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_stale,10,0,0,EXECUTE,local_stale_cache,1,1
local_stale,10,0,1,EXECUTE,local_stale_cache,1,1
local_stale,10,0,2,EXECUTE,local_stale_cache,1,1
local_stale,10,0,3,EXECUTE,local_stale_cache,1,1
local_stale,10,0,4,EXECUTE,local_stale_cache,1,1
local_stale,10,0,5,EXECUTE,local_stale_cache,1,1
local_stale,10,0,6,EXECUTE,local_stale_cache,1,1
local_stale,10,0,7,EXECUTE,local_stale_cache,1,1
local_stale,10,0,8,EXECUTE,local_stale_cache,1,1
local_stale,10,0,9,EXECUTE,local_stale_cache,1,1
local_push,10,0,0,EXECUTE,local_push_invalidate,1,1
local_push,10,0,1,EXECUTE,local_push_invalidate,1,1
local_push,10,0,2,EXECUTE,local_push_invalidate,1,1
local_push,10,0,3,EXECUTE,local_push_invalidate,1,1
local_push,10,0,4,EXECUTE,local_push_invalidate,1,1
local_push,10,0,5,EXECUTE,local_push_invalidate,1,1
local_push,10,0,6,EXECUTE,local_push_invalidate,1,1
local_push,10,0,7,EXECUTE,local_push_invalidate,1,1
local_push,10,0,8,EXECUTE,local_push_invalidate,1,1
local_push,10,0,9,EXECUTE,local_push_invalidate,1,1
local_authoritative,10,0,0,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,10,0,1,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,10,0,2,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,10,0,3,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,10,0,4,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,10,0,5,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,10,0,6,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,10,0,7,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,10,0,8,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,10,0,9,REVOKE,precondition_failed:line.state == 'RUN',0,0
xair,10,0,0,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,10,0,1,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,10,0,2,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,10,0,3,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,10,0,4,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,10,0,5,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,10,0,6,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,10,0,7,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,10,0,8,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,10,0,9,REVOKE,precondition_failed: line.state == 'RUN',0,0
local_stale,50,1,0,EXECUTE,local_stale_cache,1,1
local_stale,50,1,1,EXECUTE,local_stale_cache,1,1
local_stale,50,1,2,EXECUTE,local_stale_cache,1,1
local_stale,50,1,3,EXECUTE,local_stale_cache,1,1
local_stale,50,1,4,EXECUTE,local_stale_cache,1,1
local_stale,50,1,5,EXECUTE,local_stale_cache,1,1
local_stale,50,1,6,EXECUTE,local_stale_cache,1,1
local_stale,50,1,7,EXECUTE,local_stale_cache,1,1
local_stale,50,1,8,EXECUTE,local_stale_cache,1,1
local_stale,50,1,9,EXECUTE,local_stale_cache,1,1
local_push,50,1,0,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_push,50,1,1,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_push,50,1,2,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_push,50,1,3,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_push,50,1,4,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_push,50,1,5,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_push,50,1,6,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_push,50,1,7,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_push,50,1,8,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_push,50,1,9,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,50,1,0,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,50,1,1,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,50,1,2,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,50,1,3,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,50,1,4,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,50,1,5,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,50,1,6,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,50,1,7,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,50,1,8,REVOKE,precondition_failed:line.state == 'RUN',0,0
local_authoritative,50,1,9,REVOKE,precondition_failed:line.state == 'RUN',0,0
xair,50,1,0,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,50,1,1,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,50,1,2,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,50,1,3,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,50,1,4,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,50,1,5,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,50,1,6,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,50,1,7,REVOKE,precondition_failed: line.state == 'RUN',0,0
xair,50,1,8,REVOKE,precondition_failed: line.state == 'RUN',0,0
