run,local_outcome,local_ros,local_ros_observed,xair_outcome,xair_ros,xair_ros_observed,local_stale,xair_blocked,xair_revoke
0,REVOKE,False,False,REVOKE,False,False,False,True,True
1,REVOKE,False,False,REVOKE,False,False,False,True,True
2,REVOKE,False,False,REVOKE,False,False,False,True,True
3,REVOKE,False,False,REVOKE,False,False,False,True,True
4,REVOKE,False,False,REVOKE,False,False,False,True,True
5,REVOKE,False,False,REVOKE,False,False,False,True,True
6,REVOKE,False,False,REVOKE,False,False,False,True,True
7,REVOKE,False,False,REVOKE,False,False,False,True,True
8,REVOKE,False,False,REVOKE,False,False,False,True,True
9,REVOKE,False,False,REVOKE,False,False,False,True,True
10,REVOKE,False,False,REVOKE,False,False,False,True,True
11,REVOKE,False,False,REVOKE,False,False,False,True,True
12,REVOKE,False,False,REVOKE,False,False,False,True,True
13,REVOKE,False,False,REVOKE,False,False,False,True,True
14,REVOKE,False,False,REVOKE,False,False,False,True,True
15,REVOKE,False,False,REVOKE,False,False,False,True,True
16,REVOKE,False,False,REVOKE,False,False,False,True,True
17,REVOKE,False,False,REVOKE,False,False,False,True,True
18,REVOKE,False,False,REVOKE,False,False,False,True,True
19,REVOKE,False,False,REVOKE,False,False,False,True,True
20,REVOKE,False,False,REVOKE,False,False,False,True,True
21,REVOKE,False,False,REVOKE,False,False,False,True,True
22,REVOKE,False,False,REVOKE,False,False,False,True,True
23,REVOKE,False,False,REVOKE,False,False,False,True,True
24,REVOKE,False,False,REVOKE,False,False,False,True,True
25,REVOKE,False,False,REVOKE,False,False,False,True,True
26,REVOKE,False,False,REVOKE,False,False,False,True,True
27,REVOKE,False,False,REVOKE,False,False,False,True,True
28,REVOKE,False,False,REVOKE,False,False,False,True,True
29,REVOKE,False,False,REVOKE,False,False,False,True,True
